,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Image,Name,Title
0,,13.0,Cole Adams,WR,5-10,186.0,Fr.,"Owasso, Okla. / Owasso",,,,
1,,35.0,Jeremiah Alexander,LB,6-2,249.0,R-Fr.,"Alabaster, Ala. / Thompson",,,,
2,,73.0,Olaus Alinen,OL,6-6,326.0,Fr.,"Pori, Finland / The Loomis Chaffee School (Conn.)",,,,
3,,82.0,Chase Allen,PK,6-2,188.0,Sr.,"Colleyville, Texas / Colleyville Heritage",,,,
4,,3.0,Terrion Arnold,DB,6-0,196.0,R-So.,"Tallahassee, Fla. / John Paul II Catholic",,,,
5,,56.0,JD Baird,LB,5-8,190.0,So.,"Tuscaloosa, Ala. / American Christian Academy",,,,
6,,59.0,Anquin Barnes Jr.,DL,6-5,314.0,R-So.,"Montgomery, Ala. / Robert E. Lee",,,,
7,,98.0,Upton Bellenfant,P,6-2,175.0,So.,"Murfreesboro, Tenn. / Stewarts Creek",,,,
8,,27.0,Jonathan Bennett,RB,5-8,180.0,Sr.,"Birmingham, Ala. / Oak Mountain",,,,
9,,11.0,Malik Benson,WR,6-1,195.0,Jr.,"Lansing, Kan. / Lansing",Hutchinson C.C.,,,
10,,40.0,Kendrick Blackshire,LB,6-2,233.0,Jr.,"Duncanville, Texas / Duncanville",,,,
11,,17.0,Isaiah Bond,WR,5-11,182.0,So.,"Buford, Ga. / Buford",,,,
12,,52.0,Tyler Booker,OL,6-5,335.0,So.,"New Haven, Conn. / IMG Academy",,,,
13,,41.0,Chris Braswell,LB,6-3,255.0,Sr.,"Baltimore, Md. / Saint Frances Academy",,,,
14,,58.0,James Brockermeyer,OL,6-3,285.0,R-So.,"Fort Worth, Texas / All Saints Episcopal",,,,
15,,7.0,Ja'Corey Brooks,WR,6-2,195.0,Jr.,"Miami, Fla. / IMG Academy",,,,
16,,85.0,Elijah Brown,TE,6-5,250.0,R-Fr.,"Dayton, Ohio / Wayne",,,,
17,,86.0,James Burnip,P,6-6,220.0,R-Jr.,"Mount Macedon, Victoria AU / Victoria University, Melbourne",,,,
18,,98.0,Jamil Burroughs,DL,6-3,309.0,R-Jr.,"Powder Springs, Ga. / McEachern",,,,
19,,3.0,Jermaine Burton,WR,6-0,194.0,Sr.,"Calabasas, Calif. / Calabasas",Georgia,,,
20,,48.0,Prince Butler,DB,6-1,200.0,So.,"Alexandria, Va. / Hayfield",,,,
21,,30.0,Jihaad Campbell,LB,6-3,230.0,So.,"Erial, N.J. / IMG Academy",,,,
22,,16.0,Cade Carruth,QB,6-1,195.0,So.,"Trussville, Ala. / Hewitt-Trussville",,,,
23,,42.0,MJ Chirgwin,WR,6-0,195.0,So.,"Huntington Beach, Calif. / Huntington Beach",,,,
24,,35.0,Zarian Courtney,WR,6-2,183.0,Sr.,"Arlington, Texas / Timberview",exas Col./Kilgore Col./Oklahoma Baptist,,,
25,,71.0,Darrian Dalcourt,OL,6-3,310.0,Gr.,"Havre de Grace, Md. / Saint Frances Academy",,,,
26,,46.0,Chase Davis,DB,6-1,182.0,So.,"Tuscaloosa, Ala. / Paul W. Bryant",,,,
27,,81.0,CJ Dippre,TE,6-5,257.0,Jr.,"Scranton, Pa. / Lakeland",Maryland,,,
28,,2.0,Caleb Downs,DB,6-0,203.0,Fr.,"Hoschton, Ga. / Mill Creek",,,,
29,,92.0,Justin Eboigbe,DL,6-5,292.0,R-Sr.,"Forest Park, Ga. / Forest Park",,,,
30,,43.0,Robert Ellis,TE,6-0,220.0,Sr.,"Enterprise, Ala. / Enterprise",,,,
31,,22.0,Tre'Quon Fegans,DB,6-2,190.0,R-Fr.,"Alabaster, Ala. / Thompson",,,,
32,,69.0,Terrence Ferguson II,OL,6-4,318.0,R-So.,"Fort Valley, Ga. / Peach",,,,
33,,54.0,Kyle Flood Jr.,LB,6-0,212.0,Sr.,"Middlesex, N.J. / Saint Joseph",,,,
34,,75.0,Wilkin Formby,OL,6-7,320.0,Fr.,"Tuscaloosa, Ala. / Northridge",,,,
35,,46.0,Peyton Fox,TE,6-4,225.0,So.,"Pelham, Ala. / Briarwood Christian",,,,
36,,95.0,Monkell Goodwine,DL,6-4,290.0,R-So.,"Upper Marlboro, Md. / Rock Creek Christian Academy",,,,
37,,82.0,Jalen Hale,WR,6-1,189.0,Fr.,"Longview, Texas / Longview",,,,
38,,16.0,Jaren Hamilton,WR,6-1,200.0,Fr.,"Gainesville, Fla. / F.W. Buchholz",,,,
39,,99.0,Isaiah Hastings,DL,6-4,290.0,R-Fr.,"Toronto, Canada / Clearwater Academy International (Fla.)",,,,
40,,22.0,Justice Haynes,RB,5-11,205.0,Fr.,"Buford, Ga. / Buford",,,,
41,,24.0,Emmanuel Henderson Jr.,WR,6-1,185.0,So.,"Hartford, Ala. / Geneva County",,,,
42,,48.0,Kneeland Hibbett,SN,6-2,245.0,Jr.,"Florence, Ala. / Florence",,,,
43,,94.0,Edric Hill,DL,6-3,294.0,Fr.,"Kansas City, Mo. / North Kansas City",,,,
44,,63.0,Wilder Hines,OL,6-2,240.0,So.,"Birmingham, Ala. / Mountain Brook",,,,
45,,10.0,Eli Holstein,QB,6-4,237.0,Fr.,"Zachary, La. / Zachary",,,,
46,,18.0,Brayson Hubbard,DB,6-2,195.0,Fr.,"Ocean Springs, Miss. / Ocean Springs",,,,
47,,25.0,Jahlil Hurley,DB,6-2,170.0,Fr.,"Florence, Ala. / Florence",,,,
48,,36.0,Ian Jackson,LB,6-1,235.0,R-So.,"Prattville, Ala. / Prattville",,,,
49,,28.0,Justin Jefferson,LB,6-1,225.0,Jr.,"Memphis, Tenn. / Bartlett",Pearl River C.C.,,,
50,,14.0,Thaiu Jones-Bell,WR,6-0,198.0,R-Jr.,"Hallandale, Fla. / Miami Carol City",,,,
51,,96.0,Tim Keenan III,DL,6-2,338.0,R-So.,"Birmingham, Ala. / Ramsay",,,,
52,,12.0,Antonio Kite,DB,6-1,182.0,R-Fr.,"Anniston, Ala. / Anniston",,,,
53,,88.0,Miles Kitselman,TE,6-5,250.0,Jr.,"Lyndon, Kan. / Lyndon",Hutchinson C.C.,,,
54,,19.0,Keanu Koht,LB,6-4,232.0,R-So.,"Vero Beach, Fla. / Vero Beach",,,,
55,,93.0,Jah-Marien Latham,DL,6-3,275.0,R-Jr.,"Reform, Ala. / Pickens County",,,,
56,,65.0,JC Latham,OL,6-6,335.0,Jr.,"Oak Creek, Wis. / IMG Academy",,,,
57,,19.0,Kendrick Law,WR,5-11,201.0,So.,"Shreveport, La. / Captain Shreve",,,,
58,,32.0,Deontae Lawson,LB,6-2,230.0,R-So.,"Mobile, Ala. / Mobile Christian",,,,
59,,87.0,Danny Lewis Jr.,TE,6-5,255.0,R-Fr.,"New Iberia, La. / Westgate",,,,
60,,20.0,Earl Little II,DB,6-1,186.0,R-Fr.,"Fort Lauderdale, Fla. / American Heritage",,,,
61,,89.0,Ty Lockwood,TE,6-5,234.0,Fr.,"Thompson’s Station, Tenn. / Independence",,,,
62,,12.0,Dylan Lonergan,QB,6-2,212.0,Fr.,"Snellville, Ga. / Brookwood",,,,
63,,32.0,Jay Loper Jr.,WR,5-11,180.0,So.,"Daphne, Ala. / Bayside Academy",,,,
64,,28.0,Michael Lorino III,RB,5-9,185.0,So.,"Birmingham, Ala. / Mountain Brook",,,,
65,,17.0,Trezmen Marshall,LB,6-1,236.0,Sr.,"Homerville, Ga. / Clinch County",Georgia,,,
66,,38.0,Alijah May,DB,5-11,195.0,Jr.,"Pinson, Ala. / Pinson Valley",,,,
67,,2.0,Jase McClellan,RB,5-11,212.0,Sr.,"Aledo, Texas / Aledo",,,,
