,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Current School Name,Hometown,High School,Previous School,Instagram,Name,Title
0,,,1.0,"Harris, Jalen",DE,6-6,275.0,R-Sr.,Arizona,"Gilbert, Ariz.",Desert Ridge HS,,https://www.instagram.com/theharris_era,,
1,,,1.0,"Simpson, Anthony",WR,5-11,205.0,So.,Arizona,"Pawling, N.Y.",Bloomfield HS,,,,
2,,,2.0,"Cowing, Jacob",WR,5-11,175.0,Jr.,Arizona,"Maricopa, Ariz.",Maricopa HS,UTEP,jaycowing_,,
3,,,2.0,"Rutherford, Isaiah",CB,6-1,190.0,Jr.,Arizona,"Sacramento, Calif.",Jesuit HS,Notre Dame,zay.rutherford,,
4,,,3.0,"Young, Jaydin",S,6-0,180.0,So.,Arizona,"Peoria, Ariz.",Centennial HS,,jaydin_young,,
5,,,4.0,"McMillan, Tetairoa",WR,6-5,205.0,Fr.,Arizona,"Waimanalo, Hawai'i",Servite HS,,tmac96795,,
6,,,4.0,"Roland-Wallace, Christian",CB,6-0,205.0,Jr.,Arizona,"Palmdale, Calif.",William J Knight HS,,,,
7,,,5.0,"Singer, Dorian",WR,6-1,185.0,So.,Arizona,"Saint Paul, Minn.",Pinnacle HS,,,,
8,,,5.0,"Young, Christian",S,6-3,225.0,Sr.,Arizona,"Houston, Texas",Foster HS,,cy_cinco,,
9,,,6.0,"Harris, Jason",DE,6-7,252.0,R-Fr.,Arizona,"Gilbert, Ariz.",Higley HS,Colorado,jason.harris8,,
10,,,6.0,"Wiley, Michael",RB,6-0,210.0,Jr.,Arizona,"Houston, Texas",Strake Jesuit HS,,michaelwiley21,,
11,,,7.0,"de Laura, Jayden",QB,6-0,205.0,So.,Arizona,"Honolulu, Hawai'i",St. Louis HS,Washington State,jaydendelaura,,
12,,,7.0,"Prysock, Ephesians",CB,6-4,180.0,Fr.,Arizona,"Canyon Country, Calif.",Bishop Alemany HS,,ephe5ian5,,
13,,,8.0,"Anderson, Drake",RB,5-11,200.0,Jr.,Arizona,"Chandler, Ariz.",Chandler HS,Northwestern,,,
14,,,8.0,"Lane II, Sterling",LB,6-3,220.0,Fr.,Arizona,"St. Louis, Mo.",Oaks Christian,,,,
15,,,9.0,"Cruz, Gunner",QB,6-6,230.0,R-So.,Arizona,"Gilbert, Ariz.",Casteel HS,Washington State,gunnercruz_,,
16,,,9.0,"Maldonado, Gunner",S,6-0,195.0,So.,Arizona,"Chandler, Ariz.",Chandler HS,Northwestern,gunner.maldonado,,
17,,,10.0,"Joiner, Jamarye",WR,6-1,220.0,R-Jr.,Arizona,"Tucson, Ariz.",Cienega HS,,,,
18,,,10.0,"Solomon, Anthony",LB,6-1,225.0,Sr.,Arizona,"Ft. Lauderdale, Fla.",St. Thomas Aquinas HS,Michigan,prvncesolo,,
19,,,11.0,"Cage, Kolbe",LB,6-1,215.0,R-Fr.,Arizona,"New Orleans, La.",Holy Cross School,,,,
20,,,11.0,"Fifita, Noah",QB,5-11,195.0,Fr.,Arizona,"Kolomotu'a, Tonga",Servite HS,,tonganpino,,
21,,,12.0,"Green Jr., Kevin",WR,5-11,170.0,Fr.,Arizona,"Mission Hills, Calif.",Bishop Alemany HS,,ts.kevo,,
22,,,13.0,"Mays, Isaiah",CB,6-1,200.0,R-Jr.,Arizona,"Berkeley, Calif.",Berkeley HS,City College of San Francisco,amays213,,
23,,,14.0,"Tannenbaum, Cole",QB,6-4,210.0,Fr.,Arizona,"Brentwood, Calif.",Oaks Christian,,,,
24,,,14.0,"Warnell Jr., DJ",S,6-3,200.0,So.,Arizona,"La Marque, Texas",Dickinson HS,UCLA,djwarnell,,
25,,,15.0,"Plummer, Will",QB,6-1,205.0,So.,Arizona,"Gilbert, Ariz.",Gilbert HS,,will_plummer,,
26,,,16.0,"Johnson, Dalton",S,5-11,195.0,R-Fr.,Arizona,"Katy, Texas",Katy HS,,dalton_.johnson,,
27,,,16.0,"Jones, AJ",WR,6-4,200.0,Fr.,Arizona,"Ontario, Calif.",Colony HS,,ajjones.6,,
28,,,18.0,"Taylor, Isaiah",S,5-11,200.0,R-Fr.,Arizona,"Ft. Lauderdale, Fla.",St. Thomas Aquinas,,isaiah_taylor4,,
29,,,19.0,"Fall, Adama",CB,6-2,195.0,R-Fr.,Arizona,"Simi Valley, Calif.",Simi Valley HS,,adamadfall,,
30,,,19.0,"Ostendorp, Kyle",P,6-2,215.0,Jr.,Arizona,"Phoenix, Ariz.",Desert Vista HS,,kyle_ostendorp,,
31,,,20.0,"Luke, Rayshon",RB,5-9,170.0,Fr.,Arizona,"South Central, Calif.",St. John Bosco,,_doughboyspeedy,,
32,,,20.0,"Stukes, Treydan",CB,6-2,190.0,So.,Arizona,"Litchfield Park, Ariz.",Millennium High School,,treydannn,,
33,,,21.0,"John, Jalen",RB,5-11,225.0,So.,Arizona,"Portland, Ore.",Lakeridge High School,,,,
34,,,21.0,"Turner, Jaxen",S,6-2,210.0,Jr.,Arizona,"Moreno Valley, Calif.",Rancho Verde HS,,,,
35,,,23.0,"Davis, Tacario",CB,6-4,185.0,Fr.,Arizona,"Long Beach, Calif.",Milikan,,tacariodavis,,
36,,,23.0,"Rocker Jr., Stevie",RB,6-0,205.0,So.,Arizona,"Tucson, Ariz.",Canyon Del Oro,,baby.rock23,,
37,,,24.0,"Celestine, Jai-Ayviauynn",CB,5-8,167.0,Fr.,Arizona,"Miami, Fla.",Miami Palmetto HS,,foreign.boy7,,
38,,,24.0,"Coleman, Jonah",RB,5-9,225.0,Fr.,Arizona,"Stockton, Calif.",Lincoln HS,,runitupp.jay,,
39,,,25.0,"Hunter, Chris",WR,6-1,185.0,Fr.,Arizona,"New Orleans, La.",Isodore Newman,,,,
40,,,26.0,"Clark, Jaden",WR,5-11,185.0,R-Fr.,Arizona,"Phoenix, Ariz.",Desert Vista HS,,jaden1clark,,
41,,,27.0,"Haynes, Rex",WR,6-4,200.0,Fr.,Arizona,"San Diego, Calif.",Cathedral Catholic,,,,
42,,,27.0,"Uhrich, Will",S,6-1,200.0,Fr.,Arizona,"Burlingame, Calif.",Burlingame,,,,
43,,,28.0,"Bombata, Nazar",RB,6-1,220.0,R-Jr.,Arizona,"Los Angeles, Calif.",Bishop Alemany HS,,kinggg_naz,,
44,,,29.0,"Butler, Jashon",RB,5-10,200.0,R-Jr.,Arizona,"Lynwood, Wash.",Meadowdale HS,,jashon_butler1,,
45,,,29.0,"Dunn, Devin",CB,5-10,190.0,Fr.,Arizona,"Chandler, Ariz.",Chandler,,https://www.instagram.com/devin.dunn9/,,
46,,,30.0,"Stam, Jax",S,5-11,225.0,Fr.,Arizona,"Peoria, Ariz.",Liberty,,,,
47,,,31.0,"Echols, Hunter",DL,6-5,250.0,R-Sr.,Arizona,"Los Angeles, Calif.",Cathedral HS,USC,,,
48,,,32.0,"Weerts, Matt",LB,6-1,220.0,R-Fr.,Arizona,"Batavia, Ill.",Batavia HS,,,,
49,,,32.0,"Williams, DJ",RB,6-2,225.0,Sr.,Arizona,"Lake Placid, Fla.",Sebring HS,Florida State,1amdjwilliams,,
50,,,33.0,"Bohls, James",LB,6-0,215.0,R-Fr.,Arizona,"San Clemente, Calif.",San Clemente HS,,,,
51,,,33.0,"Loop, Tyler",K,6-1,185.0,So.,Arizona,"Lucas, Texas",Lovejoy HS,,tyler_loop,,
52,,,35.0,"Chung, Samuel",S,5-8,160.0,Fr.,Arizona,"Hillsborough, Calif.",Junipero Serra,,s.chung8,,
53,,,36.0,"Edwards, RJ",LB,6-2,222.0,So.,Arizona,"Las Vegas, Nev.",Coronado HS,,therjedwards,,
54,,,37.0,"Garcia, Kevon",DE,6-2,230.0,R-Fr.,Arizona,"New Orleans, La.",DaKaney HS,,,,
55,,,38.0,"Smith, Dante",LB,5-11,225.0,R-Jr.,Arizona,"Round Rock, Texas",Stony Point HS,,dantecirvonni,,
56,,,39.0,"Hawkins, Kameron",LS,5-11,205.0,So.,Arizona,"Victorville, Calif.",Orange Lutheran HS,,thathawksnapper,,
57,,,39.0,"Robinson, Jeffrey",CB,5-9,185.0,R-Fr.,Arizona,"Shakopee, Minn.",Academy of Holy Angels,,_jrob02,,
58,,,40.0,"Allen, Ammon",LB,6-3,215.0,R-Fr.,Arizona,"Mesa, Ariz.",Highland HS,,ammonjallen,,
59,,,41.0,"Siaumau-Sanitoa, Eddie",DE,6-3,245.0,R-So.,Arizona,"Pago Pago, American Samoa",Leone HS,,esiaumau,,
60,,,42.0,"Weinberg, Brady",P,5-10,190.0,Fr.,Arizona,"Apple Valley, Calif.",Apple Valley,,,,
61,,,44.0,"Mercier, Jeremy",LB,6-3,240.0,R-Jr.,Arizona,"Chandler, Ariz.",Basha HS,Utah,jeremymercier_,,
62,,,45.0,"Johnson, Issaiah",LB,6-2,261.0,R-Jr.,Arizona,"Victorville, Calif.",Los Alamitos HS,,zay.johnson__,,
63,,,46.0,"Uiagalelei, Ta'ita'i",DL,6-4,260.0,Fr.,Arizona,"Costa Mesa, Calif.",Mater Dei,,,,
64,,,47.0,"Zayas, Victor",LB,6-2,225.0,R-Fr.,Arizona,"Gilbert, Ariz.",Hamilton HS,,viictor_zayas,,
65,,,48.0,"Roberts, Jerry",LB,6-2,230.0,R-Sr.,Arizona,"Erie, Pa.",Cathedral Prep,Bowling Green,robertsjerry,,
66,,,49.0,"Forbes, Jordan",P,6-0,220.0,Fr.,Arizona,"Mesa, Ariz.",Desert Ridge,,jordan._.f52,,
67,,,50.0,"Craddock, Brandon",LB,5-10,215.0,Fr.,Arizona,"Phoenix, Ariz.",Sandra Day O'Connor,,https://www.instagram.com/brandon.craddock9/,,
68,,,53.0,"Reed, Malik",LB,6-2,230.0,So.,Arizona,"Chandler, Ariz.",Chandler HS,Wisconsin,malik.reed,,
69,,,54.0,"Martin, Tyler",LB,6-1,245.0,Fr.,Arizona,"Acton, Mass.",Buckingham Brown,,,,
70,,,54.0,"Reece, Jacob",OL,6-5,300.0,Fr.,Arizona,"Salt Lake City, Utah",Brighton,,,,
71,,,55.0,"Branch-Haynes, Evan",DL,6-2,300.0,R-Fr.,Arizona,"Richmond, Calif.",Sacred Heart Cathedral Prep,,yvng.ev,,
72,,,55.0,"Hand, JT",OL,6-4,310.0,R-Fr.,Arizona,"Orange County, Calif.",Mission Viejo HS,,jthand.55,,
73,,,56.0,"Donovan, Josh",OL,6-6,325.0,R-Sr.,Arizona,"College Station, Texas",College Station HS,Trinity Valley CC,,,
