,Statistic,#,Full Name,Ht.,Wt.,Pos.,Academic Year,Hometown / High School,Current School Name,Previous School,Image,Name,Title
0,,0.0,"Johnson, Isaiah",6-1,190.0,DB,R-So.,"Blue Spring, W.V. / St. Bernard",Arizona State,,,,
1,,1.0,"Abney, Keith",6-0,183.0,DB,Fr.,"Waxahachie, Texas / Waxahachie",Arizona State,,,,
2,,1.0,"Clark, Jordan",5-10,185.0,DB,R-Sr.,"Baton Rouge, La. / University Lab",Arizona State,,,,
3,,1.0,"Guillory, Xavier",6-2,195.0,WR,R-Jr.,"Spokane, Wash. / Lewis and Clark",Arizona State,Idaho State,,,
4,,2.0,"Alford, Xavion",6-0,190.0,DB,R-Jr.,"Pearland, Texas / Shadow Creek",Arizona State,Texas / USC,,,
5,,2.0,"Badger, Elijhah",6-2,190.0,WR,R-Jr.,"Sacramento, Calif. / Folsom",Arizona State,,,,
6,,2.0,"Black, Kaleb",5-9,165.0,WR,Fr.,"Spring, Texas / Klein Oak",Arizona State,,,,
7,,3.0,"Smith, Clayton",6-4,245.0,DL,R-So.,"Queen City, Texas / Texas High",Arizona State,Oklahoma,,,
8,,3.0,"Smith, Jake",6-0,200.0,WR,R-Jr.,"Scottsdale, Ariz. / Notre Dame",Arizona State,Texas / USC,,,
9,,4.0,"Harrison, Robby",6-4,325.0,DL,R-Fr.,"Greenwood, S.C. / Emerald",Arizona State,,,,
10,,4.0,"Skattebo, Cameron",5-10,222.0,RB,Jr.,"Rio Linda, Calif. / Rio Linda",Arizona State,Sacramento State,,,
11,,5.0,"Edmonds, Chris",6-2,215.0,DB,Sr.,"Phenix City, Ala. / Brookstone",Arizona State,Samford,,,
12,,5.0,"Rashada, Jaden",6-4,185.0,QB,Fr.,"Pittsburg, Calif. / Pittsburg",Arizona State,,,,
13,,5.0,"Russ, Shawn",6-3,185.0,DB,Fr.,"Fort Myers, Fla. / Dunbar",Arizona State,,,,
14,,6.0,"Meredith, Bennett",6-3,195.0,QB,R-Fr.,"Hoover, Ala. / Hoover",Arizona State,,,,
15,,6.0,"Thunderbird, K'Vion",6-1,215.0,LB,Fr.,"Chicago, Ill. / Kenwood Academy",Arizona State,,,,
16,,6.0,"Williams, Macen",5-11,190.0,DB,R-Jr.,"Carson, Calif. / Narbonne",Arizona State,,,,
17,,7.0,"Simmons, Shamari",6-0,180.0,DB,R-Sr.,"Ashland, Ala. / Clay Central",Arizona State,Hutchinson CC / Austin Peay,,,
18,,8.0,"Jacobs, Javen",5-10,190.0,WR,So.,"Chandler, Ariz. / Saguaro",Arizona State,,,,
19,,8.0,"Shaffer, Will",6-0,235.0,LB,R-Jr.,"Tempe, Ariz. / Saguaro",Arizona State,,,,
20,,9.0,"Omeire, Troy",6-3,213.0,WR,R-Jr.,"Sugar Land, Texas / Fort Bend Austin",Arizona State,Texas,,,
21,,9.0,"Torrence, Ro",6-3,210.0,DB,R-Jr.,"Bessemer, Ala. / Bessemer City",Arizona State,Auburn / Hutchinson CC,,,
22,,10.0,"Pyne, Drew",6-0,194.0,QB,R-So.,"New Canaan, Conn. / New Canaan",Arizona State,Notre Dame,,,
23,,10.0,"Woods, Ed",6-0,180.0,DB,R-Jr.,"Oakland, Calif. / McClymonds",Arizona State,,,,
24,,11.0,"Hendrix, Korbin",6-3,180.0,WR,Fr.,"McKinney, Texas / McKinney North",Arizona State,,,,
25,,12.0,"Conyers, Jalin",6-4,265.0,TE,R-Jr.,"Gruver, Texas / Gruver",Arizona State,Oklahoma,,,
26,,13.0,"Cox, Josiah",6-2,180.0,DB,Fr.,"San Diego, Calif. / Lincoln",Arizona State,,,,
27,,13.0,"Lawson, Lenox",5-10,172.0,DB,Fr.,"Mesa, Ariz. / Red Mountain",Arizona State,,,,
28,,13.0,"Pierre, Bryce",6-5,255.0,TE,R-Sr.,"Rancho Cucamonga, Calif. / Rancho Cucamonga",Arizona State,Mt. SAC,,,
29,,14.0,"Freeman, Zeek",5-11,190.0,WR,Sr.,"Grand Prairie, Texas / Arlington Bowie",Arizona State,Kilgore College,,,
30,,15.0,"Conover, Jacob",6-0,213.0,QB,R-So.,"Chandler, Ariz. / Chandler",Arizona State,BYU,,,
31,,15.0,"McLemore, Daylin",6-3,200.0,QB,R-Jr.,"San Mateo, Calif. / Junipero Serra",Arizona State,,,,
32,,15.0,"O'Neal, Elijah",6-4,245.0,DL,Jr.,"Renton, Wash. / Hazen",Arizona State,Butte College,,,
33,,16.0,"Bourguet, Trenton",5-11,185.0,QB,R-Sr.,"Tucson, Ariz. / Marana",Arizona State,,,,
34,,17.0,"Benjamin, Sam",6-5,255.0,DL,R-Fr.,"Oro Valley, Ariz. / Ironwood Ridge",Arizona State,Idaho State,,,
35,,17.0,"Johnson Jr. , Chad",6-2,185.0,WR,R-Jr.,"Los Angeles, Calif. / Cathedral",Arizona State,,,,
36,,17.0,"Williams, Ashley",6-5,225.0,DL,Fr.,"Zachary, La. / Zachary",Arizona State,,,,
37,,18.0,"Warren, Montana",6-3,180.0,DB,Fr.,"Marshall, Texas / Marshall",Arizona State,,,,
38,,18.0,"Williams II, Patrick",6-5,200.0,WR,R-Fr.,"Monroe, La. / Wossman",Arizona State,,,,
39,,19.0,"Bradley, Keontez",6-1,172.0,DB,Fr.,"Mansfield, Ohio / Mansfield Senior",Arizona State,,,,
40,,19.0,"Clark, Max",5-11,170.0,QB,R-Fr.,"Boise, Idaho / Capital",Arizona State,,,,
41,,20.0,"Sanders, Giovanni",6-0,185.0,WR,Gr.,"Murrieta, Calif. / Murrieta Mesa",Arizona State,Utah Tech/Riverside City College,,,
42,,21.0,"Regan, RJ",5-11,180.0,DB,Jr.,"Lakewood, Calif. / Orange Lutheran",Arizona State,,,,
43,,22.0,"McCullough, Caleb",6-2,215.0,LB,R-Jr.,"Oxnard, Calif. / Pacifica",Arizona State,,,,
44,,22.0,"Stovall, Melquan",5-9,185.0,WR,Gr.,"Lancaster, Calif. / Junipero Serra",Arizona State,Nevada / Colorado State,,,
45,,23.0,"Johnson, Donovan",5-11,180.0,DB,R-Fr.,"East Atlanta, Ga. / Cedar Grove",Arizona State,,,,
46,,24.0,"Harts, Willie",5-11,180.0,DB,R-Sr.,"Pittsburg, Calif. / Pittsburg Senior",Arizona State,,,,
47,,25.0,"Brooks, DeCarlos",5-10,210.0,RB,R-Jr.,"Chandler, Ariz. / Chandler",Arizona State,California,,,
48,,25.0,"Luckett, Tarik",6-2,205.0,DB,Sr.,"Compton, Calif. / JSerra Catholic",Arizona State,Colorado / Cisco CC,,,
49,,26.0,"Lee, T",5-10,166.0,WE,R-So.,"Buford, Ga. / Buford",Arizona State,,,,
50,,28.0,"White, Tevin",6-1,210.0,RB,So.,"Stafford, Va. / North Stafford",Arizona State,,,,
51,,29.0,"Douglass, Bryce",5-11,175.0,RB,R-Fr.,"Tempe, Ariz. / Corona Del Sol",Arizona State,,,,
52,,29.0,"Taylor, Alphonso",6-0,200.0,DB,R-Jr.,"Phoenix, Ariz. / North Canyon",Arizona State,Southeastern Louisiana / Utah,,,
53,,31.0,"Boyd III, Jean",6-0,190.0,DB,R-Jr.,"Tempe, Arizona / Corona del Sol",Arizona State,,,,
54,,32.0,"Allen, Charlie",6-1,190.0,LB,R-So.,"Novato, Calif. / Marin Catholic",Arizona State,,,,
55,,32.0,"Dorbah, Prince",6-2,229.0,DL,R-Jr.,"Dallas, Texas / Highland Park",Arizona State,Texas,,,
56,,34.0,"Amey, Myles",6-1,,LB,R-Fr.,"Gilbert, Ariz. / Higley",Arizona State,Idaho State,,,
57,,35.0,"Carlson, Josh",6-0,185.0,P,Gr.,"Gilbert, Ariz. / Gilbert",Arizona State,Utah Tech / New Mexico State,,,
58,,35.0,"Green, B.J.",6-1,275.0,DL,Jr.,"Atlanta, Ga. / McEachern",Arizona State,,,,
59,,36.0,"Gammage, Alijah",5-11,185.0,DB,R-Sr.,"Tempe, Ariz. / Desert Vista",Arizona State,,,,
60,,37.0,"Green Jr., Saadite",5-11,185.0,DB,R-Fr.,"Paramount, Calif. / Inglewood",Arizona State,,,,
