,Num,Name,Pos,Yr,Ht,Wt,Hometown,High School/Previous School,Unnamed: 8,Position,Alma Mater
0,0.0,Nico Davillier,DL,So,6-4,273.0,"Maumelle, Ark.",Maumelle HS,,,
1,0.0,AJ Green,RB,Jr,5-11,205.0,"Tulsa, Okla.",Union HS,,,
2,1.0,KJ Jefferson,QB,R-Sr,6-3,246.0,"Sardis, Miss.",North Panola HS,,,
3,1.0,Lorando Johnson,DB,R-Jr,6-0,195.0,"Lancaster, Texas",Lancaster HS / Baylor,,,
4,2.0,Andrew Armstrong,WR,R-Sr,6-4,201.0,"Dallas, Texas",Bishop Dunne HS / TAMUC,,,
5,2.0,Dwight McGlothern,DB,Sr,6-2,190.0,"Houston, Texas",Klein Oak HS/LSU,,,
6,3.0,Antonio Grier,LB,*R-Sr,6-1,228.0,"Atlanta, Ga.",Mays HS / USF,,,
7,3.0,Malachi Singleton,QB,Fr,6-1,232.0,"Kennesaw, Ga.",North Cobb HS,,,
8,4.0,Malik Chavis,DB,R-Sr,6-2,195.0,"Rison, Ark.",Rison HS,,,
9,4.0,Isaac TeSlaa,WR,Sr,6-4,214.0,"Hudsonville, Mich.",Unity Christian / Hillsdale College,,,
10,5.0,Cameron Ball,DL,R-So,6-5,311.0,"Atlanta, Ga.",Tri-Cities HS,,,
11,5.0,Raheim Sanders,RB,Jr,6-2,237.0,"Rockledge, Fla.",Rockledge HS,,,
12,6.0,Jacolby Criswell,QB,R-Jr,6-1,224.0,"Morrilton, Ark.",Morrilton HS / North Carolina,,,
13,6.0,John Morgan III,DL,*R-Sr,6-2,273.0,"Upper Marlboro, Md.",DeMatha Catholic HS/Pitt,,,
14,7.0,Rashod Dubinion,RB,So,5-10,213.0,"Ellenwood, Ga.",Cedar Grove HS,,,
15,7.0,Trajan Jeffcoat,DL,*R-Sr,6-4,280.0,"Columbia, S.C.",Irmo HS / Missouri,,,
16,8.0,Jayden Johnson,DB,Jr,6-2,206.0,"Cedartown, Ga.",Cedartown HS,,,
17,8.0,Ty Washington,TE,R-Fr,6-4,244.0,"Leesburg, Ga.",Lee County HS,,,
18,9.0,Taurean Carter,DL,R-Sr,6-3,295.0,"Mansfield, Texas",Mansfield Legacy HS,,,
19,9.0,Luke Hasz,TE,Fr,6-3,226.0,"Bixby, Okla.",Bixby HS,,,
20,10.0,Cade Fortin,QB,*R-Sr,6-3,215.0,"Suwanee, Ga.",North Gwinett HS / South Florida,,,
21,11.0,LaDarrius Bishop,DB,*R-Sr,6-0,182.0,"Ashdown, Ark.",Ashdown HS,,,
22,11.0,Sam Mbake,WR,So,6-3,203.0,"Kennesaw, Ga.",North Cobb HS,,,
23,13.0,Alfahiym Walcott,DB,*Sr,6-2,215.0,"Wilmington, N.C.",Laney HS/Baylor,,,
24,13.0,Jaedon Wilson,WR,R-So,6-3,178.0,"DeSoto, Texas",DeSoto HS,,,
25,14.0,RJ Johnson,DB,Fr,6-2,172.0,"Locust Grove, Ga.",Eagles Landing Christian,,,
26,14.0,Bryce Stephens,WR,R-So,6-0,175.0,"Oklahoma City, Okla.",John Marshall HS,,,
27,15.0,Landon Rogers,WR,R-So,6-4,205.0,"Little Rock, Ark.",Parkview HS,,,
28,16.0,Jaylon Braxton,DB,Fr,6-0,184.0,"Frisco, Texas",Lone Star HS,,,
29,16.0,Isaiah Sategna,WR,R-Fr,5-11,178.0,"Fayetteville, Ark.",Fayetteville HS,,,
30,17.0,Tyrone Broden,WR,R-Sr,6-7,197.0,"Detroit, Mich.",West Bloomfield HS / Bowling Green,,,
31,17.0,Hudson Clark,DB,R-Sr,6-2,185.0,"Dallas, Texas",Highland Park HS,,,
32,18.0,TJ Metcalf,DB,Fr,6-1,200.0,"Birmingham, Ala.",Pinson Valley HS,,,
33,18.0,Kade Renfro,QB,R-Jr,6-3,201.0,"Stephenville, Texas",Stephenville HS / Ole Miss,,,
34,19.0,Rykar Acebo,QB,R-Fr,6-4,192.0,"Jonesboro, Ark.",Jonesboro HS,,,
35,19.0,Dallas Young,DB,Fr,6-0,197.0,"Gardendale, Ala.",Gardendale HS,,,
36,20.0,Dominique Johnson,RB,R-Jr,6-1,253.0,"Crowley, Texas",Crowley HS,,,
37,21.0,Jaylen Lewis,DB,R-Fr,6-0,189.0,"Brownsville, Tenn.",Haywood HS,,,
38,22.0,Brad Spence,LB,Fr,6-2,240.0,"Houston, Texas",Klein Forest HS,,,
39,23.0,Carson Dean,LB,Fr,6-4,232.0,"Frisco, Texas",Hebron HS,,,
40,24.0,Quincey McAdoo,DB,So,6-2,187.0,"Clarendon, Ark.",Clarendon HS,,,
41,25.0,Braylon Watson,DB,R-Fr,6-2,203.0,"Malvern, Ark.",Malvern HS,,,
42,26.0,Landon Phipps,DB,R-Fr,6-0,187.0,"Springdale, Ark.",Springdale HS,,,
43,27.0,Chris Paul Jr.,LB,R-So,6-1,230.0,"Cordele, Ga.",Crisp County HS,,,
44,28.0,Blake Ford,K,R-Fr,6-1,224.0,"Arlington, Texas",Lamar HS,,,
45,28.0,Mason Schueck,LB,R-Fr,6-2,219.0,"Little Rock, Ark.",Pulaski Academy,,,
46,29.0,Cam Little,K/P,Jr,6-2,181.0,"Moore, Okla.",Southmoore HS,,,
47,29.0,John Paul Pickens,DB,R-Fr,6-0,185.0,"Jonesboro, Ark.",Jonesboro HS,,,
48,30.0,Ashton Ngo,LS,Jr,5-11,224.0,"Andover, Kan.",Andover HS / Hutchinson CC,,,
49,30.0,Ethan Joseph,DB,R-Fr,6-2,203.0,"Alpharetta, Ga.",King's Ridge Christian,,,
50,31.0,Max Fletcher,P,So,6-5,176.0,"Melbourne, Australia",ProKick Australia,,,
51,31.0,Courtney Snelling,DB,R-Sr,5-11,163.0,"Little Rock, Ark.",Joe T. Robinson HS,,,
52,33.0,Dylan Hasz,DB,Fr,5-11,184.0,"Bixby, Okla.",Bixby HS,,,
53,34.0,Hunter Talley,TE,R-Fr,6-4,234.0,"Siloam Springs, Ark.",Siloam Springs HS,,,
54,35.0,Mani Powell,LB,So,6-3,230.0,"Fayetteville, Ark.",Fayetteville HS,,,
55,36.0,Jordan Crook,LB,So,6-0,223.0,"Duncanville, Texas",Duncanville HS,,,
56,37.0,Devin Bale,P,Jr,6-3,216.0,"La Jolla, Calif.",La Jolla HS / N. Colorado,,,
57,38.0,Alex Hurtz,K,R-Fr,6-0,163.0,"Pearcy, Ark.",Lake Hamilton HS,,,
