,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / Prev School,Current School Name,Image,Title
0,,0.0,Daverrick Jenkins,WR,6-1,173.0,Fr.,"Miami, Fla. / Northwestern HS",Arkansas State,,
1,,0.0,John Mincey,DL,6-4,291.0,Sr.,"Homerville, Ga. / Tennessee",Arkansas State,,
2,,1.0,James Blackman,QB,6-5,190.0,R-Sr.,"South Bay, Fla. / Florida State",Arkansas State,,
3,,1.0,Samy Johnson,CB,5-10,192.0,Jr.,"Little Rock, Ark. / Catholic HS",Arkansas State,,
4,,2.0,Leon Jones,CB,6-1,195.0,Jr.,"Hattiesburg, Miss. / Mississippi Gulf Coast CC",Arkansas State,,
5,,2.0,Johnnie Lang,RB,5-8,193.0,R-Sr.,"Palmetto, Fla. / Iowa State",Arkansas State,,
6,,3.0,Kenneth Harris,CB,6-0,193.0,So.,"Columbia, La / Caldwell Parish HS",Arkansas State,,
7,,4.0,Taylon Doss,CB,5-10,186.0,So.,"Shannon, Miss. / Shannon HS",Arkansas State,,
8,,4.0,Brian Snead,RB,6-0,210.0,R-Jr.,"Tampa, Fla. / Austin Peay",Arkansas State,,
9,,5.0,Kivon Bennett,LB,6-2,241.0,R-Sr.,"Fort Lauderdale, Fla. / Tennessee",Arkansas State,,
10,,5.0,Ja'Quez Cross,RB,5-9,182.0,R-Fr.,"Hampton, Ark. / Purdue",Arkansas State,,
11,,6.0,Wyatt Begeal,WR,5-11,201.0,R-Fr.,"Cibolo, Texas / Steele HS",Arkansas State,,
12,,6.0,Ahmad Robinson,CB,5-11,180.0,Fr.,"East St. Louis, Ill. / East St. Louis HS",Arkansas State,,
13,,7.0,Champ Flemings,WR,5-6,155.0,R-Sr.,"Pasadena, Calif. / Oregon State",Arkansas State,,
14,,7.0,Terion Sugick,DL,6-1,274.0,Fr.,"Landover, Md. / Vanderbilt",Arkansas State,,
15,,8.0,Eddie Smith,S,6-0,201.0,R-Jr.,"Slidell, La. / Illinois/Alabama",Arkansas State,,
16,,8.0,Khyheem Waleed,WR,5-11,199.0,R-So.,"Queen Creek, Ariz. / Boise State",Arkansas State,,
17,,9.0,Trevian Thomas,S,5-11,188.0,So.,"Americus, Ga / Americus Sumter County South HS",Arkansas State,,
18,,10.0,Jordan Carmouche,LB,6-1,222.0,R-Sr.,"Manvel, Texas / Houston",Arkansas State,,
19,,10.0,Te'Vailance Hunt,WR,6-1,207.0,Sr.,"Texarkana, Texas / TCU",Arkansas State,,
20,,11.0,Jaden Harris,LB,6-1,224.0,R-Jr.,"Monroe, La. / Ouachita Parish HS",Arkansas State,,
21,,11.0,Adam Jones,WR,6-2,184.0,R-So.,"Knoxville, Tenn. / Central Michigan",Arkansas State,,
