,Statistic,NO.,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Instagram,Twitter,Image,Title
0,,0.0,Koy Moore,WR,6-1,198.0,Jr.,"Kenner, La. / Archbishop Rummel",,,,
1,,0.0,DeMario Tolan,LB,6-1,203.0,So.,"Orlando, Fla. / Dr. Phillips",shinetime._8,DemarioTolan,,
2,,1.0,T.J. Finley,QB,6-7,260.0,Jr.,"Ponchatoula, La. / Ponchatoula",tjfinley1,tj_finley1,,
3,,1.0,Jeffrey M'Ba,DL,6-6,307.0,Jr.,"Libreville, Gabon /",@j5ffrey,@Jeffrey_mbaa,,
4,,3.0,Tar'Varish Dawson Jr.,WR,5-10,159.0,So.,"Fort Myers, Fla. / Lehigh Senior",lilrockstar5,TarvarishD,,
5,,3.0,Kayin Lee,CB,5-11,184.0,Fr.,"Ellenwood, Ga. / Cedar Grove",_kayinlee,_KayinLee,,
6,,4.0,Camden Brown,WR,6-3,199.0,So.,"Monroe, La. / St. Thomas Aquinas (Fla.)",cammdenn,CamdenBrown7,,
7,,4.0,D.J. James,CB,6-1,170.0,Sr.,"Mobile, Ala. / Spanish Fort",,,,
8,,5.0,Jay Fair,WR,5-10,179.0,So.,"Rockwall, Texas / Rockwall-Heath",@_jayfair_,@_jayfair1_,,
9,,5.0,Donovan Kaufman,S,5-10,203.0,Jr.,"New Orleans, La. / Archbishop Rummel",sosakaufman,SosaKaufman,,
10,,6.0,Ja'Varrius Johnson,WR,5-10,165.0,Sr.,"Trussville, Ala. / Hewitt-Trussville",javarrius3,varjohnson1,,
11,,6.0,Keionte Scott,CB,6-0,186.0,Jr.,"San Diego, Calif. / Helix",,,,
12,,8.0,Austin Ausberry,S,6-0,203.0,R-Fr.,"Baton Rouge, La. / University Laboratory School",austinausberry,AusberryAustin,,
13,,8.0,Nick Mardner,WR,6-6,209.0,Sr.,"Oakville, Ontario / Clarkson Secondary",nickmardner,Nmardner,,
14,,9.0,Eugene Asante,LB,6-1,219.0,Jr.,"Alexandria, Va. / Westfield",,,,
15,,9.0,Robby Ashford,QB,6-3,212.0,So.,"Hoover, Ala. / Hoover",,,,
16,,10.0,Zion Puckett,S,6-0,230.0,Sr.,"Griffin, Ga. / Spalding",_zionpuckett,ZionPuckett,,
17,,11.0,Elijah McAllister,Jack,6-6,271.0,Sr.,"Asbury Park, N.J. / Rumson-Fair Haven",e_mcallister1,e_McAllister1,,
18,,12.0,Holden Geriner,QB,6-3,212.0,R-Fr.,"Savannah, Ga. / Benedictine Military",@_Holden_Geriner,@HoldenGeriner,,
19,,12.0,Austin Keys,LB,6-2,235.0,Jr.,"Taylorsville, Miss. / Seminary",,,,
20,,13.0,Rivaldo Fairweather,TE,6-4,251.0,Jr.,"Lauderhill, Fla. / Boyd Anderson",valdo_era,rivaldo_f13,,
21,,13.0,Cam Riley,LB,6-5,237.0,Jr.,"Evergreen, Ala. / Hillcrest",camriley7,camriley_,,
22,,14.0,Marquise Gilbert,S,6-2,186.0,Jr.,"Daytona Beach, Fla. / Flagler Palm Coast",@lil_rambo3k,@_Rambo3k,,
23,,14.0,Landen King,WR,6-5,209.0,So.,"Beaumont, Texas / Atascocita",ssjlando,Landen_King3,,
24,,15.0,Keldric Faulk,Jack,6-6,275.0,Fr.,"Highland Home, Ala. / Highland Home",darealkel04,FaulkKeldric,,
25,,16.0,Malcolm Johnson Jr.,WR,6-1,195.0,Jr.,"Bryans Road, Md. / St. Stephen's and St. Agnes",thejjett,thejjett,,
26,,17.0,Robert Woodyard Jr.,LB,6-0,241.0,R-Fr.,"Mobile, Ala. / Williamson",slivery.1,RobertWoodyard2,,
27,,18.0,Nehemiah Pritchett,CB,6-1,182.0,Sr.,"Jackson, Ala. / Jackson",king_mighty1,NehemiahP_2019,,
28,,19.0,Omari Kelly,WR,6-0,179.0,So.,"Trussville, Ala. / Hewitt-Trussville",omarikelly3,kelly_omari,,
29,,20.0,Cayden Bridges,S,6-2,222.0,So.,"Magee, Miss. / Magee",1way_cay,03Cayden,,
30,,20.0,Sawyer Pate,QB,6-1,228.0,So.,"Alabaster, Ala. / Thompson",sawpate8,PateSawyer,,
31,,21.0,Brian Battie,RB,5-7,165.0,Jr.,"Sarasota, FL / Sarasota",brian.1k,Battie941,,
32,,21.0,Caleb Wooden,S,6-1,188.0,So.,"Lawrenceville, Ga. / Archer",@realcalebwooden,@Caleb_Wooden,,
33,,22.0,Damari Alston,RB,5-9,206.0,So.,"Atlanta, Ga. / Woodward Academy",maari1k,DamariAlston,,
34,,22.0,Brenton Williams,Jack,6-3,248.0,Fr.,"Opelika, Ala. / Opelika",likebrent,Br3ntonWilliams,,
35,,23.0,J.D. Rhym,CB,6-1,184.0,So.,"Valdosta, Ga. / Valdosta",@jayrhym1,@JadarianRhym2_,,
36,,24.0,Craig McDonald,S,6-2,199.0,So.,"Minneapolis, Minn. / Minnehaha Academy",craig7mcd,Craig7mcd,,
37,,26.0,Tony Hunley Jr.,CB,5-9,171.0,So.,"Anniston, Ala. / Anniston",,,,
38,,27.0,Jarquez Hunter,RB,5-10,210.0,Jr.,"Philadelphia, Miss. / Neshoba Central",thejarquezhunter,jarquezhunter,,
39,,28.0,Jackson Billings,WR,5-10,198.0,So.,"Huntsville, Ala. / Westminster Christian",_jackson_billings_,jacksonbill01,,
40,,28.0,Hayden Brice,Jack,6-3,234.0,Sr.,"Jackson, Miss. / St. Joseph",_haydenbrice,Heeezus,,
41,,31.0,Powell Gordon,LB,6-2,222.0,R-Fr.,"Auburn, Ala. / Auburn",@powell572,@powellG88,,
42,,32.0,Trent Mason,WR,6-1,191.0,So.,"Lakeland, Fla. / Lakeland Christian",trent_mason9,,,
43,,32.0,Wesley Steiner,LB,6-0,239.0,Sr.,"Warner Robins, Ga. / Houston County",itsyaboi_wes,ItsYa_Boi_Wes,,
44,,33.0,Camden Etheredge,TE,6-0,213.0,R-Fr.,"Leeds, Ala. / Auburn",camdenetheredge,cam_etheredge,,
45,,33.0,Mosiah Nasili-Kite,DL,6-2,288.0,Sr.,"Pittsburg, Calif. / Emerald Ridge",mosiahkite,,,
46,,35.0,Justin Jones,RB,6-1,210.0,Jr.,"Bessemer, Ala. / Bessemer Academy",,,,
47,,36.0,Luke Reebals,RB,5-10,187.0,R-Fr.,"Birmingham, Ala. / Briarwood Christian",luke_reebals23,LReebals,,
48,,36.0,Jaylin Simpson,CB,6-1,177.0,Sr.,"Brunswick, Ga. / Frederica Academy",3k.simpp,jaylinsimp,,
49,,37.0,Rod Elston,CB,5-9,192.0,So.,"Anniston, Ala. / Oxford",,,,
50,,37.0,Daniel Perez,P,5-11,202.0,R-Fr.,"Brentwood, Tenn. / Brentwood Academy",,D_perez31,,
51,,38.0,Alex McPherson,K,5-9,157.0,R-Fr.,"Fort Payne, Ala. / Fort Payne",alex_mcpherson04,AlexMc83,,
52,,39.0,Dylan Brooks,Jack,6-4,245.0,So.,"Roanoke, Ala. / Handley",Dylan_26k,_dylanbrooks,,
53,,39.0,Marshall Meyers,K,5-7,213.0,So.,"Opelika, Ala. / Opelika",_marshallmeyers_,Marshal06586591,,
54,,42.0,Kyle Vaccarella,LS,6-3,227.0,So.,"/ Fairfield, Conn.",kylevac_42,KyleVaccarella,,
55,,44.0,Sean Jackson,RB,5-9,233.0,So.,"Trussville, Ala. / Hewitt-Trussville",jackboy_502,Jackboy_33_,,
