,#,First,Last,Height,lbs.,Position,Class,City,Current School Name,Hometown,Last School,Years
0,0,Jakob,Robinson,5-11,170,Cornerback,JR,Orem,BYU,Utah,Utah State / Orem HS,2021-2023
1,0,Kody,Epps,5-11,187,Wide Receiver,SO,Los Angeles,BYU,California,Mater Dei High School,2020-2023
2,1,Keanu,Hill,6-4,215,Wide Receiver,JR,Bedford,BYU,Texas,Trinity High School,2019-2023
3,1,Micah,Harper,5-10,192,Safety,SO,Chandler,BYU,Arizona,Basha High School,2020-2023
4,2,Ben,Bywater,6-3,235,Linebacker,JR,Salt Lake City,BYU,Utah,Olympus High School,2019-2023
5,2,Chase,Roberts,6-4,210,Wide Receiver,SO,Highland,BYU,Utah,American Fork HS,2021-2023
6,3,Aidan,Robbins,6-3,230,Running Back,JR,Louisville,BYU,Kentucky,UNLV,2023
7,3,Chaz,Ah You,6-2,220,Linebacker,SR,Saratoga Springs,BYU,Utah,Westlake High School,2017 | 2019-2023
8,4,Miles,Davis,6-2,210,Running Back,SO,Las Vegas,BYU,Nevada,Las Vegas HS,2020-2023
9,4,Caleb,Christensen,5-10,187,Cornerback,JR,Smithfield,BYU,Utah,Sky View High School,2020-2023
10,5,Sol-Jay,Maiava-Peters,6-1,200,Running Back,SO,Hau'ula,BYU,Hawaii,St. John's College HS,2020-2023
11,5,Eddie,Heckard,5-10,190,Cornerback,SR,Las Vegas,BYU,Nevada,Weber State,2023
12,7,Hinckley,Ropati,5-10,215,Running Back,SR,Downey,BYU,California,Cerritos College,2020-2023
13,7,George,Udo,6-1,200,Cornerback,SR,Antioch,BYU,California,Berean Christian High School,2019-2023
14,10,Kedon,Slovis,6-3,215,Quarterback,SR,Scottsdale,BYU,Arizona,Pittsburgh,2023
15,11,Cade,Fennegan,6-2,190,Quarterback,SO,Dallas,BYU,Texas,Boise State,2021-2023
16,12,Jake,Retzlaff,6-2,205,Quarterback,JR,Corona,BYU,California,Riverside City College,2023
17,12,Malik,Moore,6-1,195,Safety,SR,San Diego,BYU,California,Point Loma High School,2018-2023
18,13,Masen,Wake,6-1,260,Tight End,SR,Cedar Hills,BYU,Utah,Lone Peak High School,2019-2023
19,13,Isaiah,Bagnah,6-4,235,Defensive End,JR,"Lethbridge, Alberta",BYU,,Boise State,2023
20,15,Nick,Billoups,6-2,203,Quarterback,SO,San Clemente,BYU,California,San Clemente HS,2021-2023
21,16,Cole,Hagen,6-2,185,Quarterback,FR,Draper,BYU,Utah,Corner Canyon High School,2023
22,16,Isaiah,Glasker,6-5,220,Linebacker,FR,South Jordan,BYU,Utah,Bingham HS,2022-2023
23,17,Preston,Rex,6-0,191,Safety,FR,San Clemente,BYU,California,San Clemente High School,2022-2023
24,18,Ryder,Burton,6-2,200,Quarterback,FR,Springville,BYU,Utah,Springville High School,2023
25,19,Mory,Bamba,6-3,180,Cornerback,JR,Menomonee Falls,BYU,Wisconsin,Tyler Junior College,2022-2023
26,19,Ace,Kaufusi,6-3,205,Linebacker,FR,Kahuku,BYU,Hawaii,Kahuku High School,2023
27,20,Jacob,Boren,5-9,180,Cornerback,SR,Salt Lake City,BYU,Utah,Highland High School,2019-2023
28,20,Nukuluve,Helu,6-1,215,Running Back,FR,Tooele,BYU,Utah,Tooele High School,2023
29,21,Dean,Jones,6-2,205,Safety,SO,Queen Creek,BYU,Arizona,American Leadership Academy,2021-2023
30,21,Enoch,Nawahine,6-1,210,Running Back,SO,Kahuku,BYU,Hawaii,Utah State,2022-2023
31,22,Ammon,Hannemann,6-1,211,Linebacker,JR,Highland,BYU,Utah,Lone Peak High School,2019-2023
32,22,Mason,Fakahua,6-2,240,Tight End,JR,Cedar City,BYU,Utah,Cedar City High School,2020-2023
33,23,Hobbs,Nyberg,5-11,195,Wide Receiver,JR,St. George,BYU,Utah,Dixie HS,2020-2023
34,23,Chika,Ebunoha,6-0,180,Safety,FR,Tucson,BYU,Arizona,Marana High School,2022-2023
35,24,Ryan,Rehkow,6-6,235,Punter,JR,Veradale,BYU,Washington,Central Valley High School,2020-2023
36,25,Talan,Alfrey,6-3,205,Safety,SO,Auburn,BYU,Washington,Auburn Mountainview HS,2021-2023
37,26,Morgan,Pyper,6-2,215,Running Back,SR,Idaho Falls,BYU,Idaho,Hillcrest High School,2018-2023
38,26,Ethan,Slade,6-0,190,Safety,SO,Orem,BYU,Utah,Orem High School,2020-2023
39,27,Marcus,McKenzie,6-0,172,Cornerback,FR,St. George,BYU,Utah,Pine View High School,2023
40,28,Tanner,Wall,6-1,200,Safety,SO,Arlington,BYU,Virginia,Yorktown HS,2021-2023
41,29,Jayden,Dunlap,6-1,173,Cornerback,JR,Carson,BYU,California,Cerritos College,2023
42,30,Quenton,Rice,6-1,195,Cornerback,SO,Las Vegas,BYU,Nevada,Faith Lutheran HS,2021-2023
43,30,Kyson,Hall,5-11,182,Wide Receiver,FR,Spanish Fork,BYU,Utah,Maple Mountain High School,2022-2023
