,Statistic,No.,Name,Elig.,Pos.,Ht.,Wt.,Hometown / High School,Image,Title
0,,0.0,Alex Washington,Gr.,DB,6-0,190.0,"Hoover, Ala. / Mountain Brook",,
1,,0.0,Jaden Williams,Jr.,WR,5-9,184.0,"Pflugerville, Texas / Hendrickson",,
2,,1.0,Elijah Jones,Gr.,DB,6-2,184.0,"Harlem, N.Y. / Cardinal Hayes HS",,
3,,2.0,Joseph Griffin Jr.,So.,WR,6-4,200.0,"Springfield, Mass. / Springfield Central",,
4,,2.0,Bryce Steele,Jr.,LB,6-1,228.0,"Raleigh, N.C. / Millbrook",,
5,,3.0,Peter Delaportas,R-Fr.,QB,6-3,199.0,Jefferson / Jefferson Township,,
6,,3.0,Khari Johnson,Sr.,DB,5-10,193.0,"Boston, Mass. / Suffield Academy",,
7,,4.0,Ryan O'Keefe,Gr.,WR,5-10,172.0,"Austin, Texas / Round Rock",,
8,,5.0,Kam Arnold,Sr.,LB,6-1,232.0,"West Bloomfield, Mich. / St. Mary's",,
9,,5.0,Kye Robichaux,Jr.,RB,6-0,217.0,"Columbus, Ga. / Glenwood",,
10,,6.0,Donovan Ezeiruaku,Jr.,DE,6-2,250.0,"Williamstown, N.J. / Williamstown",,
11,,7.0,Xavier Coleman,R-So.,RB,5-7,182.0,"Willingboro, N.J. / Lenape",,
12,,7.0,Sione Hala,R-Fr.,DB,6-1,214.0,"Los Angeles, Calif. / St. John Bosco",,
13,,8.0,Jaylen Blackwell,R-So.,LB,6-0,217.0,"McDonough, Ga. / Union Grove",,
14,,8.0,Matthew Rueve,R-Jr.,QB,6-4,209.0,"Cincinnati, Ohio / St. Xavier",,
15,,9.0,Josiah Griffin,Fr.,DL,6-3,230.0,"Springfield, Mass. / Springfield Central",,
16,,9.0,Dante Reynolds,R-So.,WR,5-10,182.0,"Chicago, Ill. / Kenwood Academy",,
17,,10.0,Jalen Cheek,R-So.,DB,6-1,199.0,"Sicklerville, N.J. / Winslow Township",,
18,,11.0,Lewis Bond,R-So.,WR,5-11,187.0,"Chicago, Ill. / Kenwood Academy",,
19,,11.0,Shitta Sillah,Gr.,DE,6-4,250.0,"Somerset, N.J. / Mater Dei Prep",,
20,,13.0,Khris Banks,Gr.,DL,6-2,301.0,"Paterson, N.J. / DePaul Catholic",,
21,,13.0,Dino Tomlin,R-Sr.,WR,5-11,186.0,"Pittsburgh, Pa. / Shady Side",,
22,,14.0,Emmett Morehead,R-So.,QB,6-5,240.0,"Woodside, Calif. / Episcopal",,
23,,14.0,Jalon Williams,R-So.,CB,5-10,196.0,"Grand Prairie, Texas / South Grand Prairie",,
24,,15.0,Shawn Battle,Fr.,DB,5-10,172.0,"Philadelphia, Pa. / Saints Neumann Goretti",,
25,,15.0,Shane Hanafin,R-Fr.,QB,6-0,201.0,"Burlington, Mass. / Buckingham Browne & Nichols",,
26,,15.0,Quintayvious Hutchins,R-So.,TE,6-1,229.0,"Bessemer, Ala. / Bessemer City",,
27,,16.0,Isaiah Farris,R-Fr.,DB,6-0,155.0,"Fort Lauderdale, Fla. / Cardinal Gibbons",,
28,,16.0,Jacobe Robinson,Fr.,QB,6-2,225.0,"Henderson, Texas / Henderson",,
29,,17.0,Jeremiah Franklin,So.,TE,6-3,238.0,"Walkersville, Md. / Walkersville",,
30,,17.0,Edwin Kolenge,R-Fr.,DL,6-3,250.0,"Montreal, Que. / Loomis Chaffee",,
31,,18.0,Josh Hardy,R-Fr.,DE,6-4,242.0,"Bowie, Md. / Annapolis Area Christian School",,
32,,18.0,Andrew Landry,R-Jr.,TE,6-5,235.0,"Newton, Mass. / Newton North",,
33,,19.0,Jack Brandon,R-So.,QB,6-2,205.0,"Williamsville, N.Y. / Cheshire Academy",,
34,,19.0,Neto Okpala,Jr.,DE,6-0,250.0,"Loganville, Ga. / Loganville",,
35,,20.0,Alex Broome,So.,RB,5-6,190.0,"Nashville, Tenn. / Lipscomb Academy",,
36,,20.0,KP Price,Fr.,DB,6-0,190.0,"Baltimore, Md. / St. Frances Academy",,
37,,21.0,Cam Barfield,So.,RB,5-6,183.0,"Las Vegas, Nev. / Bishop Gorman",,
38,,21.0,Victor Nelson,R-Jr.,DB,6-2,215.0,"Gainesville, Fla. / Buchholz",,
39,,23.0,Cole Batson,R-So.,DB,6-4,209.0,"San Clemente, Calif. / San Clemente",,
40,,24.0,Pat Garwo III,R-Sr.,RB,5-9,208.0,"Levittown, Pa. / Conwell-Egan",,
41,,24.0,Amari Jackson,So.,CB,5-10,186.0,"McDonough, Ga. / Eagle's Landing",,
42,,25.0,Andre Hines,R-Jr.,RB,6-2,233.0,"Staten Island, N.Y. / Erasmus Hall",,
43,,25.0,Jamareeh Jones,R-So.,DB,5-11,207.0,"Richmond, Va. / Highland Springs",,
44,,26.0,CJ Clinkscales,R-Fr.,DB,5-7,167.0,"Buford, Ga. / Buford",,
45,,27.0,Daveon Crouch,So.,LB,6-1,231.0,"Tampa, Fla. / Wharton",,
46,,28.0,Carter Davis,Fr.,DB,6-0,182.0,"Baltimore, Md. / Mount Saint Joseph",,
47,,28.0,Jackson Gugni,Sr.,LS,6-2,208.0,"Beverly Hills, Mich. / Groves",,
48,,29.0,Jason Scott,R-Jr.,DB,5-11,181.0,"Laurel, Md. / Our Lady of Good Counsel",,
49,,30.0,Steve Lubischer,R-Sr.,DB,6-1,205.0,"Oceanport, N.J. / Red Bank Catholic",,
50,,34.0,Tim Hays,R-Fr.,LB,6-0,227.0,"Concord, Mass. / Concord-Carlisle",,
51,,35.0,John Pupel,Gr.,DB,6-1,203.0,"Traverse City, Mich. / Traverse City",,
52,,36.0,Billy Van Pelt,R-Fr.,LB,6-0,224.0,"Houston, Texas / Strake Jesuit",,
53,,38.0,Nick Nicotra,Sr.,WR,5-10,189.0,"Lenox, Mass. / Lenox Memorial",,
54,,39.0,Brandon Summers,Sr.,DB,5-9,150.0,"Boston, Mass. / Lynn Classical",,
55,,39.0,Jackson Treister,R-Jr.,RB,5-8,200.0,"Pasadena, Calif. / Polytechnic School",,
56,,41.0,Jirhe Love,Gr.,DB,6-0,195.0,"Upper Marlboro, Md. / Gonzaga College H.S.",,
57,,42.0,Vinny DePalma,Gr.,LB,5-11,226.0,"Wayne, N.J. / DePaul Catholic",,
58,,43.0,Sam Candotti,So.,P,6-1,191.0,"Niddre Victoria, Australia / Buckley Park College",,
59,,45.0,Joe Marinaro,R-Jr.,LB,5-10,230.0,"Wayzata, Minn. / Belilde-St. Margaret’s",,
60,,52.0,Owen McGowan,R-So.,LB,5-11,227.0,"Canton, Mass. / Catholic Memorial",,
61,,53.0,Dwayne Allick,R-Jr.,OL,6-2,313.0,"Laurel, Md. / DeMatha",,
62,,54.0,Juan Zabal,R-Fr.,LB,6-0,229.0,"Mexico City, Mexico / IMG Academy",,
63,,55.0,Noah Kahapea,R-Fr.,OL,6-4,296.0,"Brentwood, Calif. / St. Thomas More",,
64,,55.0,Kwan Williams,So.,DL,6-1,312.0,"Baltimore, Md. / McDonogh School",,
65,,59.0,Regen Terry,R-Jr.,DL,6-3,290.0,"Florence, Ariz. / Florence",,
66,,60.0,Kyle Hergel,Gr.,OL,6-2,314.0,"Toronto, Ont. / Clarkson Football North",,
67,,61.0,Nick Thomas,R-So.,OL,6-4,310.0,"East Orange, N.J. / Immaculate Conception",,
68,,62.0,Otto Hess,R-So.,OL,6-6,303.0,"Oswego, Ill. / Oswego",,
69,,65.0,Logan Taylor,R-So.,OL,6-7,304.0,"Bridgewater, N.S. / Episocal",,
70,,66.0,Drew Kendall,R-So.,OL,6-4,285.0,"Norwell, Mass. / Noble and Greenough School",,
