,Statistic,No.,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Current School Name,Previous School,Image,Title
0,,0.0,Cashius Howell,OLB,6-4,235.0,So.,"Kansas City, Mo. / Rockhurst",Bowling Green,,,
1,,0.0,Ta'ron Keith,RB,5-10,195.0,Jr.,"DeLand, Fla. / Mainland",Bowling Green,,,
2,,1.0,Odieu Hiliare,WR,6-0,180.0,Sr.,"Belle Glade, Fla. / Glades Central HS",Bowling Green,Alabama A&M,,
3,,1.0,Jordan Oladokun,CB,6-0,185.0,Jr.,"Tampa, Fla. / Gaither HS",Bowling Green,Samford,,
4,,2.0,Brock Horne,ILB,6-1,235.0,Sr.,"Romeo, Mich. / Romeo",Bowling Green,,,
5,,2.0,Abdul-Fatai Ibrahim,WR,6-1,190.0,Sr.,"Miramar, Fla. / Miramar HS",Bowling Green,Alabama A&M,,
6,,3.0,Lucian Anderson III,QB,6-3,190.0,Fr.,"Athens, Ga. / Clarke Central HS",Bowling Green,,,
7,,3.0,Jalen Huskey,CB,6-1,180.0,So.,"Gaithersburg, Md. / Quince Orchard HS",Bowling Green,,,
8,,4.0,Deshawn Jones Jr.,CB,5-11,180.0,Jr.,"Akron, Ohio / East CLC",Bowling Green,,,
9,,4.0,Terion Stewart,RB,5-9,210.0,So.,"Memphis, Tenn. / Sandusky (Ohio)",Bowling Green,,,
10,,5.0,Shamoun Duncan-Niusulu,DB,6-1,195.0,Jr.,"Union City, Calif. / James Logan HS",Bowling Green,College of San Mateo,,
11,,5.0,Nick Mosley,RB,5-10,200.0,Jr.,"Pickerington, Ohio / Pickerington Central",Bowling Green,,,
12,,6.0,Bo Tate,WR,6-2,190.0,Jr.,"Oxnard, Calif. / Oxnard HS",Bowling Green,Ventura College,,
13,,7.0,Connor Bazelak,QB,6-3,220.0,Sr.,"Dayton, Ohio / Archbishop Alter HS",Bowling Green,Indiana,,
14,,7.0,Darius Lorfils,CB,6-2,175.0,So.,"Germantown, Md. / Northwest HS",Bowling Green,,,
15,,8.0,Jhaylin Embry,WR,6-0,180.0,Jr.,"Jacksonville, Fla. / Sandalwood",Bowling Green,,,
16,,8.0,Trent Simms,S,6-0,205.0,Jr.,"Toledo, Ohio / Sylvania Northview",Bowling Green,,,
17,,9.0,Griffin Little,TE,6-4,240.0,Jr.,"Fort Wayne, Ind. / Homestead",Bowling Green,,,
18,,10.0,Levi Gazarek,TE,6-5,250.0,Jr.,"North Baltimore, Ohio / North Baltimore",Bowling Green,,,
19,,10.0,Justin Lynch,DB,6-0,175.0,Jr.,"Dublin, Calif. / Dublin HS",Bowling Green,Laney CC,,
20,,10.0,Daelen Menard,QB,5-11,210.0,Sr.,"Davie, Fla. / Chaminade-Madonna HS",Bowling Green,Boston College,,
21,,11.0,Demetrius Hardamon,OLB,6-4,235.0,Sr.,"Beavercreek, Ohio / Beavercreek",Bowling Green,Georgetown (Ky.),,
22,,12.0,Marquette Harris,OLB,6-1,205.0,Jr.,"Woodbridge, Va. / Wise HS (Md.)",Bowling Green,Ventura College,,
23,,12.0,Camden Orth,QB,6-3,230.0,Sr.,"Gainesville, Fla. / Buchholz",Bowling Green,LIU,,
24,,13.0,Charles Rosser,OLB,6-3,220.0,Jr.,"Cleveland, Ohio / Benedictine",Bowling Green,,,
25,,15.0,Avi McGary,OLB,6-2,200.0,Sr.,"Cincinnati, Ohio / Lakota East",Bowling Green,,,
26,,17.0,Tae'Shaun Johnson,WR,5-11,190.0,So.,"Toledo, Ohio / Central Catholic",Bowling Green,,,
27,,18.0,Jalen Burton,CB,5-10,195.0,Jr.,"Waukegan, Ill. / Carmel Catholic",Bowling Green,,,
28,,18.0,Austin Osborne,WR,6-2,210.0,Sr.,"Rancho Santa Margarita, Calif. / Mission Viejo",Bowling Green,Washington,,
29,,20.0,Jamal Johnson,RB,5-10,195.0,Jr.,"Frankfort, Ill. / Lincoln-Way East",Bowling Green,,,
30,,22.0,Joseph Sipp Jr.,ILB,6-0,215.0,So.,"Tampa, Fla. / Hillsborough HS",Bowling Green,,,
31,,23.0,Darren Anders,ILB,6-0,230.0,Sr.,"North Olmsted, Ohio / North Olmsted",Bowling Green,,,
32,,24.0,Diego Neri,ILB,6-2,235.0,Jr.,"Cincinnati, Ohio / Cincinnati Northwest",Bowling Green,,,
33,,24.0,Braxton Todd,RB,6-0,205.0,R-Fr.,"Martinsburg, W.Va. / Martinsburg HS",Bowling Green,,,
34,,25.0,Canaan Williams,OLB,6-2,205.0,R-Fr.,"Waldorf, Md. / Rock Creek Christian Academy",Bowling Green,,,
35,,26.0,Davion Daniels,S,6-0,190.0,Sr.,"Hubbard, Ohio / Hubbard",Bowling Green,,,
36,,26.0,Trey Johnson,WR,6-0,190.0,R-Fr.,"Frankfort, Ill. / Lincoln-Way East HS",Bowling Green,,,
37,,27.0,Nic Kilbride,TE,6-3,230.0,Jr.,"Perrysburg, Ohio / Perrysburg",Bowling Green,,,
38,,28.0,Jaison Patterson,RB,6-0,220.0,Jr.,"Jacksonville, Fla. / Edward H. White",Bowling Green,,,
39,,30.0,PaSean Wimberly,RB,5-10,175.0,Sr.,"Toledo, Ohio / Whitmer",Bowling Green,,,
40,,32.0,Patrick Day,S,5-11,190.0,Sr.,"Hilliard, Ohio / Bradley",Bowling Green,,,
41,,33.0,Jordan Porter,DL,6-4,260.0,Sr.,"Muskegon, Mich. / Muskegon",Bowling Green,,,
42,,34.0,Adrian Wilson,DL,6-5,260.0,Jr.,"Tinley Park, Ill. / Lincoln-Way East",Bowling Green,,,
43,,35.0,Billie Roberts,DL,6-5,290.0,Jr.,"Muskegon, Mich. / Muskegon",Bowling Green,,,
44,,36.0,Jordan Jackson,RB,6-0,200.0,R-Fr.,"Deland, Fla. / Mainland HS",Bowling Green,Army Prep,,
45,,37.0,Victor Vazquez,S,5-10,180.0,So.,"Miami, Fla. / Florida Christian",Bowling Green,,,
46,,38.0,Dierre Kelly,DL,6-2,270.0,Jr.,"Gary, Ind. / Merrillville",Bowling Green,,,
47,,39.0,Markim McKinnie,DB,5-11,175.0,R-Fr.,"Akron, Ohio / Archbishop Hoban HS",Bowling Green,,,
