,Statistic,#,Full Name,Pos.,Cl.,Ht.,Wt.,Hometown / High School,Previous College,Major,Image,Name,Title
0,,0.0,Jaylon Bass,DT,Sr.,6-3,295.0,"Ashland, AL / Clay Central",Hutchinson CC,Geography,,,
1,,1.0,Jayden Oliver,CB,R-Jr.,6-3,175.0,"Tampa, FL / East Bay",New Mexico Military Institute,Sociology,,,
2,,1.0,Qua Sanders,WR,Jr.,6-2,200.0,"Columbus, MS / West Lowndes",Jones College,,,,
3,,2.0,"Ron Cook, Jr.",RB,5th,5-9,190.0,"Washington, DC / St. John's College",,Communication,,,
4,,3.0,D'Andre Greeley,CB,So.,6-0,180.0,"Monroe, LA / Ballard",Colorado State,,,,
5,,3.0,"Darrell Harding, Jr.",WR,Gr.,6-4,222.0,"Winter Garden, FL / West Orange",Duke,,,,
6,,4.0,Mike DePillo,QB,R-Fr.,6-6,215.0,"Davisburg, MI / Clarkston",St. Thomas More,Exercise Science,,,
7,,5.0,Boobie Curry,WR,Sr.,6-2,205.0,"Houston, TX / St. Pius X",Arizona,Communication,,,
8,,5.0,Caleb Offord,CB,Sr.,6-1,192.0,"Southaven, MS / Southaven",Notre Dame,Studio Art,,,
9,,6.0,Max Michel,DE,Gr.,6-2,235.0,"Elizabeth, NJ / Elizabeth",,Health and Human Services,,,
10,,7.0,Solomon Brown,S,Sr.,5-11,195.0,"Largo, FL / Largo",Minnesota,Psychology,,,
11,,7.0,Richie Watts,QB,So.,6-3,210.0,"Rocklin, CA / Rocklin",College of San Mateo,,,,
12,,8.0,Demetrius Harris,S,Gr.,6-2,191.0,"Muskegon, MI / Muskegon",Cornell,,,,
13,,9.0,Gunnar Gray,QB,Jr.,6-4,190.0,"San Diego, CA / University City",San Diego Mesa College,,,,
14,,9.0,Clevester Hines,CB,Sr.,6-2,185.0,"Dublin, CA / Dublin",College of San Mateo,Sociology,,,
15,,10.0,Marcus Fuqua,S,5th,6-0,195.0,"Southfield, MI / Southfield A&T",,Economics,,,
16,,10.0,CJ Ogbonna,QB,Jr.,6-2,212.0,"Marietta, GA / Wheeler",Southeast Missouri State,,,,
17,,11.0,Marlyn Johnson,WR,5th,6-4,200.0,"Penllyn, PA / The Peddie School",,Communication,,,
18,,12.0,Cole Harrity,WR,Gr.,6-0,205.0,"Truckee, CA / Truckee",New Mexico State,Real Estate Development,,,
19,,13.0,Kameron Olds,DE,So.,6-4,245.0,"Richmond, VA / Midlothian",Fork Union Military Academy,Communication,,,
20,,14.0,Jackson Baltar,K/P,5th,5-11,180.0,"Orlando, FL / Bishop Moore",,Business Administration,,,
21,,15.0,Pershaun Fann,NICK,R-Fr.,6-0,225.0,"Moultrie, GA / Colquitt County",,Psychology,,,
22,,15.0,Cole Snyder,QB,5th,6-2,208.0,"Lakewood, NY / Southwestern",Rutgers,Economics,,,
23,,16.0,Mason Cumbie,QB,Fr.,6-2,190.0,"Hopewell, VA / Hopewell",,,,,
24,,16.0,Alex McNulty,K,Gr.,6-1,230.0,"Caledonia, NY / McQuaid Jesuit",,Biological Sciences,,,
25,,17.0,Dion Crawford,LB,Fr.,6-1,225.0,"Suwanee, GA / Collins Hill",,,,,
26,,17.0,Nik McMillan,WR,R-Fr.,6-1,224.0,"Buffalo, NY / Dr. Henry Wise (MD)",,Criminology,,,
27,,18.0,Devonyal Lofton,DE,Jr.,6-2,,"Forest, MS / Forest",East Mississippi CC,,,,
28,,19.0,Jonathan Capo,S,So.,6-0,190.0,"Wappingers Falls, NY / Ketcham",,Exercise Science,,,
29,,19.0,Javien Cuff,WR,Sr.,6-2,175.0,"Vero Beach, FL / Vero Beach",,Criminology,,,
30,,20.0,Ja'Mori Coard,DT,R-Fr.,6-3,300.0,"Crestwood, SC / Crestwood",,Biological Sciences,,,
31,,21.0,Demarco Cuffey,CB,So.,6-1,180.0,"Waldorf, MD / IMG Academy",,Psychology,,,
32,,21.0,Dylan Kedzior,RB,Jr.,6-0,212.0,"Claremore, OK / Claremore",Hutchinson CC,,,,
33,,22.0,Al-Jay Henderson,RB,So.,6-0,195.0,"South Orange, NJ / Irvington",,Business Administration,,,
34,,23.0,Devin Grant,S,So.,6-4,190.0,"Elmont, NY / Holy Cross",,Business Administration,,,
35,,24.0,Solomanie Bambara,DE,So.,6-6,222.0,"Philadelphia, PA / Neumann Goretti",,Communication,,,
36,,26.0,Khalil Murdock,LB,R-Fr.,6-3,220.0,"Hopewell, VA / Hopewell",Fork Union Military Academy,Psychology,,,
37,,27.0,Mike Washington,RB,So.,6-2,215.0,"Utica, NY / Cicero-North Syracuse",,Nutrition Science,,,
38,,28.0,Jalen McNair,S,Jr.,5-9,195.0,"Durham, NC / Our Lady of Good Counsel",,Criminology,,,
39,,28.0,Caron Robinson,RB,Jr.,5-9,180.0,"Rochester, NY / Aquinas Institute",,Media Study,,,
