,Statistic,NO,NAME,POS,HT,WT,YEAR,EXP,Current School Name,HOMETOWN/LAST SCHOOLS,NOTES,Image,Name,Title
0,,2.0,Kai Millner,QB,6-2,215.0,R-Fr.,2nd,California,"Gilbert, AZ / Higley HS",,,,
1,,2.0,Craig Woodson,S,6-0,210.0,R-Jr.,4th,California,"Grand Prairie, TX / South Grand Prairie HS",^,,,
2,,3.0,Jeremiah Hunter,WR,6-2,205.0,Jr.,3rd,California,"Fresno, CA / Central HS",^,,,
3,,4.0,Jermaine Terry II,TE,6-4,255.0,So.,2nd,California,"Richmond, CA / Kennedy HS",,,,
4,,5.0,Raymond Woodie III,S,6-0,200.0,Sr.,4th,California,"Palmetto, FL / Florida State / Florida State University HS",^,,,
5,,6.0,Jaydn Ott,RB,6-0,205.0,Fr.,1st,California,"Chino, CA / Norco HS / Bishop Gorman HS",+,,,
6,,7.0,J.Michael Sturdivant,WR,6-3,205.0,R-Fr.,2nd,California,"Highland Village, TX / Marcus HS",,,,
7,,8.0,Jackson Sirmon,ILB,6-2,240.0,R-Sr.,5th,California,"Brentwood, TN / Washington / Brentwood Academy / Loyola HS",^+,,,
8,,10.0,Oluwafemi Oladejo,ILB,6-3,255.0,So.,2nd,California,"Elk Grove, CA / Cosumnes Oaks HS",,,,
9,,11.0,Mavin Anderson,WR,6-0,200.0,R-Fr.,2nd,California,"Mission Viejo, CA / Mission Viejo HS",,,,
10,,11.0,Tyson McWilliams,CB,6-2,190.0,R-So.,3rd,California,"San Diego, CA / St. Augustine HS",^,,,
11,,13.0,Jack Plummer,QB,6-5,215.0,R-Sr.,5th,California,"Gilbert, AZ / Purdue / Gilbert HS",^+,,,
12,,13.0,Miles Williams,S,6-0,200.0,R-Jr.,4th,California,"Mansfield, TX / Mansfield HS",^,,,
13,,14.0,Monroe Young,WR,6-0,210.0,R-Sr.,5th,California,"Las Cruces, NM / Onate HS",^,,,
14,,15.0,Lu-Magia Hearns III,CB,5-10,170.0,So.,2nd,California,"Pittsburg, CA / De La Salle HS",,,,
15,,15.0,Fernando Mendoza,QB,6-5,215.0,Fr.,1st,California,"Miami, FL / Columbus HS",,,,
16,,16.0,Henry Ikahihifo,OLB,6-3,260.0,Jr.,4th,California,"Lancaster, CA / College of the Canyons / Nevada / Paraclete HS",,,,
17,,16.0,Zach Johnson,QB,6-1,190.0,R-So.,3rd,California,"Valencia, CA / Hart HS",^,,,
18,,17.0,Noah Mitcheom,QB,6-2,185.0,Fr.,1st,California,"Granite Bay, CA / Granite Bay HS",,,,
19,,17.0,Jamieson Sheahan,P,6-0,205.0,Sr.,3rd,California,"Bendigo, Australia / Geelong Grammar School",,,,
20,,18.0,Mason Starling,WR,6-4,205.0,Jr.,4th,California,"Tacoma, WA / College of San Mateo / Rainier Beach HS",+,,,
21,,19.0,Tyler Jensen,QB,6-6,230.0,Fr.,2nd,California,"San Diego, CA / Louisville / Lincoln HS",,,,
22,,19.0,Curlee Thomas IV,DE,6-3,250.0,Fr.,1st,California,"Keller, TX / Nolan Catholic HS",,,,
23,,20.0,Cam Sidney,CB,5-11,185.0,Fr.,1st,California,"Riverside, CA / Mater Dei HS",,,,
24,,21.0,Collin Gamble,CB,5-10,200.0,Jr.,3rd,California,"Flower Mound, TX / Liberty Christian HS",^,,,
25,,22.0,Justin Richard Baker,WR,5-10,180.0,Jr.,3rd,California,"Bellevue, WA / Kennedy Catholic HS",^,,,
26,,23.0,Dejuan Butler,S,5-11,205.0,R-So.,3rd,California,"Antioch, CA / Antioch HS",^,,,
27,,24.0,Fatu Iosefa,S,6-0,190.0,R-Fr.,2nd,California,"Waipahu, HI / Mililani HS",,,,
28,,24.0,Chris Street,RB,5-9,210.0,Jr.,3rd,California,"Eastvale, CA / JSerra Catholic HS",^,,,
29,,25.0,DeCarlos Brooks,RB,5-10,210.0,R-Jr.,4th,California,"Chandler, AZ / Chandler HS",^,,,
30,,26.0,Ashton Hayes,RB,6-0,195.0,Fr.,1st,California,"Reno, NV / McQueen HS",,,,
31,,27.0,Trey Paster,ILB,6-2,220.0,Jr.,3rd,California,"Merced, CA / Buhach Colony HS",^,,,
32,,28.0,Kaleb Higgins,CB,6-2,200.0,R-Fr.,2nd,California,"Austin, TX / Folsom HS",,,,
33,,28.0,Damien Moore,RB,5-10,210.0,Jr.,3rd,California,"La Puente, CA / Bishop Amat HS",^,,,
34,,29.0,Jeremiah Earby,CB,6-2,185.0,Fr.,1st,California,"East Palo Alto, CA / Menlo-Atherton HS",,,,
35,,29.0,Aidan Lee,WR,6-1,240.0,Jr.,3rd,California,"Mesa, AZ / Desert Ridge HS",^,,,
36,,30.0,Mayze Bryant,CB,5-9,170.0,Fr.,1st,California,"Pasadena, CA / St. Francis HS",,,,
37,,30.0,Dario Longhetto,PK,6-0,185.0,R-Sr.,5th,California,"Newbury Park, CA / Bridgton Academy / Newbury Park HS",^,,,
