,Statistic,No.,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Current School Name,Previous School,Image,Title
0,,0.0,Jalen McGaughy,WR,6-4,225.0,Jr.,"Detroit, Mich. / Martin Luther King H.S.",Central Michigan,Ball State,,
1,,0.0,Maurice White,DL,6-5,280.0,R-So.,"Detroit, Mich. / Martin Luther King H.S.",Central Michigan,Memphis,,
2,,3.0,Bert Emanuel Jr.,QB,6-3,210.0,R-Fr.,"Houston, Texas / Ridge Point H.S.",Central Michigan,,,
3,,3.0,Trey Jones,DB,6-2,200.0,Jr.,"Wetumpka, Ala. / Wetumpka H.S.",Central Michigan,,,
4,,4.0,Donte Kent,DB,5-11,185.0,Jr.,"Harrisburg, Pa. / Harrisburg H.S.",Central Michigan,,,
5,,5.0,De'Javion Stepney,DB,6-0,182.0,R-So.,"Macomb, Mich. / Dakota H.S.",Central Michigan,,,
6,,6.0,Lavario Wiley,DB,6-1,181.0,Jr.,"Los Angeles, Calif. / Banning H.S.",Central Michigan,Cerritos College,,
7,,7.0,Ed Conoran,DB,5-10,180.0,R-Fr.,"Dover, N.J. / DePaul Catholic H.S.",Central Michigan,,,
8,,8.0,Jarvarius Sims,DB,6-0,183.0,So.,"Decatur, Ga. / Martin Luther King H.S.",Central Michigan,Myrtle Beach Collegiate,,
9,,9.0,Marion Lukes,RB,5-9,195.0,Jr.,"Charlestown, Ind. / Charlestown H.S.",Central Michigan,,,
10,,10.0,"Stephan Bracey, Jr.",WR,5-10,185.0,Jr.,"Grand Rapids, Mich. / East Kentwood H.S.",Central Michigan,Wisconsin,,
11,,10.0,Jacques Bristol,DL,6-1,300.0,Sr.,"Sarasota, Fla. / Booker H.S.",Central Michigan,,,
12,,11.0,Bailey Smith,TE,6-1,220.0,Sr.,"Valencia, Calif. / Valencia H.S.",Central Michigan,,,
13,,12.0,Jordan Kwiatkowski,LB,6-1,230.0,So.,"Sterling Heights, Mich. / Stevenson H.S.",Central Michigan,,,
14,,12.0,Tyler Pape,QB,6-4,222.0,R-So.,"Spring Arbor, Mich. / Parma Western H.S.",Central Michigan,,,
15,,13.0,Chris Parker,WR,6-3,195.0,R-So.,"Saginaw, Mich. / Heritage H.S.",Central Michigan,,,
16,,13.0,Jake Walrath,P,6-4,200.0,Sr.,"Salado, Texas / Salada H.S.",Central Michigan,Tarleton State/Utah State,,
17,,14.0,Fernando Sanchez III,LB,6-3,235.0,R-So.,"Loganville, Ga. / Grayson H..S.",Central Michigan,,,
18,,15.0,Irone Jackson,WR,6-1,180.0,R-So.,"Bradenton, Fla. / Manatee H.S.",Central Michigan,,,
19,,15.0,Caleb Spann,DB,6-0,191.0,R-So.,"New Orleans, La. / John Curtis Christian H.S.",Central Michigan,,,
20,,16.0,Jase Bauer,QB,6-3,215.0,R-So.,"Ankeny, Iowa / Ankeny H.S.",Central Michigan,,,
21,,16.0,Nahree Biggins,DB,6-1,195.0,R-So.,"Hillside, N.J. / Hillside H.S.",Central Michigan,,,
22,,17.0,Jalen Handford,LB,6-0,233.0,R-Fr.,"Gurnee, Ill. / Warrren Township H.S.",Central Michigan,,,
23,,17.0,Finn Hogan,WR,6-5,209.0,R-So.,"Maple City, MIch. / Glen Lake H.S.",Central Michigan,,,
24,,18.0,Mark-Allen Gay,DB,6-0,180.0,Fr.,"Miami, Fla. / Miami Central H.S.",Central Michigan,,,
25,,18.0,Jordyn Williams,WR,6-1,184.0,R-So.,"Albany, Ga. / Trinity Christian H.S.",Central Michigan,Jackson State,,
26,,19.0,Tyson Davis,WR,5-10,175.0,R-So.,"Goodrich, Mich. / Goodrich H.S.",Central Michigan,,,
27,,20.0,Langston Lewis,WR,6-0,192.0,R-Fr.,"Savannah, Ga. / Islands H.S.",Central Michigan,,,
28,,20.0,Ke'Shon Parker,LB,6-1,225.0,Jr.,"Detroit, Mich. / Cass Technical H.S.",Central Michigan,,,
29,,21.0,Elijah Rikard,DB,6-1,184.0,R-So.,"Detroit, Mich. / UD Jesuit H.S.",Central Michigan,,,
30,,22.0,Kyle Moretti,LB,6-2,229.0,Jr.,"Arvada, Colo. / Pomona H.S.",Central Michigan,,,
31,,23.0,Jake Tafelski,RB,6-0,214.0,R-So.,"Dearborn, Mich. / Dearborn H.S.",Central Michigan,,,
32,,24.0,Kyle Krebs,DB,6-0,195.0,R-Fr.,"Denver, Colo. / Mullen H.S.",Central Michigan,,,
33,,26.0,Myles Bailey,RB,5-10,206.0,Jr.,"North Brunswick, N.J. / North Brunswick Township H.S.",Central Michigan,,,
34,,26.0,Jordan Kelly,WR,6-0,175.0,R-Fr.,"Beaumont, Texas / Mayde Creek H.S.",Central Michigan,,,
35,,27.0,DeAnthony Becton,DB,5-11,185.0,R-So.,"Akron, Ohio / Akron East H.S.",Central Michigan,,,
36,,27.0,Sam Hicks,WR,5-9,181.0,Jr.,"Fort Worth, Texas / Nolan Catholic H.S.",Central Michigan,Saddleback,,
37,,28.0,Jesse Prewitt III,WR,6-0,170.0,Jr.,"Columbus, Ohio / Northland H.S.",Central Michigan,Wayne State,,
38,,29.0,Jayden Davis,DB,6-0,202.0,Jr.,"Oakland, Calif. / Bishop O'Dowd H.S.",Central Michigan,Contra Costa CC,,
39,,30.0,Ben Pratt,LS,6-0,225.0,R-So.,"Normal, Ill. / Normal Community H.S.",Central Michigan,,,
40,,31.0,Marcus Badgett,DB,6-0,190.0,R-Fr.,"Red Oak, Texas / Red Oak H.S.",Central Michigan,Tyler JC,,
41,,32.0,Nick Apsey,LB,6-1,221.0,Sr.,"Empire, Mich. / Glen Lake H.S.",Central Michigan,,,
42,,32.0,Ryan Peluso,P,5-9,155.0,R-So.,"Troy, Mich. / Troy H.S.",Central Michigan,,,
43,,33.0,Jayden Evans,TE,6-6,255.0,R-Fr.,"Eastvale, Calif / Roosevelt H.S.",Central Michigan,,,
44,,34.0,Alec Palella,TE,6-5,245.0,R-So.,"Bartlett, Ill. / Barlett H.S.",Central Michigan,,,
45,,34.0,Jonathan Tillman,DB,6-3,200.0,R-Fr.,"Birmingham, Mich. / Brother Rice H.S.",Central Michigan,,,
