,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Current School Name,Previous School,Twitter,Instagram,Custom Field 1,Image,Name,Title
0,,0.0,Trexler Ivey,QB,6-0,190.0,R-So.,"Wake Forest, N.C. / Wakefield",Charlotte,,,,,,,
1,,0.0,Eyabi Okie,DL,6-5,244.0,Gr.,"Baltimore, Md. / Saint Frances Acad.",Charlotte,Alabama / UT Martin / Michigan,,,,,,
2,,1.0,Dontae Balfour,DB,6-2,185.0,So.,"Starke, Fla. / Bradford",Charlotte,North Carolina,,,,,,
3,,1.0,Durell Robinson,RB,6-1,193.0,Fr.,"Seat Pleasant, Md. / Saint Frances Acad.",Charlotte,,,,,,,
4,,2.0,Derek Boykins,LB,6-2,230.0,R-So.,"Concord, N.C. / Central Cabarrus",Charlotte,South Carolina,,,,,,
5,,2.0,Randy Fields Jr.,WR,6-3,197.0,Gr.,"Elkton, Md. / Saint Frances Acad.",Charlotte,West Virginia / UT-Martin,,,,,,
6,,3.0,Jaden Bradley,WR,6-4,195.0,R-So.,"Fayetteville, N.C. / DeMatha Catholic",Charlotte,Pittsburgh,,,,,,
7,,3.0,Demon Clowney,DL,6-4,250.0,R-So.,"Baltimore, Md. / Saint Frances Acad.",Charlotte,Ole Miss,,,,,,
8,,4.0,C.J. Burton,DB,5-11,180.0,Jr.,"Richmond, Va. / Saint Frances Acad.",Charlotte,Boston College,,,,,,
9,,4.0,Jalon Jones,QB,6-3,205.0,Sr.,"Richmond, Va. / Henrico / Saint Frances Acad.",Charlotte,Bethune Cookman / Jackson State,,,,,,
10,,5.0,Katron Evans,DL,6-4,320.0,R-So.,"Norfolk, Va. / Saint Frances Acad.",Charlotte,Jackson State,,,,,,
11,,5.0,Ike White,WR,6-0,180.0,R-Fr.,"Philadelphia, Pa. / Saint Frances Acad.",Charlotte,Minnesota,,,,,,
12,,6.0,Al-Ma'hi Ali,DB,5-11,180.0,R-So.,"Philadelphia, Pa. / Saint Frances Academy",Charlotte,St. Francis Univ.,,,,,,
13,,6.0,ChaVon McEachern,RB,5-11,200.0,R-So.,"Fayetteville, N.C. / Trinity Christian School",Charlotte,,,,,,,
14,,7.0,James Foster,QB,6-2,220.0,R-Jr.,"Montgomery, Ala. / Sidney Lanier",Charlotte,Texas A&M,,,,,,
15,,8.0,Cam Burden,LB,6-1,220.0,R-Fr.,"Sevierville, Tenn. / Alcoa",Charlotte,,,,,,,
16,,8.0,Xavier Williams,QB,6-2,200.0,R-Fr.,"McDonough, Ga. / Colquitt County",Charlotte,,,,,,,
17,,9.0,Lacota Dippre,TE,6-3,245.0,Fr.,"Scott Township, Pa. / Lakeland",Charlotte,,,,,,,
18,,9.0,Wayne Jones,DB,6-0,211.0,R-Jr.,"Owasso, Okla. / Owasso",Charlotte,Kansas State,,,,,,
19,,10.0,Ositadinma Ekwonu,LB,6-2,235.0,R-Jr.,"Charlotte, N.C. / Providence Day",Charlotte,Notre Dame,,,,,,
20,,11.0,Stone Handy,LB,6-6,255.0,Jr.,"Hattiesburg, Miss. / Hattiesburg",Charlotte,Auburn / Indiana,,,,,,
21,,11.0,Terron Kellman,RB,5-8,180.0,R-Fr.,"Clinton, Va. / Saint Frances Acad.",Charlotte,Northern Illinois,,,,,,
22,,12.0,Dontez Fagan,DB,6-0,175.0,Jr.,"Ardmore, Okla, / Millwood",Charlotte,Central Oklahoma / Independence C.C.,,,,,,
23,,12.0,Jairus Mack,WR,5-10,185.0,So.,"Athens, Ga. / Clarke Central",Charlotte,,,,,,,
24,,13.0,Briston Bennett,DB,6-0,190.0,R-So.,"Nashville, Tenn. / Battle Ground Academy",Charlotte,,,,,,,
25,,13.0,Shadrick Byrd,RB,5-10,210.0,R-So.,"Alabaster, Ala. / Thompson",Charlotte,Iowa,,,,,,
26,,14.0,Steven Parker,S,6-1,170.0,R-Fr.,"Tampa, Fla. / Tampa Bay Tech",Charlotte,,,,,,,
27,,15.0,Juice Martin,DB,5-10,200.0,R-So.,"Macon, Ga. / Howard",Charlotte,College of San Mateo,,,,,,
28,,15.0,"Roger ""Fresh"" Walters",WR,5-10,185.0,Fr.,"Ft. Lauderdale, Fla. / St. Lucie West Centennial",Charlotte,,,,,,,
29,,16.0,Carson Black,QB,6-2,182.0,Fr.,"Monroe, N.C. / Nation Ford",Charlotte,,,,,,,
30,,16.0,Kameron Howard,DB,5-11,189.0,Fr.,"Clinton, Md. / Saint Frances Acad.",Charlotte,,,,,,,
31,,17.0,Steven Johnson,QB,6-4,190.0,Fr.,"Bristol, Tenn. / Tennessee",Charlotte,,,,,,,
32,,17.0,Braeden McAlister,K,6-1,180.0,Fr.,"Indian Trail, N.C. / Porter Ridge",Charlotte,,,,,,,
