,Statistic,#,Full Name,Year,Pos.,Ht.,Wt.,Hometown,High School,Previous School,C,Image,Name,Title
0,,0.0,Deon Fountain,R-Sr.,WR,5-11,185.0,"Valdosta, Ga.",Brooks County HS,,,,,
1,,1.0,Braydon Bennett,R-Jr.,RB,6-2,200.0,"Greenville, S.C.",Southside HS,,,,,
2,,1.0,Shane Bruce,R-Jr.,LB,6-0,235.0,"Carrollton, Ga.",Central HS,,,,,
3,,2.0,Reese White,Super-Sr.,RB,5-10,195.0,"Sandy Springs, Ga.",Riverwood International Charter School,,,,,
4,,3.0,Ja'Quon Griffin,Super-Sr.,DT,6-0,255.0,"Rome, Ga.",Rome HS,Georgia Tech,,,,
5,,4.0,CJ Beasley,R-Jr.,RB,5-10,205.0,"Norfolk, Va.",Maury HS,,,,,
6,,4.0,Tobias Fletcher,Jr.,S,5-10,175.0,"Atlanta, Ga.",Carver HS,,,,,
7,,6.0,Chris Rhone,R-So.,WR,6-4,200.0,"Columbia, S.C.",Gray Collegiate Academy,,,,,
8,,7.0,Jarrett Guest,R-Sr.,QB,6-3,190.0,"Marietta, Ga.",Kennesaw Mountain HS,,,,,
9,,8.0,Tyson Mobley,Sr.,WR,6-0,170.0,"Longwood, Fla.",Master's Academy,,,,,
10,,10.0,Tavyn Jackson,Gr.,NICKEL,5-11,190.0,"Tallahassee, Fla.",Rickards HS,Coffeyville C.C.,,,,
11,,10.0,Grayson McCall,R-Sr.,QB,6-3,215.0,"Indian Trail, N.C.",Porter Ridge HS,,,,,
12,,11.0,De'Andre Coleman,R-Fr.,WR,6-2,205.0,"Hueytown, Ala.",Hueytown HS,,,,,
13,,12.0,Dre Pinckney,R-So.,S,6-0,200.0,"Boiling Springs, S.C.",Boiling Springs HS,,,,,
14,,13.0,Max Balthazar,R-So.,RB,5-11,200.0,"Fort Lauderdale, Fla.",TRU Prep Academy / University School,,,,,
15,,13.0,Joshua Madison,R-Jr.,S,5-11,190.0,"Reseda, Calif.",Newbury Park HS,College of the Canyons,,,,
16,,14.0,Jared Brown,R-So.,WR,6-0,185.0,"Lilburn, Ga.",Parkview HS,,,,,
17,,14.0,Kiylan Miller,R-So.,S,6-3,190.0,"Forest City, N.C.",Chase HS,,,,,
