,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / Previous School,Image,Title
0,,0.0,Marquise Collins,RB,5-9,184.0,Fr.,"Bryan, Texas / College Station High School",,
1,,0.0,Chandler Rivers,CB,5-10,180.0,So.,"Beaumont, Texas / Beaumont United",,
2,,1.0,Myles Jones,CB,6-4,188.0,Gr.,"Magnolia, Texas / Magnolia West (Texas A&M)",,
3,,1.0,Jontavis Robertson,WR,5-11,190.0,Sr.,"Gray, Ga. / Jones County",,
4,,2.0,Luca Diamont,WR,6-2,183.0,R-Jr.,"Venice, Calif. / Venice",,
5,,2.0,Jaylen Stinson,S,5-8,170.0,Sr.,"Opelika, Ala. / Opelika",,
6,,3.0,Henry Belin IV,QB,6-3,210.0,R-Fr.,"New York, N.Y. / Cardinal Hayes",,
7,,3.0,Brandon Johnson,N,5-10,177.0,Jr.,"Newton, N.C. / Newton-Conover",,
8,,4.0,Cameron Bergeron,N,6-0,191.0,Jr.,"Albany, Ga. / Westover",,
9,,4.0,Nick Lampert,WR,6-0,181.0,Jr.,"Miami, Fla. / Ransom Everglades",,
10,,5.0,Jalon Calhoun,WR,5-11,190.0,R-Sr.,"Greenville, S.C. / Southside",,
11,,5.0,Ja'Mion Franklin,DT,6-2,307.0,R-Sr.,"Ridgely, Md. / North Caroline (Notre Dame)",,
12,,6.0,Eli Pancol,WR,6-3,205.0,Gr.,"Pendleton, Ind. / Pendleton Heights",,
13,,7.0,Al Blades Jr.,CB,6-1,196.0,Gr.,"Fort Lauderdale, Fla. / St. Thomas Aquinas (Miami)",,
14,,7.0,Jordan Waters,RB,6-0,215.0,Gr.,"Fairmont, N.C. / Fairmont",,
15,,8.0,Dorian Mausi,LB,6-2,223.0,Sr.,"Detroit, Mich. / Univ. of Detroit Jesuit",,
16,,8.0,Jordan Moore,WR,6-0,189.0,Jr.,"Sykesville, Md. / Loyola Blakefield",,
17,,9.0,Jaquez Moore,RB,5-10,198.0,Jr.,"Live Oak, Fla. / Suwannee",,
18,,9.0,Kenzy Paul,S,6-0,200.0,R-Fr.,"La Prairie, Quebec, Canada / McCallie (Tenn.)",,
