,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Image,Name,Title
0,,0.0,Jhari Patterson,WR,6-0,192.0,So.,Asheville / A.C. Reynolds,Marshall,,,
1,,1.0,Jaylen Johnson,WR,6-2,197.0,Sr.,"Duluth, Ga. / Peachtree Ridge",Georgia,,,
2,,2.0,BJ Davis,LB,6-2,210.0,Gr.,"Blair, S.C. / South Pointe",South Carolina State,,,
3,,2.0,Raheim Jeter,QB,6-3,215.0,Fr.,"Spartanburg, S.C. / Spartanburg",,,,
4,,3.0,Chad Stephens,DL,6-1,265.0,Jr.,Greensboro / Southeast Guilford HS,,,,
5,,4.0,Julius Wood,SAF,6-2,187.0,Sr.,"Columbus, Ohio / Walnut Ridge",Blinn CC,,,
6,,5.0,Jack Powers,OLB,6-3,237.0,Sr.,"Granite Bay, Calif. / Granite Bay",Nevada,,,
7,,6.0,Teylor Jackson,ILB,6-1,225.0,Jr.,"Washington, D.C. / H.D. Woodson",,,,
8,,7.0,Samuel Dankah,OLB,6-5,213.0,So.,"Lorton, Va. / South County",Fork Union,,,
9,,7.0,Kerry King,WR,5-10,165.0,So.,"Tampa, Fla. / Highland Springs",,,,
10,,8.0,Gerald Green,RB,5-9,195.0,Gr.,"Columbus, Ga. / East Coweta",Georgia Southern,,,
11,,9.0,Tyler Savage,TE,6-3,236.0,Jr.,"Aldie, Va. / John Champe",,,,
12,,9.0,Teagan Wilk,SAF,5-11,190.0,Jr.,"Berwick, Pa. / Berwick Area",,,,
13,,10.0,Mason Garcia,QB,6-5,242.0,So.,"Myrtle Beach, S.C. / Carolina Forest",,,,
14,,10.0,TyQuan King,LB,6-3,215.0,Jr.,"Dillon, S.C. / Dillon",North Carolina A&T,,,
15,,11.0,Ryan King,WR,6-3,215.0,Jr.,"Loganville, Ga. / Grayson",Georgia Tech,,,
16,,11.0,Jeremy Lewis,OLB,6-3,232.0,Sr.,Greenville / South Central HS,,,,
17,,12.0,Dru Dotter,CB,6-0,174.0,So.,Havelock / Havelock,,,,
18,,12.0,Luke Larsen,P,6-3,225.0,Jr.,"Keilor Park, Vic., Australia / St. Bernard's",,,,
19,,13.0,Eric Doctor Jr.,OLB,6-1,249.0,Jr.,"Orlando, Fla. / Edgewater",,,,
20,,14.0,G'Mone Wilson,CB,6-0,184.0,Jr.,Clemmons / West Forsyth,Marshall,,,
21,,15.0,Alex Flinn,QB,6-1,234.0,Jr.,Fletcher / A.C. Reynolds,,,,
22,,15.0,Brandon Higgs,SAF,6-1,199.0,Jr.,"Simpsonville, S.C. / Hillcrest",NE Oklahoma A&M,,,
23,,19.0,Josh Murphy,WR,6-1,176.0,R-Fr.,"Myrtle Beach, S.C. / Carolina Forest",,,,
24,,20.0,Ty Moss,SAF,6-1,193.0,So.,Whiteville / Whiteville,,,,
25,,21.0,Marlon Gunn Jr.,RB,5-11,202.0,So.,"Baton Rouge, La. / Scotlandville Magnet",,,,
26,,21.0,Jordan Huff,SAF,6-2,185.0,R-So.,"Madison, Ga. / Morgan County",Hutchinson CC,,,
27,,22.0,Nemo Squire,RB,5-8,198.0,R-Fr.,"Darlington, S.C. / Dillon",,,,
28,,23.0,Joseph McKay,RB,6-1,216.0,R-So.,"Phenix City, Ala. / Central",,,,
29,,24.0,TyMir Brown,DB,6-0,180.0,So.,Jacksonville / Jacksonville,North Carolina,,,
30,,25.0,Kingston McKinstry,SAF,6-1,191.0,Sr.,"Grove City, Ohio / Grove City",Iowa Central CC,,,
31,,26.0,Isaiah Brown-Murray,CB,5-9,186.0,R-Fr.,Charlotte / Hough,,,,
32,,27.0,Dontavius Nash,DB,6-2,180.0,So.,Gastonia / Hunter Huss,North Carolina,,,
33,,28.0,Khaheim Bragg,WR,6-1,170.0,Jr.,"Waldorf, Md. / North Point",,,,
34,,28.0,Shavon Revel,CB,6-2,181.0,Jr.,Winston-Salem / Reagan,Louisburg College,,,
35,,30.0,Javoius Bond,RB,5-11,185.0,Fr.,"Gray, Ga. / Jones County",,,,
36,,31.0,Fletcher Marshall Jr.,CB,6-2,192.0,R-So.,"Stuart, Fla. / Jensen Beach",Hutchinson CC,,,
37,,32.0,RaRa Dillworth,LB,6-1,200.0,Jr.,Winston Salem / Glenn,North Carolina,,,
38,,33.0,Zakye Barker,ILB,5-11,228.0,R-Fr.,"Norcross, Ga. / Norcross",,,,
39,,33.0,Brock Spalding,WR,5-10,182.0,R-Fr.,"Lorton, Va. / South County",,,,
