,Statistic,#,Name,Exp.,Pos.,Ht.,Wt.,Yr.,El.,Hometown / High School,Previous School,Image,Title
0,,1.0,Hamze El-Zayat,,WR,5-10,178.0,Gr.,1.0,"Dearborn, Mich. / Fordson",Fordham,,
1,,3.0,Ike Udengwu III,,QB,6-3,195.0,Jr.,2.0,"City of Industry, Calif. / Workman",Mt. San Antonio,,
2,,4.0,Austin Smith,*,QB,6-2,212.0,Jr.,3.0,"Ellenwood, Ga. / Cedar Grove",,,
3,,6.0,Chase Kline,*,LB,6-4,233.0,Sr.,1.0,"Chardon, Ohio / Chardon",Michigan State,,
4,,7.0,Javon Swinton,,WR,6-1,185.0,Jr.,2.0,"Stafford, Va. / North Stafford",Indiana,,
5,,8.0,Cam’Ron McCoy,*,QB,6-1,190.0,So.,4.0,"St. Louis, Mo. / St. Mary's",,,
6,,8.0,T.J. Peavy,***,DB,5-10,197.0,Sr.,2.0,"Fayetteville, Ga. / Sandy Creek",Air Force,,
7,,9.0,Darius Lassiter,*,WR,6-3,200.0,Sr.,1.0,"Chandler, Ariz. / Lawrence Free State (Kan.)",Butler C.C.,,
8,,11.0,Terry Lockett Jr.,,WR,6-0,180.0,Jr.,3.0,"Minneapolis, Minn. / Minnehaha Academy",Michigan State,,
9,,13.0,Brooks Blount,*,QB,6-0,185.0,Sr.,3.0,Waukesha / Waukesha West,DuPage,,
10,,13.0,Jaivian Norman,,DB,5-10,180.0,Fr.,4.0,"Springfield, Ohio / Springfield",,,
11,,14.0,Isaac Smith,,WR,6-2,201.0,Sr.,2.0,"Memphis, Tenn. / St. Georges",Wisconsin,,
12,,14.0,Corry Thomas Jr.,*,DB,5-10,181.0,Sr.,2.0,"Ecorse, Mich. / Westlake (Ga.)",,,
13,,15.0,Jeremiah Salem,,QB,6-3,183.0,So.,4.0,"Germantown, Tenn. / Houston",,,
14,,15.0,Joshua Scott,*,DB,6-0,180.0,Jr.,2.0,"Antioch, Calif. / Deer Valley",City College of San Francisco,,
15,,16.0,Kaiden Keefe,*,WR,6-2,177.0,Sr.,3.0,"Highlands Ranch, Colo. / Valor Christian",,,
