,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Previous School,Image,Name,Title
0,,0.0,Jack Daly,DL,6-3,315.0,Sr.,"South Glastonbury, Conn. / Choate Rosemary Hall HS",Bryant University,,,
1,,0.0,Shomari Lawrence,RB,6-0,200.0,R-Fr.,"Pompano Beach, Fla. / Ely HS",South Dakota,,,
2,,1.0,Keyone Jenkins,QB,5-11,175.0,Fr.,"Miami, Fla. / Miami Central HS",,,,
3,,1.0,Latarie Kinsler,DL,6-3,235.0,So.,"Pahokee, Fla. / Pahokee HS",Syracuse,,,
4,,2.0,Avery Huff,LB,6-3,205.0,R-Jr.,"Fort Lauderdale, Fla. / St. Thomas Aquinas",,,,
5,,2.0,Amari Jones,QB,6-2,220.0,R-Fr.,"Starke, Fla. / Bradford HS",,,,
6,,3.0,Grayson James,QB,6-3,235.0,Jr.,"Duncanville, Texas / Duncanville HS",,,,
7,,3.0,Shaun Peterson Jr.,LB,6-3,245.0,R-Sr.,"Fort Lauderdale, Fla. / Nova HS",,,,
8,,4.0,Haden Carlson,QB,6-3,192.0,R-So.,"Lutz, Fla. / Steinbrenner HS",,,,
9,,4.0,CJ Christian,DB,6-1,185.0,Jr.,"Normal, Ill. / Normal Community HS",Iowa Central CC,,,
10,,5.0,Kejon Owens,RB,5-10,185.0,R-So.,"Miami, Fla. / Miami Central HS",,,,
11,,5.0,Jamal Potts,DB,6-2,185.0,Jr.,"Delray Beach, Fla. / American Heritage",,,,
12,,6.0,Adrian Cole,DB,5-11,185.0,Jr.,"Plantation, Fla. / Plantation HS",Syracuse,,,
13,,6.0,Nate Jefferson,WR,5-11,170.0,R-Jr.,"Longwood, Fla. / Lyman HS",,,,
14,,7.0,Demetrius Hill,DB,6-2,190.0,R-So.,"Miami, Fla. / Miami Springs Senior HS",,,,
15,,7.0,Mike Jackson,WR,5-9,155.0,R-Fr.,"Miami, Fla. / Palmetto HS",,,,
16,,8.0,Lexington Joseph,RB,5-9,205.0,Sr.,"Miami, Fla. / Miami Central HS",,,,
17,,8.0,Jeramy Passmore,DL,6-3,263.0,R-Jr.,"Miami, Fla. / Christopher Columbus HS",Indiana,,,
18,,9.0,Artez Hooker,WR,5-9,160.0,Jr.,"St. Petersburg, Fla. / Lakewood HS",,,,
19,,9.0,Will Prendergast,DL,6-2,280.0,Jr.,"Prosper, Texas / Prosper HS",Blinn College,,,
20,,10.0,Donovan Manuel,LB,6-1,230.0,Sr.,"Ellenwood, Ga. / Stockbridge HS",East Tennessee State,,,
21,,10.0,Kris Mitchell,WR,6-1,175.0,R-Jr.,"Jacksonville, Fla. / Mandarin HS",,,,
22,,11.0,Dean Patterson,WR,6-2,200.0,R-So.,"Lutz, Fla. / Steinbrenner HS",Findlay,,,
23,,12.0,Hezekiah Masses,DB,6-0,160.0,So.,"Deerfield Beach, Fla. / Deerfield Beach HS",,,,
24,,13.0,DJ Aiken,DL,6-3,245.0,R-Fr.,"Bluffton, S.C. / Bluffton HS",,,,
25,,14.0,Jalen Bracey,WR,5-10,185.0,Sr.,"Jackson, Miss. / Murrah HS",Mississippi Gulf Coast,,,
26,,14.0,Larry Preston,DB,6-0,175.0,So.,"Apopka, Fla. / Wekiva HS",McDougle Technical Institute,,,
27,,15.0,Elijah Anderson-Taylor,LB,6-0,238.0,Sr.,"Centennial, Colo. / Eagle Crest HS",Northern Colorado,,,
28,,15.0,Teddy Richardson,WR,5-11,185.0,R-So.,"Miami, Fla. / Booker T. Washington HS",,,,
29,,16.0,Claude Larkins,DL,6-4,270.0,R-Fr.,"Hollywood, Fla. / Chaminade Madonna",North Carolina State,,,
30,,16.0,Ja'Coby Matthews,WR,5-11,170.0,Jr.,"McComb, Miss. / North Pike HS",SW Mississippi CC,,,
31,,17.0,Joe Hocker,TE,6-5,245.0,R-So.,"Cincinnati, Ohio / Deer Park HS",,,,
32,,17.0,Caleb Lynum,WR,6-2,215.0,R-Sr.,"Leesburg, Fla. / East Ridge HS",,,,
33,,18.0,Jay Barry Jr.,WR,6-2,185.0,R-So.,"Boulder, Colo. / Fairview HS",,,,
34,,18.0,Khaya Wright,LB,6-3,215.0,R-So.,"Miami, Fla. / South Miami",Georgia Tech,,,
35,,19.0,Ross Fournet,WR,5-9,175.0,So.,"Windermere, Fla. / Windermere Prep",,,,
36,,19.0,Olsen Louis Baptiste,DB,6-1,190.0,R-Fr.,"Coral Springs, Fla. / Coral Springs HS",,,,
37,,20.0,J.T. Anderson,DB,6-1,181.0,So.,"Tampa, Fla. / Chamberlain HS",Bryant University,,,
38,,21.0,Jamari Holliman,DB,6-3,180.0,Fr.,"Miami, Fla. / Miami Norland HS",,,,
39,,22.0,Brian Blades,DB,5-10,160.0,R-So.,"Fort Lauderdale, Fla. / American Heritage",,,,
40,,22.0,Antonio Patterson,RB,6-0,195.0,R-Fr.,"Murfreesboro, Tenn. / Oakland HS",,,,
41,,23.0,JoJo Evans,DB,6-2,196.0,R-So.,"Palm Beach Gardens, Fla. / Palm Beach Gardens HS",Kent State/Marshall,,,
42,,24.0,D'Verick Daniel,DB,5-10,210.0,Sr.,"Gainesville, Fla. / Gainesville HS",Catawba,,,
43,,25.0,Daton Montiel,K/P,5-11,189.0,R-Jr.,"Pompano Beach, Fla. / Cardinal Gibbons",Marshall,,,
44,,26.0,Cory Neering,RB,5-8,175.0,R-Fr.,"West Palm Beach, Fla. / Berean Christian High School",,,,
45,,26.0,Gio Richardson,DB,6-1,200.0,R-So.,"Wellington, Fla. / Dwyer HS",UT Chattanooga,,,
46,,27.0,Percy Courtney Jr.,LB,5-10,190.0,R-Fr.,"Miami, Fla. / Western HS",,,,
47,,30.0,Joe Perkins,DB,6-0,196.0,Jr.,"Jackson, Miss. / Madison-Ridgeland Academy",,,,
48,,32.0,Deandre Jackson,WR,5-9,160.0,R-Sr.,"Ruskin, Fla. / Lennard HS",Bluefield University,,,
49,,33.0,Nasir Carter,LB,6-2,220.0,R-Jr.,"Orlando, Fla. / West Orange HS",,,,
50,,34.0,Chance Coleman,LB,6-1,217.0,Jr.,"Tampa, Fla. / Gaither HS",,,,
51,,35.0,Lucas Matias,K,5-11,165.0,Sr.,"Pembroke Pines, Fla. / American Heritage",Keiser,,,
52,,37.0,Chase Gabriel,K,5-11,180.0,Jr.,"Brunswick, Ga. / Glynn Academy",,,,
53,,38.0,Hosea Robinson,RB,6-0,210.0,R-So.,"Lake City, Fla. / Union County HS",,,,
54,,39.0,Miles Jones,DB,6-0,200.0,R-So.,"Homestead, Fla. / Parkview HS",Valdosta State,,,
55,,40.0,Nehemiah Cher-Frere,DB,6-4,180.0,R-Fr.,"Hialeah, Fla. / Hialeah HS",,,,
56,,41.0,D'Mor Jean-Baptiste,DB,6-0,172.0,R-So.,"Miami, Fla. / North Miami Beach Senior HS",,,,
57,,42.0,Reggie Peterson,LB,6-2,225.0,Jr.,"Fort Pierce, Fla. / Centennial HS",,,,
58,,43.0,Nick Easters,P,6-3,195.0,R-Fr.,"Brownsburg, Ind. / Brownsburg HS",,,,
59,,44.0,Keegan Davis,LB,6-3,235.0,R-Fr.,"Port Saint Lucie, Fla. / Treasure Coast HS",,,,
60,,45.0,Joshua Lopes,K,5-9,160.0,R-So.,"Doral, Fla. / Doral Academy",,,,
61,,46.0,Matthew Enriquez,K,5-9,190.0,R-So.,"Coral Gables, Fla. / Coral Gables HS",,,,
62,,47.0,Marquez Tatum,DL,6-2,286.0,Jr.,"Mobile, Ala. / Leflore HS",Pearl River (Miss.) CC,,,
63,,49.0,Kristoff Pollas,OL,5-9,260.0,R-So.,"Miramar, Fla. / Chaminade-Madonna HS",,,,
64,,50.0,Naeer Jackson,OL,6-6,320.0,R-Fr.,"Miami, Fla. / Miami Killian HS",,,,
65,,50.0,AJ Mathis,LB,6-2,200.0,R-So.,"Largo, Fla. / Largo HS",,,,
66,,51.0,Jamarrion Solomon,DL,6-0,260.0,R-Fr.,"Miami, Fla. / Palmetto HS",,,,
67,,52.0,Travis Burke,OL,6-9,290.0,So.,"Hollywood, Fla. / South Broward HS",Gardner-Webb,,,
68,,54.0,Phillip Houston,OL,6-5,250.0,Jr.,"McKinney, Texas / McKinney Boyd HS",Navarro College,,,
69,,55.0,Baba Conate,LB,6-2,230.0,Jr.,"Auburn Hills, MI / Avondale",Independence CC,,,
70,,55.0,Wyatt Lawson,OL,6-3,290.0,R-So.,"Plant City, Fla. / Durant HS",,,,
71,,56.0,Tamarick Best,LB,6-1,225.0,R-So.,"Pahokee, Fla. / Pahokee HS",,,,
72,,56.0,JaDarious Lee,OL,6-2,275.0,R-Fr.,"Nashville, Tenn. / Pearl-Cohn HS",,,,
73,,57.0,Steven Shannon,DL,6-3,250.0,So.,"Miami, Fla. / Miami Killian HS",,,,
74,,58.0,Ashton Rivera,OL,6-3,290.0,R-Fr.,"Cape Coral, Fla. / Cape Coral HS",,,,
75,,62.0,John Bock II,OL,6-3,305.0,So.,"Fort Lauderdale, Fla. / Cardinal Gibbons HS",,,,
76,,66.0,Jahmari Sylvester,OL,6-5,317.0,R-So.,"Fort Lauderdale, Fla. / St. Thomas Aquinas HS",,,,
77,,67.0,Jacob Peace,OL,6-5,304.0,Sr.,"Berryville, Va. / Clarke County HS",VMI,,,
78,,68.0,Sebastien Laraque,OL,6-6,320.0,R-Fr.,"Miami, Fla. / Columbus HS",,,,
79,,69.0,Ming Tjon,OL,6-4,325.0,R-So.,"Plantation, Fla. / American Heritage",,,,
80,,70.0,Donnell Johnson,DL,6-2,300.0,R-Fr.,"Fort Lauderdale, Fla. / Flanagan HS",,,,
81,,70.0,Mykeal Rabess,ATH,6-5,260.0,Fr.,"Miami, Fla. / Miami Norland HS",,,,
82,,71.0,Jeremy Moore,DL,6-3,300.0,R-So.,"Mobile, Ala. / Baldwin County HS",Mississippi Gulf Coast CC,,,
