,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Previous School,Instagram,Twitter,Image,Name,Title
0,,1.0,LaJohntay Wester,WR,5-11,165.0,Jr.,"Palmetto, Fla. / Palmetto",,_rockout83,la_wester,,,
1,,2.0,Romain Mungin,CB,5-9,162.0,Sr.,"Tampa, Fla. / Plant",,rlm0.2,RomainMungin2,,,
2,,3.0,Larry McCammon III,RB,5-11,204.0,Sr.,"Birmingham, Ala. / Hoover",,3.swifty,LarryMcCammon3,,,
3,,3.0,Eddie Williams,ILB,6-1,200.0,Sr.,"Goulds, Fla. / Miami Palmetto",,eddiewilliams19,Pnation_305,,,
4,,4.0,Teja Young,S,5-11,192.0,R-Sr.,"West Palm Beach, Fla / Palm Beach Lakes",,threetwoace,teja2k,,,
5,,5.0,Kobe Lewis,RB,5-11,220.0,Gr.,"Americus, Ga. / Americus-Sumter",Central Michigan,,,,,
6,,7.0,Latrell Jean,DL,6-3,295.0,R-Jr.,"Lakeland, Fla. / Lakeland",,fijitrell,latrellj96,,,
7,,8.0,Evan Anderson,DL,6-3,356.0,Jr.,"West Orlando, Fla. / Jones",,kr8zy_8,EvanAnd4215,,,
8,,8.0,Je'Quan Burton,WR,5-10,187.0,R-Sr.,"Orlando, Fla. / Jones",Iowa Central CC,lil.quaan,JeQuanBurton5,,,
9,,10.0,Ben Ballard,QB,5-11,203.0,Gr.,"Austin, Texas / Hyde Park Baptist",Texas,,,,,
10,,10.0,Josh Moore,S,6-2,190.0,R-So.,"Stone Mountain, Ga. / Marist School",UCLA,,josh_moore138,,,
11,,10.0,Daniel Richardson,QB,5-10,205.0,Jr.,"Miami, Fla. / Carol City",Central Michigan,,,,,
12,,11.0,Justin McKithen,CB,5-10,157.0,Jr.,"Savannah, Ga. / New Hampstead",,7iisland,7iisland,,,
13,,11.0,Javion Posey,WR,6-1,213.0,R-Jr.,"Greenville, Ala. / Greenville",,poseyboii_1,JavionPosey,,,
14,,12.0,"Michael Johnson, Jr.",QB,6-2,215.0,R-Jr.,"San Jose, Calif. / Sheldon/ King's Academy",Penn State,mjohnsonjr1,m_johnsonjr1,,,
15,,13.0,"""Ace"" A'ceon Cobb",WR,6-3,195.0,R-Fr.,"Orlando, Fla. / Jones",,Acecobb_,ACE_COBB1,,,
16,,14.0,Tyriq Starks,QB,6-2,210.0,R-So.,"Carol City, Fla. /",Independence CC,Hb.riqq,D1_riq,,,
17,,15.0,Jayshon Platt,WR,6-1,195.0,So.,"Sarasota, Fla. / Venice",,Jayplatt_,Jayplatt5,,,
18,,16.0,Daedae Hill,DB,5-10,190.0,So.,"Palmetto, Fla. / Palmetto",Central Michigan,6Livee_,daedaehill1,,,
19,,16.0,Tony Johnson,WR,5-11,175.0,R-So.,"Ocala, Fla. / Vanguard",,tone_.16,tonyjohnson_10,,,
20,,17.0,Wyatt Sullivan,TE,6-5,225.0,So.,"Atlanta, Ga. / Robert F. Munroe Day School",,,,,,
21,,19.0,Morven Joseph,OLB,6-3,222.0,Jr.,"Lakeland, Fla. / Lake Gibson",Tennessee,_mojo19,MorvenJoseph,,,
22,,20.0,Tyrell Jones,DB,5-11,180.0,R-So.,"Lakeland, Fla. / Lakeland",Upike,21.rell,,,,
23,,21.0,Jaylen Wester,OLB,6-0,200.0,So.,"Palmetto, Fla. / Palmetto",,,JaylenWester3,,,
24,,22.0,Zuberi Mobley,RB,5-10,196.0,R-So.,"Miami, Fla. / Northwestern",,papalou_1,ZuberiMobley,,,
25,,22.0,Jayden Williams,CB,5-11,182.0,R-So.,"Tampa, Fla. / Bloomingdale",,jwilll_3,jay_will6,,,
