,0,1,No.,Name,Pos.,Ht.,Wt.,Yr.,Current School Name,Hometown,High School,Other College,Socials,Position
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Miami, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Vicksburg, Miss.",,,,,,,Florida State,,,,,
3,Other College,Mississippi State,,,,,,,Florida State,,,,,
0,Position,Wide Receiver,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Weston, Fla.",,,,,,,Florida State,,,,,
0,Position,Wide Receiver,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Houma, La.",,,,,,,Florida State,,,,,
0,Position,Wide Receiver,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Savannah, Ga.",,,,,,,Florida State,,,,,
3,Other College,West Virginia,,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Junior,,,,,,,Florida State,,,,,
2,Hometown,"Hollywood, Fla.",,,,,,,Florida State,,,,,
0,Position,Running Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Greenville, Miss.",,,,,,,Florida State,,,,,
3,Other College,Oregon,,,,,,,Florida State,,,,,
0,Position,Linebacker,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Savannah, Ga.",,,,,,,Florida State,,,,,
0,Position,Wide Receiver,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Tampa, Fla.",,,,,,,Florida State,,,,,
3,Other College,Oregon,,,,,,,Florida State,,,,,
0,Position,Wide Receiver,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"St. Petersburg, Fla.",,,,,,,Florida State,,,,,
3,Other College,Illinois,,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Dayton, Ohio",,,,,,,Florida State,,,,,
3,Other College,Albany,,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Kissimmee, Fla.",,,,,,,Florida State,,,,,
0,Position,Tight End,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Lake City, Fla.",,,,,,,Florida State,,,,,
3,Other College,South Carolina,,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Magee, Miss.",,,,,,,Florida State,,,,,
3,Other College,Mississippi State,,,,,,,Florida State,,,,,
0,Position,Wide Receiver,,,,,,,Florida State,,,,,
1,Year,Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Fort Lauderdale, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Orlando, Fla.",,,,,,,Florida State,,,,,
0,Position,Running Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"St. Petersburg, Fla.",,,,,,,Florida State,,,,,
0,Position,Quarterback,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Inland Empire, Calif.",,,,,,,Florida State,,,,,
0,Position,Quarterback,,,,,,,Florida State,,,,,
1,Year,Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Covington, Tenn.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Miami, Fla.",,,,,,,Florida State,,,,,
0,Position,Athlete,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Blythewood, S.C.",,,,,,,Florida State,,,,,
0,Position,Quarterback,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"West Palm Beach, Fla.",,,,,,,Florida State,,,,,
3,Other College,Louisville,,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Junior,,,,,,,Florida State,,,,,
2,Hometown,"Lehigh Acres, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Junior,,,,,,,Florida State,,,,,
2,Hometown,"Havana, Fla.",,,,,,,Florida State,,,,,
3,Other College,Miami,,,,,,,Florida State,,,,,
0,Position,Wide Receiver,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Pacoima, Calif.",,,,,,,Florida State,,,,,
3,Other College,Arizona State,,,,,,,Florida State,,,,,
0,Position,Linebacker,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Miami, Fla.",,,,,,,Florida State,,,,,
3,Other College,UCF,,,,,,,Florida State,,,,,
0,Position,Quarterback,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Naples, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Meridian, Miss.",,,,,,,Florida State,,,,,
0,Position,Quarterback,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Valdosta, Ga.",,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Greenville, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Fort Pierce, Fla.",,,,,,,Florida State,,,,,
3,Other College,South Carolina,,,,,,,Florida State,,,,,
0,Position,Wide Receiver,,,,,,,Florida State,,,,,
1,Year,Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Fort Pierce, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Niceville, Fla.",,,,,,,Florida State,,,,,
0,Position,Wide Receiver,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Brownsville, Tenn.",,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Kenner, La.",,,,,,,Florida State,,,,,
3,Other College,Louisville,,,,,,,Florida State,,,,,
0,Position,Running Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Kaplan, La.",,,,,,,Florida State,,,,,
0,Position,Defensive Line,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Montgomery, Ala.",,,,,,,Florida State,,,,,
3,Other College,Hutchinson (Kan.) CC,,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Rock Hill, S.C.",,,,,,,Florida State,,,,,
3,Other College,Virginia,,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Jacksonville, Fla.",,,,,,,Florida State,,,,,
0,Position,Running Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Titusville, Fla.",,,,,,,Florida State,,,,,
3,Other College,Penn State,,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Tampa, Fla.",,,,,,,Florida State,,,,,
3,Other College,Coffeyville CC,,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Senior,,,,,,,Florida State,,,,,
2,Hometown,"Pahokee, Fla.",,,,,,,Florida State,,,,,
0,Position,Punter,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Melbourne, Australia",,,,,,,Florida State,,,,,
0,Position,Running Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Statesboro, Ga.",,,,,,,Florida State,,,,,
0,Position,Linebacker,,,,,,,Florida State,,,,,
1,Year,Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Duluth, Ga.",,,,,,,Florida State,,,,,
0,Position,Wide Receiver,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Fernandina Beach, Fla.",,,,,,,Florida State,,,,,
0,Position,Linebacker,,,,,,,Florida State,,,,,
1,Year,Redshirt Junior,,,,,,,Florida State,,,,,
2,Hometown,"Orlando, Fa.",,,,,,,Florida State,,,,,
0,Position,Linebacker,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Fort Lauderdale, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Ellenwood, Ga.",,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Lake City, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Winter Garden, Fla.",,,,,,,Florida State,,,,,
0,Position,Tight End,,,,,,,Florida State,,,,,
1,Year,Redshirt Sophomore,,,,,,,Florida State,,,,,
2,Hometown,"Norcross, Ga.",,,,,,,Florida State,,,,,
0,Position,Linebacker,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Tampa, Fla.",,,,,,,Florida State,,,,,
0,Position,Defensive Back,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Jacksonville, Fla.",,,,,,,Florida State,,,,,
0,Position,Punter,,,,,,,Florida State,,,,,
1,Year,Redshirt Freshman,,,,,,,Florida State,,,,,
2,Hometown,"Daytona Beach, Fla.",,,,,,,Florida State,,,,,
