,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Current School Name,Instagram,Twitter
0,0.0,Rian Davis,ILB,6' 2'',230,Sr.,"Apopka, Fla. / Wekiva",,Georgia,tr0ublemannn,Trouble_R4
1,0.0,Roderick Robinson II,RB,6' 0'',235,Fr.,"Imperial, Calif. / Lincoln",,Georgia,,
2,1.0,Nyland Green,DB,6' 1'',185,R-So.,"Covington, Ga. / Newton",,Georgia,nylandgreen,nylandgreen1
3,1.0,Marcus Rosemy-Jacksaint,WR,6' 2'',195,Sr.,"Pompano Beach, Fla. / St. Thomas Aquinas",,Georgia,marcus.rosemy,rosemy_marcus
4,2.0,Kendall Milton,RB,6' 1'',220,Sr.,"Fresno, Calif. / Buchanan",,Georgia,therealkmilt,therealkmilt
5,2.0,"Smael Mondon, Jr.",ILB,6' 3'',220,Jr.,"Dallas, Ga. / Paulding County",,Georgia,4smael,SmaelJR
6,3.0,Kamari Lassiter,DB,6' 0'',180,Jr.,"Savannah, Ga. / American Christian Academy",,Georgia,ka.mari._,kamari_lassiter
7,3.0,Andrew Paul,RB,5' 11'',218,R-Fr.,"Dallas, Texas / Parish Episcopal School",,Georgia,,
8,4.0,Oscar Delp,TE,6' 5'',225,So.,"Cumming, Ga. / West Forsyth",,Georgia,,
9,4.0,A.J. Harris,DB,6' 1'',190,Fr.,"Phenix City, Ala. / Central",,Georgia,,
10,5.0,Rara Thomas,WR,6' 2'',200,Fr.,"Eufaula, Ala. / Eufaula HS",Mississippi State,Georgia,,
11,5.0,Raylen Wilson,ILB,6' 1'',225,Fr.,"Tallahassee, Fla. / Lincoln",,Georgia,,
12,6.0,Daylen Everette,DB,6' 1'',190,So.,"Norfolk, Va. / IMG Academy",,Georgia,,
13,6.0,Dominic Lovett,WR,5' 10'',179,Jr.,"Belleville, Ill.",,Georgia,,
14,7.0,"Marvin Jones, Jr",OLB,6' 5'',250,So.,"Sunrise, Fla. / American Heritage",,Georgia,,
15,7.0,Lawson Luckie,TE,6' 3'',240,Fr.,"Norcross, Ga. / Norcross",,Georgia,,
16,8.0,Joenel Aguero,DB,5' 11'',205,Fr.,"Lynn, Mass. / St. John’s Prep",,Georgia,,
17,9.0,Jackson Meeks,WR,6' 2'',205,Jr.,"Phenix City, Ala. / Central",,Georgia,yeahimjack,_7JMEEKS
18,9.0,Justyn Rhett,DB,6' 0'',190,Fr.,"Las Vegas, Nev. / Bishop Gorman",,Georgia,,
19,10.0,Jamon Dumas-Johnson,ILB,6' 1'',245,Jr.,"Hyattsville, Md. / St. Frances Academy",,Georgia,1jamondj,1jamondj
20,10.0,Tyler Williams,WR,6' 3'',205,Fr.,"Lakeland, Fla. / Lakeland",,Georgia,,
21,11.0,Arian Smith,WR,6' 0'',185,Jr.,"Bradley, Fla. / Lakeland",,Georgia,arian_smith.10,ArianSmith2
22,11.0,Jalon Walker,ILB,6' 2'',225,So.,"Salisbury, N.C. / Salisbury",,Georgia,,
23,12.0,Julian Humphrey,DB,6' 0'',190,R-Fr.,"Webster, Texas / Clear Lake",,Georgia,,
24,12.0,Brock Vandagriff,QB,6' 3'',205,R-So.,"Bogart, Ga. / Prince Avenue Christian School",,Georgia,brockvandagriff,BrockVandagriff
25,13.0,Zeed Haynes,WR,6' 1'',170,Fr.,"Philadelphia, Pa. / North Penn",,Georgia,,
26,13.0,Mykel Williams,DL,6' 5'',265,So.,"Columbus, Ga. / Hardaway",,Georgia,,
27,14.0,David Daniel-Sisavanh,DB,6' 2'',185,Jr.,"Woodstock, Ga. / Woodstock",,Georgia,david.danielll,David_X_Dope
28,14.0,Gunner Stockton,QB,6' 1'',210,R-Fr.,"Tiger, Ga. / Rabun County",,Georgia,,
29,15.0,Carson Beck,QB,6' 4'',215,Jr.,"Jacksonville, Fla. / Mandarin",,Georgia,carsonbeck,
