,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Hometown/High School,Previous School,Major,Twitter,Instagram,Opendorse,Title
0,,1.0,,Todd Bradley-Glenn,LB,6-0,230.0,7th Year,"Valdosta, Ga. / Valdosta",,Construction Engineering,TBG11_,TBG11_,todd-bradley-glenn,
1,,1.0,,Jeremy Singleton,WR,6-0,190.0,R-Sr.,"New Orleans, La. / Brother Martin",Houston,Liberal Studies,Jerms3_,_j3rm,jeremy-singleton,
2,,2.0,,Derwin Burgess Jr.,WR,5-11,185.0,So.,"Riverdale, Ga. / Riverdale",,Sport Management,Derwinnn2,Billi0naire.dee,derwin-burgess-jr,
3,,2.0,,Justin Ellis,DL,6-2,255.0,6th Year,"Roswell, Ga. / Roswell",Syracuse,Economics,,justin_ellis44,justin-ellis,
4,,4.0,,Tyler Bride,DB,5-10,180.0,Jr.,"Atlanta, Ga. / Greater Atlanta Christian",,Supply Chain Management,TylerBride2,Tylerbride4,tyler-bride,
5,,4.0,,Gerald Green,RB,5-9,195.0,R-Jr.,"Columbus, Ga. / East Coweta",,Interdisciplinary Studies,geraldgreen1999,thaboyg,gerald-green,
6,,5.0,,Wylan Free,DB,6-2,180.0,6th Year,"Compton, Calif. / Lynwood",Fresno State,Africana Studies,wylan8,,wylan-free-profile,
7,,5.0,,Amare Jones,WR,5-11,195.0,5th Year,"Frisco, Texas / Frisco Heritage",Tulane,Interdisciplinary Studies,AJonesEra,ajonesera,amare-jones,
8,,6.0,,NaJee Thompson,DB,5-11,205.0,5th Year,"Boiling Springs, S.C. / Boiling Springs",,Interdisciplinary Studies,najee_thompson,najee_7,najee-thompson,
9,,6.0,,Kyle Vantrease,QB,6-2,225.0,6th Year,"Stow, Ohio / Stow-Munroe",Buffalo,Business Administration,KVT6_,kyle_v06,kyle-vantrease,
10,,7.0,,Anthony Beck II,P,6-4,245.0,R-Sr.,"Guyton, Ga. / South Effingham",,Management,anthony_beck4,anthony_beck4,anthony-beck,
11,,7.0,,Khaleb Hood,WR,5-10,180.0,Sr.,"McDonough, Ga. / Eagles Landing Christian",Air Force Prep,Interdisciplinary Studies,khaleb_j,kjhood7,khaleb-hood,
12,,9.0,,Khadry Jackson,LB,6-1,230.0,Sr.,"Orlando, Fla. / Windermere Prep",North Carolina,Interdisciplinary Studies,K1llaKhad,killakhad,khadry-jackson,
13,,9.0,,Jjay Mcafee,TE,6-3,220.0,5th Year,"Charleston, S.C. / Ashley Ridge",Georgia Military College,Interdisciplinary Studies,JjayM_12,thedivine1_,jjay-mcafee,
14,,10.0,,Jalen Denton,DB,5-10,180.0,R-So.,"Memphis, Tenn. / Lausanne Collegiate",Ole Miss,Communication Studies,dentonjae,jae_fresco,jalen-denton,
15,,10.0,,Darius Lewis,WR,5-10,180.0,R-Jr.,"Jacksonville, Fla. / First Coast",,Interdisciplinary Studies,dariuskelo,kelo.4,darius-lewis,
16,,11.0,,Kevon Glenn,LB,6-2,240.0,R-Jr.,"Riverdale, Ga. / Dutchtown",Florida State,Interdisciplinary Studies,kevontglenn,ke.von11,kevon-glenn,
17,,11.0,,Beau Johnson,TE,6-1,230.0,R-Jr.,"Plantation, Fla. / American Heritage",,Interdisciplinary Studies,beau_johnson23,beau_johnson23,beau-johnson-profile,
18,,12.0,,David Dallas,QB,6-0,205.0,Fr.,"Sharpsburg, Ga. / Trinity Christian",,Sport Management,daviddallas323,daviddallas323,david-dallas,
19,,12.0,,Anthony Wilson,DB,5-10,200.0,R-Jr.,"Columbia, S.C. / Spring Valley",,Interdisciplinary Studies,AnthonyWilson_4,anthony__wilson,anthony-wilson,
20,,13.0,,Derrick Canteen,DB,5-11,190.0,R-Jr.,"Evans, Ga. / Evans",,Interdisciplinary Studies,_canteen,_cxnteen,derrick-canteen,
21,,13.0,,Connor Cigelske,QB,6-0,195.0,R-So.,"Atlanta, Ga. / Marist School",,Economics & Political Science (double),CigelskeConnor,connor_cigelske,connor-cigelske,
