,Number,Name,Position,HT.,WT.,YEAR,HOMETOWN,LAST SCHOOL,Social
0,0.0,Trey Cooley,RB,5-10,200.0,Junior,"Raleigh, N.C.",Louisville,TwitterInstagram
1,0.0,Myles Sims,DB,6-3,187.0,R-Senior,"Atlanta, Ga.",Michigan,Twitter
2,1.0,Leo Blackburn,WR,6-5,221.0,R-Sophomore,"Atlanta, Ga.",Westlake H.S.,TwitterInstagram
3,1.0,LaMiles Brooks,DB,6-2,192.0,Junior,"Jacksonville, Fla.",Trinity Christian Academy,TwitterInstagram
4,2.0,Dylan Leonard,TE,6-5,238.0,Senior,"Milton, Ga.",Milton H.S.,TwitterInstagram
5,2.0,Andre White,LB,6-3,235.0,Senior,"Harrisburg, Pa.",Texas A&M,TwitterInstagram
6,3.0,D.J. Moore,WR,6-1,187.0,R-Freshman,"Loganville, Ga.",Archer H.S.,Instagram
7,3.0,Kenyatta Watson II,DB,6-1,185.0,R-Junior,"Loganville, Ga.",Texas,TwitterInstagram
8,4.0,Braelen Oliver,LB,6-0,230.0,R-Senior,"Douglasville, Ga.",Minnesota,TwitterInstagram
9,4.0,Dontae Smith,RB,5-11,203.0,R-Senior,"Spring Hill, Tenn.",Spring Hill H.S.,TwitterInstagram
10,5.0,Zach Pyron,QB,6-3,213.0,R-Freshman,"Pinson, Ala.",Pinson Valley H.S.,Instagram
11,5.0,Clayton Powell-Lee,DB,6-2,175.0,Sophomore,"Atlanta, Ga.",Westlake H.S.,Instagram
12,6.0,Christian Leary,WR,5-10,175.0,Junior,"Orlando, Fla.",Alabama,TwitterInstagram
13,6.0,Etinosa Reuben,DL,6-3,295.0,R-Junior,"Kansas City, Mo.",Clemson,TwitterInstagram
14,7.0,"Eric Singleton, Jr.",WR,5-11,170.0,Freshman,"Douglasville, Ga.",Alexander H.S.,TwitterInstagram
15,8.0,Makius Scott,DL,6-4,295.0,Junior,"Gainesville, Ga.",South Carolina,Instagram
16,8.0,Malik Rutherford,WR,5-9,155.0,R-Sophomore,"Miami, Fla.",Champagnat Catholic School,TwitterInstagram
17,9.0,Kyle Kennard,DL,6-5,240.0,Junior,"Atlanta, Ga.",Riverwood H.S.,TwitterInstagram
18,9.0,Avery Boyd,WR,6-2,230.0,Junior,"Tallahassee, Fla.",Godby H.S.,TwitterInstagram
19,10.0,Haynes King,QB,6-3,205.0,R-Sophomore,"Longview, Texas",Texas A&M,TwitterInstagram
20,10.0,"Steven Jones, Jr.",DB,6-1,195.0,Freshman,"Gadsden, Ala.",Gadsden City H.S.,TwitterInstagram
21,11.0,Jamal Haynes,WR,5-9,180.0,R-Sophomore,"Loganville, Ga.",Grayson H.S.,TwitterInstagram
22,11.0,Kevin Harris,DL,6-4,241.0,Junior,"Loganville, Ga.",Alabama,TwitterInstagram
23,12.0,Nico Dowdell,DB,6-0,175.0,Freshman,"Loganville, Ga.",Loganville H.S.,TwitterInstagram
24,12.0,Zion Taylor,WR,5-11,195.0,Freshman,"Norcross, Ga.",Norcross H.S.,TwitterInstagram
25,13.0,Chase Lane,WR,6-0,185.0,R-Junior,"Houston, Texas",Texas A&M,TwitterInstagram
26,13.0,Eric Reed Jr.,DB,6-0,196.0,R-Sophomore,"Shreveport, La.",Auburn,Instagram
27,14.0,Jaylon King,DB,6-1,192.0,R-Senior,"La Vergne, Tenn.",Ensworth H.S.,TwitterInstagram
28,14.0,Juju Lewis,WR,6-2,213.0,R-Freshman,"Davie, Fla.",Western H.S.,Instagram
29,15.0,Zach Gibson,QB,6-3,211.0,R-Junior,"Alpharetta, Ga.",Akron,Instagram
30,15.0,Sirad Bryant,DB,6-2,208.0,R-Sophomore,"Cordele, Ga.",Crisp County H.S.,TwitterInstagram
31,16.0,Brody Rhodes,QB,6-1,191.0,R-Sophomore,"Canton, Ga.",Creekview H.S.,TwitterInstagram
32,16.0,K.J. Wallace,DB,5-11,184.0,R-Junior,"Atlanta, Ga.",Notre Dame,Instagram
33,17.0,Rodney Shelley,DB,5-11,165.0,Sophomore,"Fairburn, Ga.",Langston Hughes H.S.,Instagram
34,17.0,Aidan Semo,QB,6-3,204.0,R-Freshman,"New Windsor, N.Y.",Rabun Gap-Nacoochee (Ga.) School,Instagram
35,18.0,Abdul Janneh,WR,6-3,180.0,R-Junior,"Hanover, Pa.",Duquesne,TwitterInstagram
36,18.0,Ahmari Harvey,DB,6-0,174.0,R-Sophomore,"Tallahassee, Fla.",Auburn,Instagram
37,20.0,Antonio Martin,RB,5-11,221.0,R-Freshman,"Atlanta, Ga.",Langston Hughes H.S.,Instagram
38,21.0,Daylon Gordon,RB,5-9,185.0,R-Sophomore,"Eastman, Ga.",Dodge County H.S.,
39,22.0,Kaleb Edwards,DB,6-0,222.0,Junior,"Dacula, Ga.",Dacula H.S.,TwitterInstagram
40,23.0,Khari Gee,DB,6-2,202.0,R-Sophomore,"Atlanta, Ga.",Notre Dame,Instagram
41,23.0,Jamie Felix,RB,5-10,204.0,Sophomore,"Kingland, Ga.",Camden County H.S.,
42,24.0,Trent Davis,WR,5-11,167.0,R-Sophomore,"Douglas, Ga.",Coffee H.S.,Instagram
43,24.0,Kenan Johnson,DB,6-1,180.0,R-Junior,"Minneola, Fla.",Lake Minneola H.S.,TwitterInstagram
44,25.0,James BlackStrain,WR,6-2,188.0,R-Sophomore,"Cocoa, Fla.",Holy Trinity Episcopal Academy,TwitterInstagram
45,25.0,Taye Seymore,DB,5-11,200.0,Freshman,"Atlanta, Ga.",South Atlanta H.S.,TwitterInstagram
46,26.0,Evan Dickens,RB,5-11,180.0,Freshman,"Roswell, Ga.",IMG Academy,TwitterInstagram
47,27.0,Josh Robinson,DL,6-6,259.0,Junior,"Douglasville, Ga.",Douglas County H.S.,TwitterInstagram
48,28.0,Jaylin Marshall,DB,6-3,196.0,R-Freshman,"Fort Lauderdale, Fla.",Western H.S.,Instagram
49,30.0,Tamarii Jones-Cummings,DB,6-2,197.0,R-Sophomore,"Fort Lauderdale, Fla",Nova Southeastern University School,Instagram
50,31.0,Christian Burkhalter,DL,6-4,236.0,R-Sophomore,"Mobile, Ala.",UCLA,Instagram
51,32.0,Sylvain Yondjouen,DL,6-4,257.0,Senior,"Ruisbroek, Belgium",Don Bosco School,TwitterInstagram
52,33.0,Tyson Meiguez,LB,6-2,216.0,R-Sophomore,"Fairburn, Ga.",Creekside H.S.,TwitterInstagram
53,34.0,Khatavian Franks,LB,6-2,213.0,R-Sophomore,"Fairburn, Ga.",Creekside H.S.,TwitterInstagram
54,35.0,Jacob Cruz,LB,6-3,215.0,Freshman,"Kennesaw, Ga.",North Cobb Christian School,TwitterInstagram
55,36.0,Alexander Parker,WR,5-6,180.0,R-Junior,"Atlanta, Ga.",Baylor,
56,37.0,Harrison Peyton,LB,6-1,202.0,R-Freshman,"Suwanee, Ga.",Lambert H.S.,Instagram
57,38.0,Connor Mack,DB,5-10,179.0,R-Sophomore,"Covington, Ga.",Newton H.S.,
58,39.0,Tyler Rowe,DB,5-11,175.0,R-Freshman,"Atlanta, Ga.",Grayson H.S.,Instagram
59,39.0,Englan Williams,RB,5-9,191.0,R-Sophomore,"Roswell, Ga.",Blessed Trinity Catholic H.S.,TwitterInstagram
60,40.0,Trenilyas Tatum,LB,6-2,216.0,Junior,"Riverdale, Ga.",Mount Zion H.S.,TwitterInstagram
61,41.0,Malcolm Pugh,DL,6-4,215.0,Freshman,"Leroy, Ala.",Leroy H.S.,TwitterInstagram
62,42.0,Ben Hollerbach,DB,5-10,174.0,R-Freshman,"Savannah, Ga.",Benedictine Military Academy,Instagram
63,43.0,David Shanahan,P,6-2,201.0,Junior,"Castleisland, County Kerry, Ireland",St. Patrick’s Secondary School,TwitterInstagram
64,43.0,Noah Collins,DL,6-5,243.0,Junior,"Loganville, Ga.",Grayson H.S.,TwitterInstagram
65,44.0,Kyle Efford,LB,6-2,230.0,R-Freshman,"Dacula, Ga.",Dacula H.S.,Instagram
