,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Previous School,Title
0,,1.0,,Jonah Panoke,WR,6-2,190.0,Jr.,"Honolulu, O‘ahu / Saint Louis School",,
1,,1.0,,Penei Pavihi,LB,6-3,245.0,Sr.,"Tafuna, American Samoa / Tafuna HS",,
2,,2.0,,Chad Owens Jr.,WR,5-9,175.0,Fr.,"Honolulu, O'ahu / Moanalua HS",,
3,,2.0,,Matthew Shipley,PK/P,6-1,180.0,Jr.,"Liberty Hill, Texas / Liberty Hill HS",,
4,,3.0,,Hugh Nelson II,DB,6-2,205.0,Sr.,"Powder Springs, Ga. / Hillgrove HS",Georgia,
5,,3.0,,James Phillips,WR,5-9,160.0,Sr.,"Menifee, Calif. / Heritage HS",Mt. San Jacinto College,
6,,4.0,,Ty Marsh,DB,5-11,180.0,So.,"Dallas, Texas / Denton Ryan HS",,
7,,4.0,,Jalen Walthall,WR,6-1,170.0,Rf.,"Houston, Texas / Manvel HS",,
8,,5.0,,McKenzie Barnes,DB,6-2,170.0,Jr.,"Fresno, Calif. / Edison HS",Arizona,
9,,5.0,,Jake Farrell,QB,6-5,220.0,So.,"Scottsdale, Ariz. / East Coast Prep",,
10,,6.0,,Zion Bowens,WR,6-1,185.0,Sr.,"Long Beach, Calif. / Long Beach Polytechnic HS",Long Beach City College,
11,,6.0,,Riley Wilson,LB,6-2,210.0,So.,"Prosper, Texas / Prestonwood Christian Academy",,
12,,7.0,,Jordan Murray,TE,6-5,240.0,Sr.,"Lee's Summit, Mo. / Lee’s Summit North HS",Missouri State,
13,,7.0,,Mataio Soli,DL,6-4,230.0,Sr.,"Atlanta, Ga. / Douglas County HS",Arkansas,
14,,8.0,,JoJo Forest,DB,5-11,165.0,Jr.,"Gardena, Calif. / Mission Viejo HS",Oregon State,
15,,8.0,,Tamatoa Mokiao-Atimalala,WR,5-10,180.0,Jr.,"Kapolei, O’ahu / Campbell HS",,
16,,9.0,,Malik Hausman,DB,6-0,180.0,Sr.,"Las Vegas, Nev. / Bishop Gorman HS",Arizona,
17,,9.0,,Dior Scott,WR,5-9,175.0,Sr.,"Antioch, Calif. / Deer Valley HS",Laney College,
18,,10.0,,Kolby Wyatt,DL,6-4,235.0,Sr.,"San Diego, Calif. / Shiloh HS",Georgia,
19,,11.0,,Jordan Johnson,RB,5-10,175.0,Rf.,"Dallas, Texas / Allen HS",,
20,,12.0,,Cammon Cooper,QB,6-5,210.0,Jr.,"Lehi, Utah / Lehi HS",Washington State,
21,,12.0,,Wynden Ho'ohuli,DL,6-3,240.0,Fr.,"Mililani, O'ahu / Mililani HS",Nebraska,
22,,13.0,,Brayden Schager,QB,6-3,215.0,So.,"Dallas, Texas / Highland Park HS",,
23,,13.0,,Jalen Smith,LB,6-0,210.0,So.,"Bakersfield, Calif. / Garces HS",Bakersfield College,
24,,14.0,,Von Killins,DB,5-11,170.0,Jr.,"Daytona Beach, Fla. / Spruce Creek HS",,
25,,16.0,,Armani Edden,QB,6-0,175.0,Sr.,"West Palm Beach, Fla. / Palm Beach Lakes HS",College of the Canyons,
26,,16.0,,Logan Taylor,LB,6-1,200.0,Sr.,"Harbor City, Calif. / Narbonne HS",El Camino College,
27,,17.0,,Greyson Morgan,TE,6-3,225.0,So.,"Kingwood, Texas / Kingwood HS",Trinity Valley CC,
28,,17.0,,Isaiah Tufaga,LB,6-1,230.0,Sr.,"La'ie, O'ahu / Saint Louis School",Oregon State,
29,,18.0,,Noah Kema,LB,6-2,225.0,Jr.,"Lawrence, Kan. / Lawrence Free State HS",Snow College [Utah],
30,,18.0,,Joey Yellen,QB,6-3,220.0,Jr.,"Mission Viejo, Calif / Mission Viejo HS",Pittsburgh,
31,,19.0,,Kaulana Makaula,DB,6-3,220.0,Jr.,"Kailua, O'ahu / Punahou Schoolf",USC,
32,,20.0,,Cam Bell,DB,6-0,195.0,Jr.,"Pompana Beach, Fla. / Coral Springs HS",College of the Canyons,
33,,20.0,,Keith Moton III,RB,5-9,180.0,Fr.,"Beaverton, Ore. / Westview HS",,
34,,21.0,,David Cordero,RB,5-10,190.0,Rf.,"Tucson, Ariz. / Salpointe Catholic HS",,
35,,21.0,,Tiger Peterson,DB,6-1,200.0,Jr.,"Wai'anae, O'ahu / Kamehameha Schools-Kapalama",,
36,,22.0,,Nasjzaé Bryant-Lelei,RB,5-10,210.0,R-Jr.,"Orlando, Fla. / Mallard Creek HS",Catawba College,
37,,22.0,,Jalen Perdue,DB,5-10,170.0,Sr.,"Lancaster, Calif. / Antelope Valley HS",Antelope Valley College,
38,,23.0,,Virdel Edwards II,DB,6-2,210.0,Jr.,"Plano, Texas / Prestonwood Christian Academy",Iowa State,
39,,23.0,,Isaiah Shizuru,WR,6-1,180.0,So.,"Kane'ohe, O'ahu / Kamehameha HS",,
40,,24.0,,Tylan Hines,RB,5-7,170.0,Fr.,"Mt. Pleasant, Texas / Plano Senior HS",,
41,,24.0,,Devyn King,DB,5-11,180.0,Jr.,"Rancho Palos Verdes, Calif. / Junipero Serra HS",Maryland,
42,,25.0,,Matagi Thompson,DB,6-2,185.0,Fr.,"Honolulu, O'ahu / Punahou School",,
43,,26.0,,Derek Boyd II,RB,6-1,210.0,Fr.,"Lawndale, Calif. / Lawndale HS",,
44,,26.0,,Leonard Lee,DB,6-0,190.0,Sr.,"Wahiawa, O'ahu / Kapolei HS",Pima Community College,
45,,27.0,,Koali Nishigaya,WR,5-7,160.0,So.,"Waipahu, O'ahu / Saint Louis School",,
46,,28.0,,Meki Pei,DB,5-11,175.0,So.,"Honolulu, O'ahu / ‘Iolani HS",Washington,
47,,29.0,,Kruze Keanu,LB,5-11,205.0,Fr.,"Ka'a'awa, O'ahu / Kahuku HS",,
48,,30.0,,Kona Moore,DB,6-0,180.0,Fr.,"Kapolei, O'ahu / Saint Louis School",,
49,,30.0,,Landon Sims,TE,6-2,205.0,Rf.,"Gig Harbor, Wash. / Peninsula HS",,
50,,31.0,,Billy Mitchell III,DB,5-9,170.0,Sr.,"Kayenta, Ariz. / Monument Valley HS",University of Minnesota Morris,
51,,31.0,,Dedrick Parson,RB,5-8,205.0,Sr.,"Philadelphia, Pa. / Imhotep Charter HS",Howard,
52,,33.0,,Brock Hedani,RB,5-9,165.0,So.,"Honoulu, O'ahu / 'Iolani HS",,
53,,33.0,,Peter Manuma,DB,6-0,190.0,Fr.,"'Ewa Beach, O'ahu / Campbell HS",,
54,,34.0,,Dean Briski,DL,6-5,255.0,Fr.,"Pago Pago, American Samoa / Samoana HS",,
55,,35.0,,Isaiah Malloe,DB,5-10,150.0,Fr.,"Waimanalo, O'ahu / Kennedy Catholic",,
56,,36.0,,Nalu Emerson,DB,6-1,205.0,Jr.,"Kahuku, O‘ahu / Kahuku HS",,
57,,37.0,,Noah Cambra,DB,6-0,190.0,Sr.,"Honoulu, O'ahu / Kaiser HS",,
58,,38.0,,Kamalu DeBlake,LB,5-9,225.0,Rf.,"Honolulu, O'ahu / Saint Louis School",,
59,,38.0,,Robbie Paikai,RB,5-4,175.0,Jr.,"Pearl City, O'ahu / Saint Louis HS",,
60,,39.0,,Kalamaku Kuewa,DB,6-0,200.0,Sr.,"Kailua, O‘ahu / Kamehameha Schools-Kapalama",,
61,,40.0,,D.J. Utu,LB,6-0,205.0,Rf.,"Honolulu, O'ahu / Punahou School",,
62,,42.0,,Jonah Kahahawai-Welch,DL,6-2,230.0,Sr.,"Kailua, O‘ahu / Kamehameha Schools-Kapalama",,
63,,43.0,,Tariq Jones,DL,6-2,240.0,Rf.,"New Orleans, La. / McDonogh 35 HS",,
64,,44.0,,Solomon Landrum,LS,5-11,215.0,Jr.,"Hattiesburg, Miss. / Sumrall HS",Mississippi,
65,,44.0,,Sonny Semeatu,DL,6-0,265.0,Fr.,"Colorado Springs, Colo. / Mililani HS",,
66,,45.0,,Steele Dubar,LB,5-11,195.0,Jr.,"Huntington Beach, Calif. / Mater Dei HS",Colorado,
67,,46.0,,Kyler Halvorsen,PK/P,6-0,175.0,So.,"Honolulu, O'ahu / Kaiser HS",,
68,,47.0,,Noa Kamana,DB,6-0,195.0,Sr.,"Honolulu, O'ahu / Punahou School",Pacific (Ore.) University,
69,,48.0,,Malachi Finau,DL,6-2,275.0,Fr.,"Los Angeles, Calif. / St John Bosco HS",,
70,,51.0,,George Hooker,DL,6-0,220.0,Sr.,"Nashville, Tenn. / Father Ryan HS",,
71,,51.0,,Maurice Ta'ala,OL,6-1,320.0,So.,"Aua, American Samoa / Faga’itua HS",,
72,,52.0,,Ezra Evaimalo,DL,6-2,240.0,So.,"Wai'anae, O’ahu / Kamehameha Schools- Kapalama",,
73,,52.0,,Solo Vaipulu,OL,6-2,280.0,Sr.,"Riverside, Calif. / Corona Centennial HS",,
74,,53.0,,Etuate Moala,DL,6-3,290.0,Jr.,"Riverside, Calif. / JSerra HS",Riverside City College,
75,,54.0,,Kalani Kamakawiwo'ole,LB,6-0,220.0,Jr.,"Honolulu, O'ahu / Kamehameha Schools-Kapalama",,
76,,54.0,,Ethan Spencer,OL,6-1,280.0,Fr.,"Kailua, O'ahu / Saint Louis School",,
77,,55.0,,Blessman Ta’ala,DL,6-2,305.0,Sr.,"Aua, American Samoa / Faga’itua HS",,
78,,56.0,,Andrew Faoliu,DL,6-3,255.0,Sr.,"Carson, Calif. / Mater Dei HS",Oregon,
79,,58.0,,Kila Kamakawiwo'ole,LB,6-0,230.0,Jr.,"Honolulu, O'ahu / Saint Louis School",,
80,,58.0,,Zhen Sotelo,OL,6-4,295.0,Rf.,"Wai'anae, O‘ahu / Kapolei HS",,
81,,59.0,,Demarii Blanks,LB,6-0,240.0,Jr.,"Belmont, Calif. / Carlmont HS",College of San Mateo,
82,,60.0,,Scotty Atkinson,LS,5-10,185.0,Jr.,"Burlingame, Calif. / Burlingame HS",College of San Mateo,
83,,61.0,,Eliki Tanuvasa,OL,6-2,300.0,Sr.,"Honolulu, O'ahu / Saint Louis School",Eastern Illinois,
84,,64.0,,Kauka Umiamaka,OL,6-4,300.0,Jr.,"Kane'ohe, O'ahu / Castle HS",,
85,,66.0,,Sergio Muasau,OL,6-0,315.0,So.,"‘Ewa Beach, O’ahu / Mililani HS",,
86,,67.0,,Junior Ta'ase,OL,6-4,375.0,Fr.,"Melbourne, Australia / Aquinas HS",,
87,,68.0,,Ra Elkington,OL,6-5,345.0,Sr.,"La'ie, O‘ahu / Kahuku HS",,
88,,68.0,,Jojo Falo,DL,6-2,265.0,Sr.,"San Diego, Calif. / Madison HS",Cal Poly,
89,,69.0,,Stephan Bernal-Wendt,OL,6-1,325.0,Sr.,"Honolulu, O‘ahu / Kaiser HS",,
90,,70.0,,Arasi Mose,OL,6-5,365.0,Jr.,"Honolulu, O‘ahu / Saint Louis School",,
91,,71.0,,Micah Vanterpool,OL,6-6,315.0,Sr.,"Phoenix, Ariz. / Phoenix Central HS",,
92,,72.0,,Luke Felix-Fualalo,OL,6-8,320.0,Jr.,"Brisbane, Australia / Mater Dei HS",Utah,
93,,73.0,,Nate Adams,OL,6-7,325.0,Rf.,"Flower Mound, Texas / Flower Mound HS",,
94,,74.0,,Micah Mariteragi,OL,6-4,290.0,Sr.,"Laie, O'ahu / Kahuku HS",Virginia,
95,,75.0,,Ilm Manning,OL,6-4,295.0,Sr.,"Glendale, Ariz. / Apollo HS",,
96,,77.0,,Austin Hopp,OL,6-6,310.0,Sr.,"Minnetonka, Minn. / Minnetonka HS",Western Illinois,
97,,78.0,,Ka'ena Decambra,OL,6-4,300.0,Rf.,"Wai'anae, O'ahu / Saint Louis School",,
98,,80.0,,Kamuela Borden,TE,6-4,250.0,Sr.,"Pearl City, O‘ahu / ‘Iolani School",,
99,,81.0,,Grey Ihu,WR,6-0,175.0,Sr.,"Kane'ohe, O'ahu / University Lab School",Campbellsville (Ky.) University,
100,,82.0,,Alex Perry,WR,6-5,175.0,Fr.,"Port Charlotte, Fla. / Port Charlotte HS",,
101,,83.0,,Karsyn Pupunu,WR,6-3,205.0,So.,"Lahaina, Maui / Kamehameha-Maui",,
102,,84.0,,Chuuky Hines,WR,6-1,175.0,Fr.,"Houston, Texas / Westfield HS",,
103,,85.0,,Caleb Phillips,TE,6-5,230.0,Sr.,"Encinitas, Calif. / Solana Beach HS",Stanford,
104,,86.0,,Pofele Ashlock,WR,6-2,170.0,Fr.,"Euless, Texas / Trinity HS",,
105,,86.0,,Ben Falck,P/PK,6-6,230.0,Jr.,"Riverside, Calif. / Citrus Hill HS",San Bernardino Valley College,
106,,87.0,,Devon Tauaefa,TE,6-4,190.0,Fr.,"Honolulu, O'ahu / Saint Louis School",,
107,,88.0,,Steven Fiso,WR,6-2,200.0,Sr.,"Aua, American Samoa / Faga'itua HS",,
108,,89.0,,Nick Cenacle,WR,6-3,190.0,Fr.,"Montreal, Canada / Vanier College",,
109,,89.0,,Scott Marshall,K,5-11,185.0,Sr.,"Houston, Texas. / Clear Lake HS",Colorado School of Mines,
