,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Current School Name,Previous School,Image,Name,Title
0,,5.0,Hasaan Hypolite,LB,5-11,215.0,Sr.,"Fresno, Texas / Hightower HS",Houston,Colorado,,,
1,,9.0,Nelson Ceaser,DL,6-3,250.0,Jr.,"Missouri City, Texas / Ridge Point HS",Houston,,,,
2,,10.0,Matthew Golden,WR,6-0,190.0,So.,"Houston, Texas / Klein Cain HS",Houston,,,,
3,,10.0,Chidozie Nwankwo,DL,5-11,295.0,Jr.,"Richmond, Texas / Foster HS",Houston,,,,
4,,12.0,Lucas Coley,QB,6-1,218.0,So.,"Converse, Texas / Cornerstone Christian HS",Houston,Arkansas,,,
5,,12.0,David Ugwoegbu,DL,6-4,250.0,Sr.,"Katy, Texas / Seven Lakes HS",Houston,Oklahoma,,,
6,,13.0,Samuel Brown,WR,6-2,195.0,So.,"Savannah, Ga. / New Hampstead HS",Houston,West Virginia,,,
7,,13.0,Sedrick Williams,DL,6-1,285.0,Sr.,"Houma, La. / Ellender Memorial HS",Houston,Kilgore College,,,
8,,15.0,Donovan Smith,QB,6-5,241.0,Jr.,"Las Vegas, Nev. / Frenship HS",Houston,Texas Tech,,,
9,,16.0,Joshua Cobbs,WR,6-4,204.0,Jr.,"San Antonio, Texas / Wagner HS",Houston,Wyoming,,,
10,,16.0,Noah Guzman,DB,5-10,205.0,Sr.,"Whittier, Calif. / Bishop Amat HS",Houston,West Virginia,,,
11,,17.0,Stephon Johnson,WR,6-0,182.0,So.,"Houston, Texas / Desoto HS",Houston,Oklahoma State,,,
12,,18.0,Adari Haulcy,DB,6-0,215.0,So.,"Houston, Texas / Fort Bend Marshall HS",Houston,New Mexico,,,
13,,18.0,Joseph Manjack IV,WR,6-3,202.0,So.,"Tomball, Texas / Tomball Memorial HS",Houston,USC,,,
14,,19.0,Alex Hogan,DB,5-11,190.0,Sr.,"Houston, Texas / Lamar HS",Houston,Texas Tech,,,
15,,20.0,Antonio Brooks,DB,5-11,200.0,Sr.,"Missouri City, Texas / Fort Bend Marshall",Houston,Kilgore College,,,
16,,20.0,Brandon Campbell,RB,5-10,210.0,So.,"Houston, Texas / Pearland HS",Houston,USC,,,
17,,21.0,Stacy Sneed,RB,5-11,185.0,So.,"Arlington, Texas / Mansfield Timberview HS",Houston,,,,
18,,22.0,Alton McCaskill IV,RB,6-1,210.0,Jr.,"Conroe, Texas / Oak Ridge HS",Houston,,,,
19,,22.0,Laine Wilkins,P,6-2,210.0,Jr.,"Perth, Australia /",Houston,ProKick Australia,,,
20,,23.0,Isaiah Hamilton,DB,6-1,175.0,Jr.,"Houston, Texas / Channelview HS",Houston,Texas Southern,,,
21,,24.0,Jett Huff,QB,5-8,190.0,R-Fr.,"College Station, Texas / College Station HS",Houston,,,,
22,,24.0,Malik Robinson,LB,6-0,230.0,Sr.,"Snellville, Ga. / South Gwinnett HS",Houston,Fort Scott CC,,,
23,,25.0,Anthony Gangi,WR,5-10,190.0,Jr.,"Long Island, N.Y. / American Heritage HS (Fla.)",Houston,,,,
24,,25.0,Jamal Morris,LB,6-2,225.0,Jr.,"Houston, Texas / Fort Bend Bush HS",Houston,Oklahoma,,,
25,,26.0,Moses Alexander,DB,6-3,195.0,So.,"Galveston, Texas / Ball HS",Houston,Kilgore College,,,
26,,27.0,Jake Sock,QB,6-0,190.0,R-Fr.,"Pearland, Texas / Pearland HS",Houston,,,,
27,,27.0,Mike Welch,DB,5-10,195.0,So.,"Dickinson, Texas / Dickinson HS",Houston,,,,
28,,28.0,Brian George,DB,6-2,200.0,Sr.,"Belle Glade, Fla. / Glades Central HS",Houston,Texas A&M,,,
29,,29.0,Treylin Payne,LB,6-0,205.0,So.,"San Antonio, Texas / Judson HS",Houston,,,,
30,,29.0,Kelan Walker,RB,5-11,228.0,Sr.,"DeSoto, Texas / DeSoto HS",Houston,,,,
