,Statistic,No.,Name,Pos.,Ht.,Wt.,Elig.,Hometown,High School,Last School,Instagram,Twitter
0,,0.0,Josh McCray,RB,6-1,235.0,So.,"Enterprise, Ala.",Enterprise,,goat.mccray,goatmccray5
1,,1.0,Kionte Curry,DB,6-0,200.0,R-Fr.,"Mims, Fla.",Cocoa,,taygudda_1,TaytayCurry1
2,,1.0,Isaiah Williams,WR,5-10,180.0,So.,"St. Louis, Mo.",Trinity Catholic,,i_williams1,i_williams11
3,,2.0,Matthew Bailey,DB,6-2,205.0,Fr.,"Moline, Ill.",Moline,,Matthew_Bailey7,MatthewBailey_7
4,,2.0,Chase Brown,RB,5-11,205.0,Jr.,"London, Ontario",St. Stephen's Episcopal (Fla.),Western Michigan,chasebrown___,chasebrown____
5,,3.0,Tommy DeVito,QB,6-2,210.0,Sr.,"Cedar Grove, N.J.",Don Bosco Prep,Syracuse,tommydevito,tommydevito007
6,,4.0,Jer'Zhan Newton,DL,6-2,295.0,So.,"St. Petersburg, Fla.",Clearwater Central Catholic,,johnny_newton5,Johnny5Newton
7,,4.0,Khmari Thompson,WR,6-1,210.0,Jr.,"Lawrenceville, Ga.",Central Gwennett,Missouri,khmarithompson6,nx_prodigy
8,,5.0,Caleb Griffin,K,6-3,215.0,Jr.,"Danville, Ill.",Danville,,calebgriffiin,calebgriffiin
9,,5.0,Calvin Hart Jr.,LB,6-1,230.0,Jr.,"Fort Lauderdale, Fla.",American Heritage,North Carolina State,calvinhartjr_,Hart_cjEra
10,,6.0,Ashton Hollins,WR,6-5,180.0,Fr.,"Lucedale, Miss.",George County,,ashtonhollins1,ashtonhollins1
11,,6.0,Terrell Jennings,DB,6-1,190.0,Sr.,"Knob Hill, Colo.",Pine Creek,Minnesota State,bluestriprello_,
12,,7.0,Brian Hightower,WR,6-3,215.0,Jr.,"Los Angeles, Calif.",IMG Academy (Fla.),Miami (Fla.),longlivee7,longlivee14
13,,7.0,Kendall Smith,DB,6-1,205.0,Sr.,"Bolingbrook, Ill.",Bolingbrook,,the__number__7,Kendallsmith_23
14,,8.0,Tarique Barnes,LB,6-1,230.0,Jr.,"Memphis, Tenn.",Cordova,,tariquebarnes,TariqueBarnes
15,,8.0,Shawn Miller,WR,6-1,195.0,Fr.,"Chandler, Ariz.",IMG Academy (Fla.),,Shawnnmiller,ShawnMiller__
16,,9.0,Tyson Rooks,DB,6-4,190.0,Fr.,"St. Simons Island, Ga.",Glynn Academy,,tysonrooks,RooksTyson
