,Number,Name,Position,Height,Weight,Class,Hometown,High School,Current School Name,Previous School,Twitter,Instagram
0,0.0,Diante Vines,WR,6-0,198 lbs.,Jr.,"Danbury, Conn.",The Taft School,Iowa,,,
1,1.0,Aaron Blom,K,5-11,189 lbs.,Jr.,"Oskaloosa, Iowa",Oskaloosa,Iowa,,,
2,1.0,Xavier Nwankpa,DB,6-2,210 lbs.,So.,"Pleasant Hill, Iowa",Southeast Polk,Iowa,,,
3,2.0,TJ Hall,DB,6-0,183 lbs.,So.,"Fresno, Calif.",San Joaquin Memorial,Iowa,,,
4,2.0,Kaleb Johnson,RB,6-0,212 lbs.,So.,"Hamilton, Ohio",Hamilton,Iowa,,,
5,3.0,Cooper DeJean,DB,6-1,209 lbs.,Jr.,"Odebolt, Iowa",OA-BCIG,Iowa,,,
6,4.0,Koen Entringer,DB,6-0,199 lbs.,RS Fr.,"Ypsilanti, Mich.",Walled Lake Western,Iowa,,,
7,4.0,Leshon Williams,RB,5-10,210 lbs.,Jr.,"Chicago, Ill.",Richards,Iowa,,,
8,5.0,Joe Labas,QB,6-4,207 lbs.,So.,"Brecksville, Ohio",Brecksville-Broadview Heights,Iowa,,,
9,6.0,Seth Anderson,WR,6-0,178 lbs.,So.,"Suwanee, Ga.",North Gwinnett,Iowa,Charleston Southern,,
10,7.0,Jacob Bostick,WR,6-2,171 lbs.,RS Fr.,"Palatine, Ill.",Palatine,Iowa,,,
11,7.0,Spencer Petras,QB,6-5,231 lbs.,Sr.,"San Rafael, Calif.",Marin Catholic,Iowa,,,
12,8.0,Deshaun Lee,DB,5-10,174 lbs.,RS Fr.,"Belleville, Mich.",Belleville,Iowa,,,
13,8.0,"Terrell Washington, Jr.",RB,5-11,195 lbs.,Fr.,"Wylie, Texas",Wylie East,Iowa,,,
14,9.0,Jaziun Patterson,RB,5-10,188 lbs.,RS Fr.,"Pompano, Beach, Fla.",Deerfield Beach,Iowa,,,
15,9.0,Tory Taylor,P,6-4,230 lbs.,Sr.,"Melbourne, Australia",Haileybury College,Iowa,,,
16,10.0,Deacon Hill,QB,6-3,230 lbs.,So.,"Santa Barbara, Calif.",Santa Barbara,Iowa,Wisconsin,,
17,11.0,AJ Lawson,DB,6-0,193 lbs.,Jr.,"Decatur, Ill.",MacArthur,Iowa,,,
18,12.0,Cade McNamara,QB,6-1,206 lbs.,Sr.,"Reno, Nev.",Damonte Ranch,Iowa,Michigan,,
19,12.0,Jaxon Rexroth,DB,6-2,213 lbs.,So.,"Cedar Rapids, Iowa",Xavier,Iowa,,,
20,13.0,Joe Evans,DE,6-2,246 lbs.,Sr.,"Ames, Iowa",Ames,Iowa,,,
21,13.0,Reese Osgood,WR,5-11,176 lbs.,RS Fr.,"Franklin, Wis.",Franklin,Iowa,,,
22,15.0,Jack Johnson,WR,6-0,194 lbs.,Jr.,"West Des Moines, Iowa",Valley,Iowa,,,
23,16.0,Graham Friedrichsen,WR,6-1,183 lbs.,RS Fr.,"Urbandale, Iowa",Urbandale,Iowa,,,
24,16.0,Jamison Heinz,DB,6-0,205 lbs.,Jr.,"Humboldt, Iowa",Humboldt,Iowa,,,
25,17.0,Brenden Deasfernandes,DB,6-0,192 lbs.,Jr.,"Belleville, Mich.",Belleville,Iowa,,,
26,17.0,Max White,RB,5-10,203 lbs.,So.,"Cedar Rapids, Iowa",Kennedy,Iowa,,,
27,18.0,Drew Stevens,K,6-0,180 lbs.,So.,"North Augusta, S.C.",North Augusta,Iowa,,,
28,18.0,Alec Wick,WR,6-1,196 lbs.,So.,"Iowa City, Iowa",Regina Catholic,Iowa,,,
29,20.0,Deavin Hilson,DB,6-1,192 lbs.,So.,"Des Moines, Iowa",North,Iowa,,,
30,21.0,Watts McBride,DB,6-0,195 lbs.,Fr.,"Cedar Rapids, Iowa",Washington,Iowa,,,
31,21.0,Kaden Wetjen,WR,5-10,191 lbs.,Jr.,"Williamsburg, Iowa",Williamsburg,Iowa,Iowa Western CC,,
32,22.0,Alex Eichmann,WR,6-2,193 lbs.,RS Fr.,"Sussex, Wis.",Hamilton-Sussex,Iowa,,,
33,22.0,Carter Erickson,DB,6-0,181 lbs.,RS Fr.,"Indianola, Iowa",Indianola,Iowa,,,
34,23.0,Austin Kutscher,WR,6-0,198 lbs.,Sr.,"Massillon, Ohio",Washington,Iowa,Ohio State,,
35,23.0,Landyn Van Kekerix,LB,6-1,198 lbs.,RS Fr.,"Rock Valley, Iowa",Boyden Hull/Rock Valley,Iowa,,,
36,25.0,Kelby Telander,LB,6-4,228 lbs.,So.,"North Liberty, Iowa",Liberty,Iowa,,,
37,26.0,Kael Kolarik,DB,6-0,211 lbs.,RS Fr.,"Indianola, Iowa",Indianola,Iowa,,,
38,27.0,Jermari Harris,DB,6-1,190 lbs.,Jr.,"Chicago, Ill.",Montini Catholic,Iowa,,,
39,29.0,Sebastian Castro,DB,5-11,207 lbs.,Sr.,"Oak Lawn, Ill.",Richards,Iowa,,,
40,30.0,Quinn Schulte,DB,6-1,208 lbs.,Sr.,"Cedar Rapids, Iowa",Xavier,Iowa,,,
41,31.0,Eli Miller,FB,6-1,232 lbs.,So.,"Sedalia, Co.",Lipscomp Academy,Iowa,Valor Christian,,
42,33.0,Jackson Filer,DL,6-3,230 lbs.,Jr.,"Des Moines, Iowa",Dowling Catholic,Iowa,Iowa Western CC,,
43,34.0,Zach Brand,RB,5-11,210 lbs.,So.,"Grimes, Iowa",Dallas Center-Grimes,Iowa,,,
44,34.0,Jay Higgins,LB,6-2,229 lbs.,Sr.,"Indianapolis, Ind.",Brebeuf Jesuit Prep,Iowa,,,
45,35.0,Justice Sullivan,LB,6-2,230 lbs.,So.,"Eden Prairie, Minn.",Eden Prairie,Iowa,,,
46,36.0,Jayden Montgomery,LB,5-10,214 lbs.,RS Fr.,"Suamico, Wis.",Bay Port,Iowa,,,
47,37.0,Kyler Fisher,LB,5-11,229 lbs.,Sr.,"Farnhamville, Iowa",SE Valley,Iowa,,,
48,38.0,Greg Fagan,LB,6-3,214 lbs.,RS Fr.,"Council Bluffs, Iowa",St. Albert,Iowa,,,
49,39.0,Luke Elkin,LS,6-1,227 lbs.,Jr.,"Neenah, Wis.",Neenah,Iowa,,,
50,39.0,Eric Epenesa,LB,6-3,193 lbs.,So.,"Glen Carbon, Ill.",Edwardsville,Iowa,,,
51,40.0,Josef Smith,LB,6-3,233 lbs.,Jr.,"Britt, Iowa",West Hancock,Iowa,,,
52,41.0,Jaden Harrell,LB,6-2,239 lbs.,So.,"Urbandale, Iowa",Urbandale,Iowa,,,
53,42.0,Denin Limouris,FB,6-2,234 lbs.,So.,"Glen Ellyn, Ill.",Glenbard West,Iowa,,,
54,42.0,Zach Twedt,LB,6-3,240 lbs.,So.,"Story City, Iowa",Roland-Story,Iowa,,,
55,43.0,Karson Sharar,LB,6-2,224 lbs.,So.,"Iowa Falls, Iowa",Iowa Falls-Alden,Iowa,,,
56,45.0,Deontae Craig,DL,6-3,266 lbs.,Jr.,"Fort Wayne, Ind.",Culver Academies,Iowa,,,
57,48.0,Max Llewellyn,DL,6-5,243 lbs.,So.,"Urbandale, Iowa",Urbandale,Iowa,,,
58,49.0,Ethan Hurkett,DL,6-3,252 lbs.,Jr.,"Cedar Rapids, Iowa",Xavier,Iowa,,,
59,49.0,Andrew Lentsch,TE,6-4,252 lbs.,So.,"West Des Moines, Iowa",Dowling Catholic,Iowa,,,
60,51.0,Luke Gaffney,DL,6-2,247 lbs.,RS Fr.,"Robins, Iowa",Linn-Mar,Iowa,,,
61,52.0,Asher Fahey,OL,6-5,289 lbs.,Jr.,"Waukon, Iowa",Waukon,Iowa,,,
62,53.0,Michael Myslinski,OL,6-3,287 lbs.,So.,"Jacksonville, Fla.",Bishop Kenny,Iowa,,,
63,54.0,Anterio Thompson,DL,6-3,290 lbs.,So.,"Dubuque, Iowa",Hempstead,Iowa,Iowa Western CC,,
64,55.0,Jeremiah Pittman,DL,6-3,297 lbs.,So.,"Palatine, Ill.",St. Viator,Iowa,,,
65,56.0,Nick DeJong,OL,6-6,300 lbs.,Sr.,"Pella, Iowa",Pella,Iowa,,,
66,57.0,Will Hubert,DL,6-3,247 lbs.,RS Fr.,"Omaha, Neb.",Papillion-La Vista,Iowa,,,
67,59.0,Griffin Liddle,OL,6-3,282 lbs.,So.,"Bettendorf, Iowa",Bettendorf,Iowa,,,
68,65.0,Logan Jones,OL,6-3,283 lbs.,Jr.,"Council Bluffs, Iowa",Lewis Central,Iowa,,,
69,66.0,Jeremy Chaplin,OL,6-2,263 lbs.,So.,"Waverly, Iowa",Waverly-Shell Rock,Iowa,,,
70,67.0,Gennings Dunker,OL,6-5,316 lbs.,So.,"Lena, Illinois",Lena-Winslow,Iowa,,,
71,70.0,Beau Stephens,OL,6-6,307 lbs.,So.,"Blue Springs, Mo.",Blue Springs,Iowa,,,
72,71.0,Jack Dotzler,OL,6-6,266 lbs.,RS Fr.,"Waunakee, Wis.",Waunakee,Iowa,,,
73,72.0,Kale Krogh,OL,6-5,276 lbs.,RS Fr.,"Huxley, Iowa",Ballard,Iowa,,,
74,76.0,Tyler Elsbury,OL,6-5,308 lbs.,Jr.,"Byron, Ill.",Byron,Iowa,,,
75,77.0,Connor Colby,OL,6-6,308 lbs.,Jr.,"Cedar Rapids, Iowa",Kennedy,Iowa,,,
76,78.0,Mason Richman,OL,6-6,308 lbs.,Jr.,"Leawood, Kan.",Blue Valley,Iowa,,,
77,79.0,Daijon Parker,OL,6-5,300 lbs.,Sr.,"Inkster, Mich.",Westland John Glenn,Iowa,Saginaw Valley State,,
78,80.0,Kyson Van Vugt,TE,6-6,247 lbs.,RS Fr.,"Sioux Center, Iowa",Western Christian,Iowa,,,
79,81.0,Cael Vanderbush,TE,6-4,208 lbs.,RS Fr.,"Plainfield, Ind.",Plainfield,Iowa,,,
80,82.0,Johnny Pascuzzi,TE,6-4,224 lbs.,So.,"Olathe, Kan.",Rockhurst,Iowa,,,
81,83.0,Erick All,TE,6-5,255 lbs.,Sr.,"Fairfield, Ohio",Fairfield,Iowa,Michigan,,
82,85.0,Luke Lachey,TE,6-6,252 lbs.,Jr.,"Columbus, Ohio",Grandview,Iowa,,,
83,85.0,Logan Lee,DL,6-5,275 lbs.,Sr.,"Orion, Ill.",Orion,Iowa,,,
84,86.0,Jeff Bowie,DL,6-5,270 lbs.,So.,"West Branch, Iowa",West Branch,Iowa,,,
85,86.0,Steven Stilianos,TE,6-5,264 lbs.,Sr.,"Hayes, Va.",Christchurch School,Iowa,Lafayette,,
86,87.0,Andrew Kraus,DL,6-4,227 lbs.,RS Fr.,"Barrington, Ill.",Barrington,Iowa,,,
87,87.0,Addison Ostrenga,TE,6-4,234 lbs.,So.,"Sun Prairie, Wis.",Sun Prairie,Iowa,,,
88,88.0,Hayden Large,TE,6-5,240 lbs.,Sr.,"Hudsonville, Mich.",Unity Christian,Iowa,Dordt College,,
89,89.0,Nico Ragaini,WR,6-0,196 lbs.,Sr.,"East Haven, Conn.",Notre Dame,Iowa,Avon Old Farms Prep,,
90,90.0,Brian Allen,DE,6-4,263 lbs.,RS Fr.,"Lake in the Hills, Ill.",St. Thomas More HS (Conn.),Iowa,,,
91,93.0,Anu Dokun,DE,6-3,230 lbs.,Jr.,"Iowa City, Iowa",West,Iowa,,,
