,Statistic,Image,#,Name,Academic Year,Pos.,Ht.,Wt.,Hometown,High School,Previous School,Title
0,,,0.0,Phoenix Sproles,R-Sr.,WR,5-11,191.0,"New Hope, Minn.",Cooper,North Dakota State,
1,,,0.0,Isaac Ukwu,Gr.,DL,6-3,260.0,"Upper Marlboro, Md.",Wise,,
2,,,1.0,Reggie Brown,R-Sr.,WR,6-1,193.0,"Lakeland, Fla.",Kathleen,,
3,,,1.0,Que Reid,R-Sr.,S,6-0,199.0,"Concord, N.C.",Jay M. Robinson,,
4,,,2.0,Chauncey Logan,So.,CB,6-1,201.0,"Salem, Va.",Salem,,
5,,,2.0,Jordan McCloud,R-Sr.,QB,6-0,192.0,"Tampa, Fla.",Plant,Arizona,
6,,,3.0,Mikail Kamara,R-So.,DL,6-0,263.0,"Ashburn, Va.",Stone Bridge,,
7,,,3.0,Solomon Vanhorse,R-Sr.,RB,5-8,182.0,"Alpharetta, Ga.",Milton,,
8,,,5.0,Latrele Palmer,Sr.,RB,6-0,222.0,"Boyds, Md.",Good Counsel,,
9,,,5.0,Jailin Walker,Jr.,LB,6-1,217.0,"Richmond, Va.",Varina,,
10,,,6.0,Julio Ayamel,R-Jr.,LB,6-0,224.0,"Gaithersburg, Md.",Good Counsel,,
11,,,6.0,Kaelon Black,R-So.,RB,5-10,211.0,"Virginia Beach, Va.",Salem,,
12,,,7.0,Ty Son Lawton,R-Sr.,RB,5-9,205.0,"Staten Island, N.Y.",Curtis,Stony Brook,
13,,,7.0,Jarius Reimonenq,Sr.,S,5-10,194.0,"Hattiesburg, Miss.",Oak Grove,Arkansas State,
14,,,8.0,Abi Nwabuoku-Okonji,R-Sr.,DL,6-3,270.0,"Snellville, Ga.",South Gwinnett,Minnesota,
15,,,9.0,Omarion Dollison,Jr.,WR,5-9,182.0,"Columbia, S.C.",Gray Collegiate Academy,USF,
16,,,9.0,Jamree Kromah,R-Sr.,DL,6-4,272.0,"Glenarden, Md.",CH Flowers,Rutgers,
17,,,10.0,Jalen Green,Sr.,DL,6-1,244.0,"Baltimore, Md.",Good Counsel,,
18,,,10.0,Brett Griffis,R-Fr.,QB,6-0,197.0,"Ashburn, Va.",Broad Run,Wake Forest,
19,,,11.0,Billy Atkins,R-So.,QB,6-2,208.0,"Parkton, Md.",Mount St. Joseph,,
20,,,11.0,Aiden Fisher,So.,LB,6-1,226.0,"Fredericksburg, Va.",Riverbend,,
21,,,12.0,Jayden Mines,R-Fr.,WR,5-10,184.0,"Ashland, Va.",Patrick Henry,,
22,,,12.0,Josh Sarratt,Sr.,S,5-10,190.0,"Stafford, Va.",Colonial Forge,VMI,
23,,,13.0,John Ransom,R-Jr.,CB,5-10,186.0,"Chesapeake, Va.",Catholic,Virginia Tech,
24,,,13.0,Elijah Sarratt,So.,WR,6-2,209.0,"Stafford, Va.",St. Frances Academy,Saint Francis,
25,,,14.0,Alonza Barnett III,R-Fr.,QB,6-0,195.0,"Whitsett, N.C.",Grimsley,,
26,,,14.0,Nehki Meredith,R-So.,CB,5-9,181.0,"Virginia Beach, Va.",Catholic,NC State,
27,,,15.0,Kyi Wright,R-Jr.,TE,6-3,260.0,"Farrell, Pa.",Farrell,Pitt,
28,,,16.0,Desmond Green,R-So.,WR,5-10,183.0,"Virginia Beach, Va.",Salem,,
29,,,17.0,Amar Thomas,R-Fr.,DL,6-0,247.0,"Upper Marlboro, Md.",Wise,,
30,,,17.0,Taylor Thompson,Jr.,TE,6-3,232.0,"Prattville, Ala.",Prattville,Charlotte,
31,,,18.0,Blake Kendall,R-Fr.,QB,6-0,207.0,"Wellington, Fla.",DeMatha Catholic [MD],,
32,,,18.0,Skylar Martin,Jr.,LB,6-3,217.0,"Ashburn, Va.",Stone Bridge,,
33,,,20.0,Xavier Cokley,R-So.,CB,5-11,188.0,"Baltimore, Md.",Franklin,,
34,,,22.0,Marion Haley,R-So.,WR,6-2,191.0,"Linden, Va.",Skyline,,
35,,,23.0,Sammy Malignaggi,Jr.,RB,5-8,202.0,"Nashua, N.H.",Buckingham Browne & Nichols [MA],,
36,,,24.0,Trent Hendrick,So.,LB,6-0,230.0,"Richmond, Va.",St. Christopher's,,
37,,,25.0,Wayne Knight,So.,RB,5-7,189.0,"Smyrna, Del.",Smyrna,,
38,,,26.0,Devyn Coles,Sr.,CB,5-9,183.0,"Highland Springs, Va.",Highland Springs,Norfolk State,
39,,,27.0,Jacob Thomas,So.,S,6-0,205.0,"Ashburn, Va.",Stone Bridge,,
40,,,28.0,Kye Holmes,R-So.,S,5-10,193.0,"Bowie, Md.",Gonzaga College (D.C.),,
41,,,29.0,Brent Austin,So.,CB,5-11,173.0,"San Bernardino, Calif.",Cajon,,
42,,,30.0,Justin Eaglin,R-Fr.,CB,6-0,178.0,"Spring Lake, N.C.",Pine Forest,,
43,,,31.0,Antoine Booth,R-So.,CB,5-11,173.0,"Jessup, Md.",DeMatha Catholic,Michigan State,
44,,,32.0,DJ Barksdale,Fr.,S,5-9,172.0,"Rock Hill, S.C.",South Pointe,,
45,,,32.0,Kalin Jean,R-So.,RB,6-1,202.0,"Clifton, Va.",Centreville,,
46,,,34.0,Chris Chukwuneke,R-Sr.,S,5-11,186.0,"Edison, N.J.",St. John Vianney,The Peddie School,
47,,,35.0,Jahquil Batts,R-So.,S,6-0,199.0,"Montclair, N.J.",Don Bosco Prep,Jireh Prep,
48,,,37.0,Blake Barnes,R-So.,WR,6-4,195.0,"Virginia Beach, Va.",Kellam,,
49,,,37.0,Jamaree Seldon,R-Fr.,CB,5-8,174.0,"Williamsburg, Va.",St. Frances Academy [MD],,
50,,,38.0,Stephen Hollander,R-Fr.,S,5-9,184.0,"Phoenixville, Pa.",Malvern Prep,,
51,,,39.0,Payne Bauer,R-So.,DL,6-2,234.0,"Stephens City, Va.",Sherando,,
52,,,40.0,Peyton Rutherford,Jr.,RB,6-0,213.0,"Berryville, Va.",Clarke County,,
53,,,40.0,Camden Wise,R-Sr.,K,6-1,177.0,"Blacksburg, Va.",Blacksburg,,
54,,,42.0,Carter Banks,R-Fr.,DL,6-2,205.0,"Lynchburg, Va.",Heritage,,
55,,,42.0,Prophett Harris,R-Jr.,WR,5-9,173.0,"Kents Store, Va.",Fluvanna,,
56,,,43.0,Matthew Channell,R-Fr.,LB,6-1,222.0,"Chesterfield, Va.",Cosby,,
