,Number,Name,Position,Height,Weight,Class,Hometown,High School
0,1.0,Kenny Logan Jr.,Safety,"6'0""",205 lbs.,Senior,"St. Augustine, Fla.",Menendez HS
1,2.0,Lawrence Arnold,Wide Receiver,"6'3""",200 lbs.,Junior,"DeSoto, Texas",DeSoto HS
2,2.0,Cobee Bryant,Cornerback,"6'0""",175 lbs.,Junior,"Evergreen, Ala.",Hillcrest HS
3,3.0,Mello Dotson,Cornerback,"6'1""",185 lbs.,Junior,"Daytona Beach, Fla.",Mainland HS
4,3.0,Tanaka Scott,Wide Receiver,"6'4""",205 lbs.,RS-Sophomore,"Mobile, Ala.",Murphy HS
5,4.0,Devin Neal,Running Back,"5'11""",210 lbs.,Junior,"Lawrence, Kan.",Lawrence HS
6,4.0,Marvin Grant,Safety,"6'2""",205 lbs.,RS-Junior,"Detroit, Mich.",Martin Luther King/Purdue
7,5.0,Doug Emilien,Wide Receiver,"6'1""",190 lbs.,RS-Sophomore,"Fort Lauderdale, Fla.",American Heritage/Minnesota
8,5.0,O.J. Burroughs,Safety,"5'10""",185 lbs.,Junior,"Savannah, Ga.",IMG Academy
9,6.0,Taiwan Berryhill Jr.,Linebacker,"6'2""",230 lbs.,Junior,"New Orleans, La.",St. Augustine HS
10,6.0,Jalon Daniels,Quarterback,"6'0""",215 lbs.,Junior,"Lawndale, Calif.",Lawndale HS
11,7.0,Trevor Wilson,Wide Receiver,"5'11""",200 lbs.,RS-Junior,"Tallahassee, Fla.",Amos P. Godby HS
12,8.0,Kwinton Lassiter,Cornerback,"5'11""",190 lbs.,Senior,"Chandler, Ariz.",Free State HS (Kan.)
13,9.0,Jason Bean,Quarterback,"6'3""",195 lbs.,RS-Senior,"Mansfield, Texas",Lake Ridge HS
14,10.0,Jayson Gilliom,Linebacker,"6'2""",215 lbs.,RS-Sophomore,"Suwanee, Ga.",North Gwinnett HS
15,11.0,Luke Grimm,Wide Receiver,"6'0""",190 lbs.,Junior,"Raymore, Mo.",Raymore-Peculiar HS
16,12.0,Torry Locklin,Running Back,6'2'',205 lbs.,RS-Junior,"Rockdale, Texas",Rockdale HS
17,14.0,Jalen Dye,Safety,"6'0""",195 lbs.,RS-Sophomore,"San Diego, Calif.",Cathedral Catholic HS / Palomar College
18,14.0,Kai Kunz,Quarterback,"6'2""",205 lbs.,RS-Freshman,"Wichita, Kan.",Andover Central HS
19,15.0,Ethan Vasko,Quarterback,"6'4""",215 lbs.,RS-Freshman,"Chesapeake, Va.",Oscar F. Smith HS
20,15.0,Craig Young,Linebacker,"6'3""",225 lbs.,RS-Senior,"Fort Wayne, Ind.",Wayne HS / Ohio State
21,16.0,Ben Easters,Quarterback,"6'3""",215 lbs.,RS-Sophomore,"Brownsburg, Ind.",Brownsburg HS
22,17.0,Gage Keys,Defensive Line,"6'5""",280 lbs.,RS-Sophomore,"Hilliard, Ohio",Hilliard Davidson HS
23,17.0,Jaden Hamm,Tight End,"6'6""",245 lbs.,Freshman,"Eudora, Kan.",Eudora HS
24,18.0,Jack Jackson,Quarterback,"6'3""",190 lbs.,RS-Sophomore,"Dallas, Texas",Highland Park High School
25,18.0,Kalon Gervin,Cornerback,"5'11""",195 lbs.,RS-Senior,"Detroit, Mich.",Cass Technical HS / Michigan State
26,19.0,Tristian Fletcher,Linebacker,"6'0""",225 lbs.,RS-Sophomore,"Cypress, Texas",Cy Ridge HS / Trinity Valley CC
27,20.0,Daniel Hishaw Jr.,Running Back,"5'10""",220 lbs.,RS-Sophomore,"Moore, Okla.",Moore HS
28,20.0,Donovan Gaines,Linebacker,"5'10""",220 lbs.,RS-Sophomore,"Moore, Okla.",Southmoore HS
29,22.0,Brian Dilworth,Cornerback,"5'11""",180 lbs.,RS-Freshman,"Hollywood, Fla.",Chaminade-Madonna Prep
30,23.0,Mason Ellis,Safety,"6'2""",205 lbs.,RS-Freshman,"Mulvane, Kan.",Mulvane HS
31,24.0,Damarius McGhee,Cornerback,"6'0""",170 lbs.,RS-Sophomore,"Pensacola, Fla.",Pensacola Catholic HS/LSU
32,24.0,Reis Vernon,Punter,"6'2""",195 lbs.,Junior,"Bixby, Okla.",Bixby HS
33,25.0,Kaleb Purdy,Safety,"5'11""",185 lbs.,RS-Freshman,"St. Peters, Mo.",DeSmet Jesuit HS
34,25.0,Dylan McDuffie,Running Back,"6'0""",220 lbs.,RS-Senior,"Buffalo, N.Y.",Sweet Home HS/Georgia Tech
35,26.0,Krishawn Brown,Linebacker,"6'1""",220 lbs.,RS-Sophomore,"Tulsa, Okla.",Booker T. Washington HS
36,26.0,Jack Codwell,Running Back,"6'0""",230 lbs.,RS-Sophomore,"Pearland, Texas",IMG Academy
37,27.0,Kenrick Osei-Bonsu,Safety,"6'3""",190 lbs.,RS-Freshman,"Olathe, Kan.",Olathe North HS
38,28.0,JB Brown,Linebacker,"6'2""",230 lbs.,Junior,"Hughes, Ark.",Har-Ber HS
39,28.0,Sevion Morrison,Running Back,"6'0""",210 lbs.,Junior,"Tulsa, Okla.",Edison HS / Nebraska
40,29.0,Reece Thomas,Wide Receiver,"5'10""",178 lbs.,RS-Sophomore,"Lansing, Kan.",Lansing HS
41,29.0,Jaden Robinson,Cornerback,"6'0""",190 lbs.,RS-Sophomore,"Grand Prairie, Texas",South Grand Prairie HS
42,30.0,Rich Miller,Linebacker,"6'1""",230 lbs.,Senior,"Detroit, Mich.",Martin Luther King HS
43,31.0,Grant Glasgow,Kicker,"6'1""",195 lbs.,Freshman,"Lawrence, Kan.",Lawrence HS
44,31.0,Landon Nelson,Safety,"5'11""",190 lbs.,RS-Sophomore,"Maui, Hawaii",Valley HS
45,32.0,Dylan Downing,Linebacker,"6'1""",235 lbs.,RS-Junior,"Kansas City, Kan.",Bishop Miege HS
46,32.0,Tylan Alejos,Running Back,"5'9""",200 lbs.,RS-Freshman,"Topeka, Kan.",Topeka HS
47,33.0,D'Marion Alexander,Defensive End,"6'5""",260 lbs.,RS-Sophomore,"China Spring, Texas",China Spring HS
48,34.0,Owen Piepergerdes,Kicker,"6'6""",260 lbs.,RS-Sophomore,"Kansas City, Mo.",Rockhurst HS
49,34.0,Alex Raich,Linebacker,"6'3""",215 lbs.,Junior,"Chur, Switzerland",Quader Schulhaus
50,35.0,Billy Conaway,Wide Receiver,"6'2""",220 lbs.,RS-Junior,"Kansas City, Kan.",Shawnee Mission North/Butler CC
51,35.0,Tony Terry,Defensive End,"6'5""",250 lbs.,Freshman,"Jackson, Mo.",Jackson HS
52,36.0,DeAndre Thomas Jr.,Running Back,"5'8""",185 lbs.,RS-Sophomore,"Blue Springs, Mo.",Blue Springs HS
53,36.0,Patrick Joyner Jr.,Defensive End,"6'3""",250 lbs.,RS-Senior,"Miami, Fla.",South Dade HS/Utah State
54,37.0,Grayden Addison,Punter,"5'11""",220 lbs.,RS-Sophomore,"Noblesville, Ind.",Noblesville HS
55,37.0,Hayden Hatcher,Defensive End,6'3'',240 lbs.,RS-Senior,"Council Bluffs, Iowa",Lewis Central HS
56,38.0,Ty Farrington,Linebacker,"5'11""",215 lbs.,RS-Freshman,"Overland Park, Kan.",Blue Valley North HS
57,39.0,Cole Mondi,Linebacker,"5'10""",220 lbs.,RS-Sophomore,"Lawrence, Kan.",Lawrence HS
58,40.0,Devin Phillips,Defensive Line,"6'2""",325 lbs.,RS-Senior,"Monroe, La.",Neville HS
59,40.0,Tabor Allen,Kicker,"6'1""",190 lbs.,Junior,"Mansfield, Texas",Mansfield Lakeridge HS
60,41.0,Ben Coates,Linebacker,"5'11""",215 lbs.,RS-Junior,"Overland Park, Kan.",Blue Valley North HS
61,43.0,Max Dowling,Tight End,"6'6""",245 lbs.,RS-Freshman,"Buffalo, N.Y.",Canisius HS
62,43.0,Andrew Russell,Safety,"6'2""",200 lbs.,RS-Senior,"Victor, N.Y.",Victor HS / Michigan
63,44.0,Cornell Wheeler,Linebacker,"6'0""",225 lbs.,Junior,"West Bloomfield, Mich.",West Bloomfield
64,45.0,Trevor Kardell,Tight End,"6'5""",255 lbs.,Junior,"Lee's Summit, Mo.",Lee's Summit West HS
65,45.0,Dean Miller,Defensive End,"6'5""",220 lbs.,RS-Sophomore,"Los Angeles, Calif.",Cathedral HS / College of the Canyons
66,46.0,Davion Westmoreland,Defensive End,"6'3""",250 lbs.,RS-Sophomore,"Griffin, Ga.",Griffin HS / Hutchinson CC
67,46.0,Max Muehlberger,Tight End,"6'4""",225 lbs.,RS-Freshman,"Overland Park, Kan.",Blue Valley Northwest HS/Oklahoma State
68,47.0,Tyler Soukhot,Cornerback,"5'9""",170 lbs.,RS-Sophomore,"Lawrence, Kan.",Lawrence HS
