,Statistic,#,Full Name,Academic Year,Pos.,Ht.,Wt.,Hometown / High School,Previous School,Image,Name,Title
0,,92.0,Jevon Banks,Jr.,Nose Guard,6-2,295.0,"Olive Branch, Miss. / Olive Branch",Mississippi State Univ.,,,
1,,50.0,Cooper Beebe,Sr.,Offensive Line,6-4,332.0,"Kansas City, Kan. / Piper",,,,
2,,53.0,Drake Bequeaith,R-Fr.,Offensive Line,6-6,276.0,"Colleyville, Texas / Grapevine",,,,
3,,35.0,Dylan Bequeaith,R-Fr.,Fullback,6-1,230.0,"Colleyville, Texas / Grapevine",,,,
4,,51.0,Shadryon Blanka,R-Fr.,Linebacker,6-1,213.0,"St. Francis, Kan. / St. Francis Community",,,,
5,,43.0,Jack Blumer,Sr.,Punter,6-3,203.0,"Marysville, Kan. / Marysville",,,,
6,,80.0,Ty Bowman,Jr.,Wide Receiver,6-5,215.0,"Chanute, Kan. / Chanute",,,,
7,,8.0,Phillip Brooks,Sr.,Wide Receiver,5-8,170.0,"Lee's Summit, Mo. / Lee's Summit West",,,,
8,,1.0,Jayce Brown,Fr.,Wide Receiver,5-11,172.0,"Fort Walton Beach, Fla. / Choctawhatchee",,,,
9,,32.0,Evan Cantu,R-Fr.,Running Back,5-9,198.0,"Wichita, Kan. / Maize South",,,,
10,,63.0,Michael Capria,R-Fr.,Offensive Line,6-2,295.0,"Kansas City, Mo. / Liberty",,,,
11,,5.0,Justice Clemons,Jr.,Cornerback,5-10,199.0,"West Columbia, Texas / Sweeny",Tyler JC,,,
12,,31.0,Jake Clifton,So.,Linebacker,6-2,219.0,"Owasso, Okla. / Owasso",,,,
13,,4.0,Omar Daniels,So.,Cornerback,6-0,178.0,"Moultrie, Ga. / Colquitt County",,,,
14,,23.0,Andre Davis,Fr.,Wide Receiver,6-4,195.0,"Leawood, Kan. / Blue Valley",,,,
15,,14.0,Jet Dineen,R-Fr.,Safety,5-10,202.0,"Lawrence, Kan. / Free State",,,,
16,,73.0,Christian Duffie,Sr.,Offensive Line,6-5,310.0,"Humble, Texas / Summer Creek",,,,
17,,29.0,Khalid Duke,Sr.,Linebacker,6-4,246.0,"Atlanta, Ga. / Riverside Military Academy",,,,
18,,25.0,Collin Dunn,Fr.,Linebacker,6-1,180.0,"Tuscaloosa, Ala. / Hillcrest",,,,
19,,20.0,Trey Engram,Fr.,Running Back,5-6,174.0,"Verona, Wis. / Verona",,,,
20,,34.0,Trevor Erickson,So.,Safety,6-3,201.0,"Chapman, Kan. / Chapman",,,,
21,,18.0,Wesley Fair,Fr.,Safety,6-0,197.0,"Wichita, Kan. / Wichita Collegiate",,,,
22,,27.0,Gavin Forsha,Jr.,Linebacker,6-3,223.0,"Nashville, Tenn. / Mount Juliet Christian Academy",Tyler JC,,,
23,,26.0,Anthony Frias II,R-So.,Running Back,5-10,212.0,"Turlock, Calif. / Turlock",Modesto JC,,,
24,,46.0,Jace Friesen,Sr.,Defensive End,6-2,240.0,"Basehor, Kan. / Basehor-Linwood",,,,
25,,1.0,Keenan Garber,Sr.,Cornerback,6-0,181.0,"Lawrence, Kan. / Free State",,,,
26,,3.0,RJ Garcia II,So.,Wide Receiver,6-0,173.0,"Land O’ Lakes, Fla. / Berkeley Prep",,,,
27,,31.0,DJ Giddens,So.,Running Back,6-1,210.0,"Junction City, Kan. / Junction City",,,,
28,,55.0,Hayden Gillum,Sr.,Offensive Line,6-3,290.0,"Plainville, Kan. / Plainville",,,,
29,,22.0,Daniel Green,Sr.,Linebacker,6-3,245.0,"Portland, Ore. / Madison",,,,
30,,13.0,Joe Hall III,R-Fr.,Safety,6-0,210.0,"Manhattan, Kan. / Manhattan",,,,
31,,75.0,Sam Hecht,So.,Offensive Line,6-4,285.0,"Shawnee, Kan. / Mill Valley",,,,
32,,18.0,Will Howard,Sr.,Quarterback,6-5,242.0,"Downingtown, Pa. / Downingtown West",,,,
33,,27.0,Jake Huggins,Sr.,Fullback,6-4,225.0,"Cumming, Ga. / West Forsyth",,,,
34,,56.0,Damian Ilalio,So.,Nose Guard,6-1,291.0,"Manhattan, Kan. / Manhattan",,,,
35,,0.0,Jadon Jackson,Sr.,Wide Receiver,6-1,195.0,"Centeron, Ark. / Bentonville West",Univ. of Mississippi,,,
36,,5.0,Avery Johnson,Fr.,Quarterback,6-2,178.0,"Wichita, Kan. / Maize",,,,
37,,10.0,Keagan Johnson,So.,Wide Receiver,6-0,196.0,"Omaha, Neb. / Bellevue West",Univ. of Iowa,,,
38,,3.0,Darell Jones,So.,Cornerback,5-11,183.0,"Coffeyville, Kan. / Field Kindley",,,,
39,,12.0,Parker Kavanagh,R-Fr.,Quarterback,6-2,196.0,"Salina, Kan. / Salina Central",,,,
40,,74.0,Alex Key,R-Fr.,Offensive Line,6-3,295.0,"Derby, Kan. / Derby",,,,
41,,26.0,Terry Kirksey Jr.,Jr.,Linebacker,6-3,228.0,"Theodore, Ala. / Baker",Hutchinson CC,,,
42,,71.0,Jalen Klemm,R-Fr.,Offensive Line,6-5,273.0,"Mars, Pa. / Pine-Richland",,,,
43,,84.0,Isaac Koch,R-Fr.,Wide Receiver,6-1,193.0,"Olathe, Kan. / Rockhurst",,,,
