,Statistic,No.,Name,Pos.,Year,Ht.,Wt.,Hometown/Previous School,Current School Name,High School,Image,Title
0,,2.0,Xavier Williams,RB,Gr.,5-9,188.0,"Forestville, Md. /",Kent State,Bishop McNamara,,
1,,5.0,CJ West,DL,Sr.,6-2,315.0,"LaGrange Park, Ill. /",Kent State,Nazareth Academy,,
2,,6.0,Isaac Vance,WR,Gr.,5-9,182.0,"Las Cruces, N.M. /",Kent State,Mayfield,,
3,,10.0,Luke Floriea,WR,Sr.,5-10,173.0,"Mentor, Ohio /",Kent State,Mentor,,
4,,11.0,Eric Winfield,DL,R-Jr.,6-3,250.0,"Cheltenham, PA /",Kent State,Cheltenham (Delaware State),,
5,,12.0,Capone Blue,CB,Gr.,6-3,177.0,"San Diego, Calif. /",Kent State,Murrieta Mesa,,
6,,13.0,Jaren Lewis,QB,R-So.,6-1,205.0,"Columbia, MO /",Kent State,Battle (Kansas State),,
7,,14.0,Tommy Ulatowski,QB,So.,6-2,181.0,"Chicago, Ill. /",Kent State,St. Rita,,
8,,15.0,Matt Harmon,LB,Gr.,6-5,254.0,"Rockwood, Mich. /",Kent State,Oscar Carlson,,
9,,15.0,Devin Kargman,QB,So.,6-3,217.0,"Camden, N.J. /",Kent State,Woodrow Wilson,,
10,,17.0,Griffin Brewster,QB,Sr.,6-2,202.0,"Rome, Ga. /",Kent State,Darlington School,,
11,,17.0,Mattheus Carroll,DL,Jr.,6-5,244.0,"Baltimore, Md. /",Kent State,Gilman (Virginia Tech),,
12,,18.0,Chandler Galban,QB,Jr.,6-2,205.0,"Frisco, Texas /",Kent State,Lone Star (Fullerton College),,
13,,18.0,Terrell Miller,DB,Sr.,6-0,167.0,"Fairburn, Ga. /",Kent State,Creekside,,
14,,19.0,Josh Baka,DB,So.,6-1,195.0,"Ottawa, Ontario /",Kent State,Saint Thomas More (CT),,
15,,19.0,Ali Fisher,WR,R-So.,6-1,185.0,"Belleville, Mich. /",Kent State,Pioneer (Buffalo),,
16,,20.0,Dallas Craddieth,DB,Gr.,5-11,207.0,"St. Louis, Mo. /",Kent State,Hazelwood Central,,
17,,21.0,Gavin Garcia,RB,So.,5-8,187.0,"Catawissa, Pa. /",Kent State,Southern Columbia,,
18,,21.0,Lem Watley-Neely,DB,R-Jr.,6-0,180.0,"Harper Woods, MI /",Kent State,Harper Woods (Indiana),,
19,,22.0,Chrishon McCray,WR,So.,5-10,163.0,"Avon, Ind. /",Kent State,Avon,,
20,,23.0,Naim Muhammad,DB,Gr.,5-11,201.0,"Washington, D.C. /",Kent State,DeMatha (West Virginia),,
21,,24.0,Nicholas Giacolone,LB,Gr.,6-3,225.0,"Venice, FL /",Kent State,Venice (New Mexico State),,
22,,25.0,Daeveon Buie,DB,Jr.,5-9,170.0,"Fayetteville, GA /",Kent State,Whitewater,,
23,,25.0,Treymon Echols,WR,Jr.,6-1,200.0,"Shawnee Mission, Kan. /",Kent State,Shawnee Mission East (Hutchinson CC),,
24,,26.0,J.B. Awolowo,WR,Sr.,5-9,199.0,"Charlotte, N.C. /",Kent State,Charlotte Christian School,,
25,,26.0,CJ Young,DB,Fr.,5-11,200.0,"Strongsville, Ohio /",Kent State,Strongsville,,
26,,27.0,Bryce Sheppert,S,Gr.,5-11,186.0,"Stow, Ohio /",Kent State,Stow-Munroe Falls (Notre Dame College),,
27,,28.0,Alex Branch,CB,Jr.,6-0,188.0,"Twinsburg, Ohio /",Kent State,Twinsburg,,
28,,30.0,Ky Thomas,RB,R-Jr.,5-11,200.0,"Topeka, KS /",Kent State,Topeka (Kansas),,
29,,31.0,Bryan Bradford,RB,R-Sr.,6-0,251.0,"St. Louis, Mo. /",Kent State,Christian Brothers College High School,,
30,,31.0,Jamir Gardner,DB,So.,5-9,184.0,"Detroit, Mich. /",Kent State,Cass Technical,,
31,,32.0,Khalib Johns,LB,Gr.,6-2,229.0,"Lancaster, Calif. / College of the Canyons",Kent State,Antelope Valley,,
32,,33.0,Devin Nicholson,LB,Gr.,6-2,220.0,"Detroit, Mich. /",Kent State,Cass Tech (Missouri),,
33,,35.0,"D.J. Miller, Jr",DB,Gr.,5-11,187.0,"O'Fallon, Mo. /",Kent State,John Burroughs (Iowa State),,
34,,35.0,Mike Ryan,WR/LS,So.,6-3,202.0,"New Rochelle, N.Y. /",Kent State,Iona Prep,,
35,,36.0,Jahmad Harmon,DB,So.,6-0,165.0,"Indianapolis, Ind. /",Kent State,Lawrence Central,,
36,,37.0,CJ Harris,LB,R-Sr.,6-0,225.0,"Macon, Ga. /",Kent State,Warner Robins (Arkansas State),,
37,,38.0,Lavonte Gater,DB,Gr.,5-10,163.0,"Palmer Park, Md. /",Kent State,Ballou (Maryland),,
38,,39.0,Tyler Bivens,DB,So.,6-0,167.0,"Ann Arbor, Mich. /",Kent State,Huron,,
39,,41.0,Luke Murphy,LB,R-Jr.,6-1,215.0,"Massillon, Ohio /",Kent State,Massillon Washington,,
