,Statistic,#,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Current School Name,Previous School,Twitter,Instagram,Image,Title
0,,0.0,Myles Heard,DB,5-10,195.0,R-Sr.,"Sugar Land, Texas / Fort Bend Dulles HS",Louisiana Tech,Stephen F. Austin,,,,
1,,0.0,Tahj Magee,WR,5-11,190.0,R-Sr.,"Franklinton, La. / Franklinton HS",Louisiana Tech,,TM7vital,t_magee_,,
2,,1.0,Cyrus Allen,WR,6-0,177.0,So.,"New Orleans, La. / Landry-Walker HS",Louisiana Tech,,CYRUSALLEN_,nolaa4_,,
3,,1.0,Willie Roberts,DB,5-11,190.0,Sr.,"Fort Worth, Texas / Martin HS",Louisiana Tech,Stephen F. Austin,,,,
4,,2.0,Solo Lewis,WR,5-10,172.0,R-So.,"Lake Charles, La. / Lake Charles College Prep",Louisiana Tech,,solomonn_lewis,hotboiisolo,,
5,,2.0,Cecil Singleton Jr.,DB,6-2,207.0,R-Sr.,"Cincinnati, Ohio / Princeton HS",Louisiana Tech,Miami (OH),,,,
6,,3.0,Jeslord Boateng,LB,6-1,235.0,R-Sr.,"Dublin, Ohio / Dublin Coffman High School",Louisiana Tech,Akron / Michigan State,,,,
7,,3.0,Marquis Crosby,RB,5-10,201.0,R-So.,"Hattiesburg, Miss. / Presbyterian Christian School",Louisiana Tech,,MarquisCrosby2,yvngmarquis,,
8,,4.0,Jhamal Shelby Jr.,DB,6-2,190.0,So.,"New Orleans, La. / St. Augustine HS",Louisiana Tech,,Jhamalshelbyjr,,,
9,,4.0,Tyre Shelton,RB,5-11,182.0,R-Jr.,"Douglasville, Ga. / Chapel Hill HS",Louisiana Tech,Miami (Ohio),,,,
10,,5.0,Deshon Hall Jr.,DL,6-3,246.0,Sr.,"Gonzales, La. / East Ascension HS",Louisiana Tech,,HallDeshon,gods.son_93,,
11,,6.0,Smoke Harris,WR,5-7,188.0,R-Sr.,"St. Francisville, La. / West Feliciana HS",Louisiana Tech,,5mokeyyy,smokeyyy06,,
12,,6.0,Brevin Randle,LB,5-11,227.0,Fr.,"Marshall, Texas / Marshall HS",Louisiana Tech,Stephen F. Austin,,,,
13,,7.0,Matthew Downing,QB,6-0,209.0,R-Sr.,"Alpharetta, Ga. / Alpharetta HS",Louisiana Tech,TCU,,,,
14,,7.0,Jakelyn Morgan,DB,6-2,185.0,R-So.,"Tyler, Texas / Tyler Legacy HS",Louisiana Tech,Arizona,,,,
15,,8.0,Devonta Lee,WR,6-2,215.0,Sr.,"Fluker, La. / Amite HS",Louisiana Tech,LSU,,,,
16,,8.0,Keivie Rose,DL,6-3,303.0,R-Jr.,"Henderson, Texas / Henderson HS",Louisiana Tech,,kiinggk,kiingg.k_,,
17,,9.0,Hugh Davis,LB,6-0,225.0,R-Sr.,"Indianapolis, Ind. / Cathedral HS",Louisiana Tech,Boston College,,,,
