,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Hometown,Previous School,Image,Name,Title
0,,0.0,Fred Lloyd Jr.,WR,6-3,215.0,Gr.,"Tifton, Ga.",South Florida,,,
1,,0.0,Lu Tillery,CB,5-11,171.0,So.,"New Orleans, La.",St. Augustine,,,
2,,1.0,Andrew Henry,RB,5-10,198.0,Jr.,"Dallas, Texas",Trinity Valley CC,,,
3,,1.0,Deuce Mayberry,CB,6-1,170.0,So.,"Tulsa, Okla.",Kansas,,,
4,,2.0,Tristan Driggers,LB,6-2,204.0,So.,"Hallsville, Texas",Kilgore College,,,
5,,2.0,Malik Jackson,RB,5-10,176.0,Jr.,"Opelika, Ala.",Lufkin,,,
6,,3.0,Tre Odom,S,6-0,191.0,So.,"Lufkin, Texas",Lufkin,,,
7,,3.0,Isaiah Phillips,RB,5-7,190.0,Jr.,"Lufkin, Texas",Lufkin,,,
8,,4.0,Tyrone Howell,WR,6-2,202.0,5th,"Idabel, Okla.",Kansas State,,,
9,,4.0,Wembley Mailei,LB,6-1,212.0,So.,"Honolulu, Hawaii",Garden City CC,,,
10,,5.0,Jevin Frett,WR,6-1,205.0,5th,"Manchester, Conn.",Monroe College,,,
11,,5.0,Quincy Ledet Jr.,DT,6-2,294.0,So.,"Orange, Texas",West Orange-Stark,,,
12,,6.0,Chandler Rogers,QB,6-0,194.0,So.,"Mansfield, Texas",Blinn College,,,
13,,6.0,Tavier Williams,S,6-3,187.0,So.,"Many, La.",Many,,,
14,,7.0,Car'lin Vigers,CB,6-2,197.0,Jr.,"Eunice, La.",Independence CC,,,
15,,8.0,Jackson Bailey,LB,6-2,232.0,Fr.,"DeSoto, Texas",Arizona,,,
16,,8.0,Dariyan Wiley,WR,6-1,193.0,So.,"Atlanta, Ga.",UMass,,,
17,,9.0,Alred Luke,WR,5-8,175.0,R-Fr.,"New Orleans, La.",Warren Easton,,,
18,,9.0,Zack Woodard,LB,6-1,230.0,Gr.,"Thomasville, Ala.",Jacksonville State,,,
19,,10.0,Quae Drake,LB,6-1,237.0,Jr.,"Wadley, Ala.",Kennesaw State,,,
20,,10.0,Zach Shaw,QB,6-2,230.0,R-Fr.,"Monroe, La.",Ouachita Parish,,,
21,,12.0,Garrett Kahmann,TE,6-2,228.0,So.,"West Monroe, La.",West Monroe,,,
22,,12.0,Kenard Snyder,DE,6-0,248.0,R-Fr.,"Vero Beach, Fla.",Rockledge,,,
23,,13.0,David Godsey Jr.,CB,5-10,167.0,R-Fr.,"Mansfield, Texas",Mansfield,,,
24,,13.0,Garrett Hable,QB,5-8,196.0,Jr.,"Benton, La.",Louisiana Tech,,,
25,,14.0,Ky Halton,CB,6-0,177.0,So.,"Frisco, Texas",Fort Scott CC,,,
26,,14.0,Jalen Jackson,WR,6-2,202.0,Jr.,"Powder Springs, Ga.",Kennesaw State,,,
27,,15.0,Brian Garcia,QB,5-9,175.0,So.,"Nolensville, Tenn.",South Alabama,,,
28,,15.0,Simion Hines,S,5-11,187.0,Fr.,"Broward County, Fla.",Western,,,
29,,16.0,Bugs Mortimer,WR,5-9,165.0,Fr.,"Fort Lauderdale, Fla.",Dillard,,,
30,,17.0,Boogie Knight,WR,5-10,190.0,Gr.,"Jefferson, Ohio",Akron,,,
31,,17.0,Armod Mills,CB,5-11,174.0,Fr.,"Monroe, La.",Sterlington,,,
32,,18.0,Caymen Mills,CB,6-0,178.0,R-Fr.,"Green Run, Va.",Green Run,,,
33,,18.0,Jiya Wright,QB,6-1,202.0,Jr.,"Fort Wayne, Ind.",Fort Scott CC,,,
34,,19.0,Isiah Rodgers,S,5-9,171.0,So.,"Longview, Texas",Eastern New Mexico,,,
35,,20.0,Jordyn Riley,DB,5-10,184.0,Gr.,"Citra, Fla.",Akron,,,
36,,21.0,Jabari Johnson,DB,6-1,189.0,Jr.,"Monroe, La.",Ouachita Parish,,,
37,,21.0,Hunter Smith,RB,6-0,179.0,R-Fr.,"Little Rock, Ark.",Joe T. Robinson,,,
38,,22.0,Isaiah Humphries,S,5-11,192.0,Gr.,"Rowlett, Texas",California,,,
39,,22.0,Zack Martin,RB,5-10,197.0,So.,"Woodville, Texas",Woodville,,,
40,,23.0,Austin Cartwright,DB,6-3,176.0,Fr.,"Baltimore, Md.",Fork Union Military Academy,,,
41,,24.0,Marcus Rule Jr.,CB,5-11,168.0,So.,"Tunica, Miss.",Northeast Mississippi CC,,,
42,,26.0,DJ Felton,CB,5-11,166.0,So.,"Virginia Beach, Va.",Kentucky State,,,
43,,26.0,Bennett Galloway,RB,5-10,196.0,Fr.,"Chapin, S.C.",Chapin,,,
44,,27.0,D'Juan Grant,CB,5-8,160.0,R-Fr.,"New Caney, Texas",New Caney,,,
45,,27.0,Charlie Norman,RB,5-8,201.0,So.,"West Monroe, La.",West Monroe,,,
46,,28.0,Kevin Jones,DB,6-2,201.0,Jr.,"Tallulah, La.",Madison,,,
47,,29.0,Gabe Hughes,LB,6-0,200.0,R-Fr.,"Bogalusa, La.",Mandeville,,,
48,,30.0,Keydrain Calligan,S,6-0,195.0,So.,"New Iberia, La.",Westgate,,,
49,,31.0,Calum Sutherland,K,5-10,180.0,6th,"Keller, Texas",Oklahoma,,,
50,,32.0,Nick Torres,LB,5-11,203.0,Jr.,"Port Charlotte, Fla.",Ave Maria,,,
51,,33.0,Fitzroy Gardner,LB,6-2,220.0,Jr.,"Tampa, Fla.",Iowa Western CC,,,
52,,33.0,Derek McCormick,K,6-3,212.0,So.,"Port Charlotte, Fla.",Ave Maria,,,
53,,34.0,Devyn McCormick,P,6-1,203.0,5th,"Port Charlotte, Fla.",Ave Maria,,,
54,,35.0,Carl Glass Jr.,LB,5-11,217.0,So.,"Monroe, La.",Harding University,,,
55,,36.0,William Berry,WR,5-9,177.0,R-Fr.,"Shreveport, La.",C.E. Byrd,,,
56,,36.0,Jalen Vinson,DB,6-1,203.0,R-Fr.,"Red Bay, Ala.",Red Bay,,,
57,,37.0,Tavion Grant,CB,5-11,180.0,Jr.,"Killeen, Texas",Morehead State,,,
58,,38.0,Markeegan Gray,LB,5-8,199.0,R-Fr.,"Slidell, La.",Slidell,,,
59,,41.0,Andrew Wells,SN,5-7,175.0,So.,"Canyon Lake, Calif.",Temescal Canyon,,,
60,,44.0,Michael Batton,LB,6-2,200.0,So.,"Houston, Texas",Nassau CC,,,
61,,45.0,James Perkins,DE,6-2,240.0,Jr.,"Monroe, La.",Neville,,,
62,,47.0,Bryson Jordan,DL,6-2,238.0,Fr.,"Orange, Texas",West Orange Stark,,,
63,,48.0,Abraham Alce,DE,6-0,260.0,Jr.,"Immokalee, Fla.",Dodge City CC,,,
64,,49.0,Jacob Green,K,5-11,182.0,Fr.,"Monroe, La.",Sterlington,,,
65,,50.0,Jake Worsley,SN,5-11,205.0,Fr.,"Rayville, La.",Riverfield Academy,,,
66,,52.0,Braxton Guilbeau,K,5-11,190.0,R-Fr.,"Lafayette, La.",Southside,,,
67,,52.0,Tralon Thomas,LB,6-0,234.0,Gr.,"Ville Platte, La.",Ville Platte,,,
68,,53.0,Sam Plants,DT,6-0,259.0,So.,"Springhill, La.",North Webster,,,
69,,54.0,Brett Drillette,LB,6-1,221.0,R-Fr.,"Weatherford, Texas",Brock,,,
70,,55.0,Zarian McGill,C,6-1,315.0,So.,"Taylorsville, Miss.",Jones College,,,
71,,56.0,Lanny Scharpon Jr.,DL,6-0,263.0,Fr.,"New Orleans, La.",Riverdale,,,
72,,57.0,Keegon Addison,LB,5-10,246.0,Fr.,"Dallas, Texas",Parish Episcopal School,,,
73,,58.0,Elijah Fisher,OL,6-4,282.0,R-Fr.,"Allen, Texas",Allen,,,
74,,59.0,Victor Cutler,OT,6-3,302.0,So.,"West Monroe, La.",West Monroe,,,
