,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Major,Hometown / High School,Previous School,Twitter,Instagram,Opendorse,Image,Name,Title
0,,0.0,Greg China-Rose,DL,6-2,295.0,R-Sr.,Family Science,"Los Angeles, CA / DeMatha Catholic",Lackawanna College,Gregrose24,globalgreg46,gregory-rose,,,
1,,1.0,Jaishawn Barham,LB,6-3,230.0,Fr.,,"District Heights, MD / St. Frances Academy",,JaishawnBarham,jaishawnbarham,jaishawn-barham,,,
2,,1.0,Rakim Jarrett,WR,6-0,190.0,Jr.,Criminology & Criminal Justice,"Palmer Park, MD / St. John’s College",,RakimJarrett,Rakimjarrett,rakim-jarrett,,,
3,,2.0,Jakorian Bennett,DB,5-11,195.0,Sr.,Family Science,"Mobile, AL / McGill-Toolen HS",Hutchinson CC,Jakorian23,jakorian__,jakorian-bennett,,,
4,,2.0,Jacob Copeland,WR,6-0,202.0,Jr.,Sociology,"Pensacola, FL / Escambia",Florida,JCope1era,spg_jabo,jacob-copeland,,,
5,,3.0,Deonte Banks,DB,6-2,205.0,R-Jr.,Family Science,"Baltimore, MD / Edgewood",,IamDeonteBanks_,Taebanks3_,deonte-banks,,,
6,,3.0,Taulia Tagovailoa,QB,5-11,200.0,R-Jr.,Family Science,"Ewa Beach, HI / Thompson",Alabama,Tauliaa12,Taulia5,taulia-tagovailoa,,,
7,,4.0,Shaleak Knotts,WR,6-2,175.0,Fr.,Undecided (Letters and Science),"Monroe, NC / Monroe",,,,shaleak-knotts,,,
8,,4.0,Tarheeb Still,DB,6-0,185.0,Jr.,Criminal Justice,"Sicklerville, NJ / Timber Creek Regional",,Tarheebstill,tarheeb_,tarheeb-still,,,
9,,5.0,Quashon Fuller,DL,6-3,270.0,R-So.,Sociology,"Fort Myers, FL / Lehigh Senior",Florida State,,,quashon-fuller,,,
10,,6.0,Corey Coley Jr.,DB,6-2,180.0,So.,Undecided (Letters and Sciences),"Jacksonville, FL / Trinity Christian Academy",,CoreyColeyJr,C.Slime_,corey-coley-jr,,,
11,,6.0,Jeshaun Jones,WR,6-2,185.0,R-Sr.,M.Prof.Studies: Technology Entrepreneurship,"Fort Myers, FL / South Fort Myers",,JeshaunJones06,Jeshaun_j,jeshaun-jones,,,
12,,7.0,Dontay Demus Jr.,WR,6-4,215.0,Sr.,Family Science,"Washington, DC / Friendship Collegiate",,_Godof5,_Godof5,dontay-demus,,,
13,,7.0,Jayon Venerable,DB,5-11,205.0,So.,Undecided (Letters & Sciences),"Annapolis, MD / Archbishop Spalding",,Jayzvenerable,thechosenwon7,jayon-venerable,,,
14,,8.0,Ramon Brown,RB,6-0,212.0,Fr.,,"Richmond, VA / Manchester",,,,2krkbdknq,,,
15,,8.0,Vandarius Cowan,LB,6-4,253.0,Sr.,African/American Studies,"Palm Beach Gardens, FL / Palm Beach Gardens",West Virginia,vandarius98,vandariuscowan,vandarius-cowan,,,
16,,9.0,Billy Edwards Jr.,QB,6-3,207.0,R-Fr.,Undecided (Letters and Science),"Springfield, VA / Lake Braddock",Wake Forest,Billy_Edwards4,billy_edwards4/,billy-edwards-jr,,,
17,,9.0,Fa'Najae Gotay,LB,6-0,220.0,R-Sr.,Criminology & Criminal Justice,"Fort Myers, FL / North Fort Myers",,Fa_gotay,Gotay239,fanajae-gotay,,,
18,,10.0,Tyler Baylor,DL,6-4,265.0,R-Sr.,Communications,"Silver Spring, MD / Good Counsel",,KinggBaylor,tybaylor,tyler-baylor,,,
19,,10.0,Tai Felton,WR,6-1,185.0,So.,Undecided (Letters & Sciences),"Ashburn, VA / Stone Bridge",,Playboytaishar,Playboytaishar,taishar-felton,,,
20,,11.0,Ruben Hyppolite II,LB,6-0,230.0,Jr.,Communications,"Fort Lauderdale, Fla. / McArthur",,Rubenknows1,Rubenknows,ruben-hyppoliteii,,,
21,,12.0,Ryan Duell,QB,6-3,220.0,R-Fr.,Economics and Finance,"West Chester, PA / West Chester East",,,ryduell,ryan-duell,,,
22,,12.0,Cameron Edge,QB,6-2,210.0,Fr.,Undecided (Letters and Science),"Clayton, DE / Smyrna",,cameron_edge2,cameron_edge12,profile/cameron-edge?from=maryland-terrapins,,,
23,,12.0,Dante Trader Jr.,DB,6-0,190.0,So.,Letters and Sciences,"Delmar, DE / McDonogh",,DizzyDante,Dante.trader,dante-trader-jr,,,
24,,13.0,Glendon Miller,DB,6-3,195.0,R-So.,Undecided (Letters & Sciences),"Orange Park, FL / Ridgeview",,GlenMiller_,8Way_g,glendon-miller,,,
25,,13.0,Jayden Sauray,QB,6-0,205.0,Fr.,Undecided (Letters and Science),"Lanham, MD / Wise",,,,jayden-sauray-profile,,,
26,,14.0,David Foust,QB,6-3,210.0,R-So.,Marketing and Supply Chain Management,"Edgewater, MD / South River",,DFoust13,_Dfoust13,david-foust,,,
27,,14.0,Isaiah Hazel,DB,6-1,205.0,Sr.,Family Science,"Largo, MD / Wise",,Thats_zay,zayhazel_,isaiah-hazel,,,
28,,15.0,Octavian Smith Jr.,WR,6-1,170.0,Fr.,,"Burtonsville, MD / Paint Branch",,,,octavian-smith-jr,,,
29,,15.0,Riyad Wilmot,DL,6-3,255.0,R-So.,Criminology & Criminal Justice,"Ft. Lauderdale, FL / St. Thomas Aquinas",,Riyad_wilmot,Riyad.wilmot,riyad-wilmot,,,
30,,16.0,Leon Haughton Jr.,WR,6-4,210.0,Fr.,Undecided (Letters and Science),"Richmond, VA / Benedictine College Prep",,,,leon-haughton,,,
31,,17.0,Lionell Whitaker,DB,5-11,175.0,Fr.,,"Miami, FL / Rickards",,LionellWhitaker,,lionell-whitaker,,,
32,,18.0,CJ Dippre,TE,6-5,260.0,So.,Undecided (Letters & Sciences),"Scranton, PA / Lakeland",,CjDippre,cjdippre,cj-dippre-profile,,,
33,,18.0,John Griffith,QB,6-0,210.0,Fr.,Undecided (Letters and Science),"Linthicum, MD / St. Frances Academy",,Johngriffith22,official.johngriffith,john-griffith-profile,,,
34,,19.0,Ahmad McCullough,LB,6-2,225.0,R-Sr.,M.Prof.Studies: Technology Entrepreneurship,"Baltimore, MD / Mount Saint Joseph",,_Amaud19,amac19_,ahmad-mccullough,,,
35,,19.0,Weston Wolff,TE,6-4,230.0,R-Fr.,Finance,"Venice, FL / Venice",,WesWolff,Westonwolff,weston-wolff-profile,,,
36,,20.0,Perry Fisher,DB,6-3,186.0,Fr.,,"Tallahassee, FL / Lincoln",,,,perry-fisher,,,
37,,21.0,Gereme Spraggins,LB,6-3,250.0,Sr.,Family Science,"Baltimore, MD / Arundel",Hutchinson CC,Fox45worm,espn.worm,worm-spraggins,,,
38,,22.0,Raymon Brown Jr.,LB,6-0,210.0,Fr.,,"Richmond, VA / Manchester",,,,raymon-brown,,,
39,,22.0,Eric Najarian,QB,6-4,210.0,R-Jr.,Marketing,"Crofton, MD / DeMatha Catholic",,NajarianEric,Eric_najarian,eric-najarian,,,
40,,23.0,Colby McDonald,RB,5-11,210.0,So.,Undecided (Letters and Sciences),"Accokeek, MD / St. John’s College",,1Kcmc,Colby3k,colby-mcdonald,,,
41,,24.0,Chantz Harley,DB,6-1,195.0,So.,Kinesiology,"Upper Marlboro, MD / Landon School",Villanova,,,chantz-harley,,,
42,,24.0,Roman Hemby,RB,6-0,200.0,R-Fr.,Communications,"Edgewood, MD / John Carroll",,R_h3mby,R_h3mby,roman-hemby,,,
43,,25.0,Beau Brade,DB,6-1,200.0,Jr.,Management,"Clarksville, MD / River Hill",,Bebrade02,beaubrade,beau-brade,,,
44,,26.0,David DeGuzman,WR,6-1,220.0,Fr.,,"Patuxent, MD / Patuxent",,,,,,,
45,,26.0,Gavin Gibson,DB,5-11,175.0,Fr.,Criminal Justice,"Hickory, NC / William Amos Hough",,Gibson5Gavin,g5_gibson,gavin-gibson,,,
46,,27.0,Caleb Atogho,DB,6-0,170.0,Fr.,,"Baltimore, MD / Franklin",,,calebatogho,caleb-atogho,,,
47,,27.0,Eli Mason,RB,6-1,210.0,Fr.,Undecided (Letters and Science),"Ashburn, VA / Stone Bridge",,elimason26,elimason26,eli-mason,,,
48,,29.0,Challen Faamatau,RB,5-11,225.0,Sr.,Sociology,"Kalihi, HI / Farrington",Coffeyville Community College,CFaamatau,Challenfaamatau,challen-faamatau,,,
49,,29.0,Ian Maloney,LB,6-2,210.0,R-Fr.,Undecided (Letters and Science),"Belle Vernon, PA / Belle Vernon Area",Louisville,Ian_Maloney13,ianwmaloney,ian-maloney,,,
50,,30.0,Justin Hunter,WR,6-3,180.0,Fr.,,"Baltimore, MD / Concordia Prep",,,,,,,
51,,30.0,Durell Nchami,LB,6-4,260.0,R-Sr.,Family Science,"Silver Spring, MD / Paint Branch",,Superdurell,Superdurell,durell-nchami,,,
52,,31.0,Andrew Booker,LB,6-3,238.0,Fr.,,"Cincinnati, OH / Winton Woods",,andrew_rashad,,bam-booker,,,
53,,31.0,Antwain Littleton II,RB,6-0,235.0,R-Fr.,Undecided (Letters & Sciences),"Greenbelt, MD / St. John’s College",,7Golivee,7Golivee,antwain-littleton,,,
54,,32.0,Shane Mosley,DB,5-11,205.0,R-So.,Economics,"Havertown, PA / Haverford",,_Shanemosley3,_Shanemosley3,shane-mosley-profile,,,
55,,33.0,Mosiah Nasili-Kite,DL,6-2,310.0,R-Sr.,Family Science,"Pittsburg, CA / Emerald Ridge",Independence CC,mosiahkite,mosiahkite,mosiah-nasili-kite,,,
56,,34.0,Lavain Scruggs,DB,6-2,190.0,Fr.,Architecture,"Baltimore, MD / Archbishop Spalding",,,,lavain-scruggs,,,
57,,35.0,Joseph Bearns III,FB,6-1,280.0,R-Fr.,Kinesiology,"Huntingtown, MD / St. Frances Academy",,JoeBearns,Jbearns3,joseph-bearns-iii,,,
58,,35.0,Kobi Thomas,LB,6-1,235.0,Sr.,Criminology and Criminal Justice,"Largo, MD / DeMatha Catholic",,KobiThomas,,kobi-thomas,,,
59,,36.0,Owura Berko,DB,6-0,195.0,R-Jr.,Biology,"Crofton, MD / The Severn School",,Berko_owura,__Owura__,owura-serebourowura-berko,,,
60,,36.0,Aeneas Smith,RB,5-9,220.0,Fr.,Undecided (Letters and Science),"Columbia, MD / Archbishop Spalding",,,,aeneas-smith,,,
61,,37.0,Jordan Cannon,LB,5-11,210.0,Fr.,Management,"Southfield, MI / St. Mary's",,,,jordan-cannon,,,
62,,38.0,Chad Ryland,K,6-0,183.0,Sr.,,"Lebanon, PA / Cedar Crest",Eastern Michigan,C_Ryland38,c.ryland38,chad-ryland,,,
63,,39.0,Daniel Owens,DL,6-2,245.0,Fr.,Letters and Science,"Pikesville, MD / Calvert Hall",,DO__x11,d_owens27,daniel-owens,,,
64,,40.0,Taizse Johnson,DL,6-1,310.0,So.,Undecided (Letters and Science),"District Heights, MD / St. John’s College",,TaizseJohnson,aliasta_,taizse-johnson,,,
