,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl./Exp.,Hometown / High School,Current School Name,Previous School,Twitter,Image,Name,Title
0,,0.0,Demeer Blankumsee,WR,5-10,185.0,R-Jr.,"Cincinnati, Ohio / Winton Woods HS",Memphis,Toledo,heymeerlo,,,
1,,0.0,Zy Brockington,DL,6-1,290.0,Jr.,"Moultrie, Ga. / Colquitt County HS",Memphis,,BrockingtonZy,,,
2,,1.0,Tauskie Dove,WR,6-2,197.0,5th,"Denton, Texas / Ryan HS",Memphis,Missouri,Tauskie88,,,
3,,1.0,Davion Ross,DB,5-10,175.0,Sr.,"Warner Robins, Ga. / Perry HS",Memphis,Eastern Kentucky,yoboydavion,,,
4,,2.0,Julian Barnett,DB,6-2,190.0,R-Sr.,"Detroit, Mich. / Belleville HS",Memphis,Michigan State,_OfficialJB1,,,
5,,2.0,Seth Henigan,QB,6-3,210.0,Jr.,"Denton, Texas / Denton Ryan HS",Memphis,,seth_henigan,,,
6,,3.0,Cincir Evans,LB,6-4,240.0,5th,"Memphis, Tenn. / White Station HS",Memphis,Coastal Carolina,CEO_CIN,,,
7,,3.0,Roc Taylor,WR,6-3,215.0,Jr.,"Oxford, Ala. / Oxford HS",Memphis,,Roc2shot,,,
8,,4.0,Josh Ellison,DL,6-3,300.0,5th,"College Statation, Texas / A&M Consolidated HS",Memphis,Blinn College / Oklahoma,ellisonjoshua5,,,
9,,4.0,Blake Watson,RB,5-9,195.0,R-Sr.,"Queens, N.Y. / Green Hope (NC) HS",Memphis,Old Dominion,BlakeWatson_2,,,
10,,5.0,Simeon Blair,DB,5-10,208.0,5th,"Pine Bluff, Ark. / Pine Bluff HS",Memphis,Arkansas,Sim_Dog2,,,
11,,5.0,Sutton Smith,RB,5-9,185.0,So.,"Powder Springs, Ga. / George Walton HS",Memphis,,sutton5_,,,
12,,6.0,Derick Hunter Jr.,DL,6-5,265.0,R-Jr.,"Fort Myers, Fla. / Dunbar HS",Memphis,Texas A&M / Hinds CC,,,,
13,,6.0,Joseph Scates,WR,6-2,210.0,R-Sr.,"Dayton, Ohio / Dunbar HS",Memphis,Iowa State,ScatesJoseph,,,
