,Number,Name,Position,Height,Weight,Class,Hometown,High School,Twitter,Instagram,Previous School,TikTok
0,0,Te'Cory Couch,Cornerback,5-10,170 lbs.,Fifth-Year Senior,"Fort Lauderdale, Fla.",Chaminade-Madonna,@CouchTecory,@md.tc_,,
1,0,Brashard Smith,Wide Receiver,5-10,194 lbs.,Junior,"Richmond Heights, Fla.",Miami Palmetto,@brashards,@_brashard_,,
2,2,"Donald Chaney, Jr.",Running Back,5-10,208 lbs.,Fourth-Year Redshirt Sophomore,"Homestead, Fla.",Belen Jesuit,@Donchaney1_fpa,@donchaneyjr,,
3,2,"Daryl Porter, Jr.",Defensive Back,5-10,185 lbs.,Fourth-Year Junior,"Fort Lauderdale, Fla.",American Heritage,@darylporterjr,@darylpii,West Virginia,
4,3,Akheem Mesidor,Defensive Line,6-3,280 lbs.,Fourth-Year Junior,"Ottawa, Ontario",Clearwater Academy,@Akheem_Mes,@akheemdadream,West Virginia,@akheemdadream
5,4,Keontra Smith,Linebacker,5-11,205 lbs.,Fifth-Year Senior,"West Park, Fla.",Chaminade-Madonna,@smithkeontra,@k.smith794,,
6,4,Colbie Young,Wide Receiver,6-5,215 lbs.,Junior,"Binghamton, N.Y.",Binghamton,@ColbieYoung,@colbieyoung4,Lackawanna College,@colbieyoung4
7,5,Nathaniel Joseph,Wide Receiver,5-10,175 lbs.,Freshman,"Miami, Fla.",Miami Edison,,,,
8,5,Kamren Kinchens,Safety,5-11,202 lbs.,Junior,"Miami, Fla.",Miami Northwestern,@KKinchens5,@_.touchmoney5,,@_.touchmoney5
9,6,TreVonte' Citizen,Running Back,6-1,221 lbs.,Redshirt Freshman,"Lake Charles, La.",Lake Charles Prep,@Tre_Citizen1,@t.citizen12,,
10,7,Davonte Brown,Defensive Back,6-2,185 lbs.,Fourth-Year Junior,"Plantation, Fla.",American Heritage,,,UCF,
11,7,Xavier Restrepo,Wide Receiver,5-10,195 lbs.,Fourth-Year Junior,"Coconut Creek, Fla.",Deerfield Beach,@xavierrestrepo1,@xavier7restrepo,,@xavierrestrepo7
12,8,"Frank Ladson, Jr.",Wide Receiver,6-3,205 lbs.,Fifth-Year Senior,"Miami, Fla.",South Dade,@_FrankLadson,@frank9.jr,Clemson,
13,9,Nyjalik Kelly,Defensive Line,6-4,240 lbs.,Sophomore,"Fort Lauderdale, Fla.",Dillard,@nyjalikkelly,@nueve9._,,
14,9,Tyler Van Dyke,Quarterback,6-4,224 lbs.,Fourth-Year Junior,"Glastonbury, Conn.",Suffield Academy,@tyler_van_dyke,@tylervandyke,,
15,11,Jacurri Brown,Quarterback,6-4,210 lbs.,Sophomore,"Valdosta, Ga.",Lowndes,@Jacurri_Brown11,@jacurr11.dadon,,
16,11,"Corey Flagg, Jr.",Linebacker,5-11,230 lbs.,Fourth-Year Junior,"Houston, Texas",North Shore,@CoreyFlaggJr,@coreyflaggjr,,
17,12,Jahfari Harvey,Defensive Line,6-4,252 lbs.,Fifth-Year Redshirt Junior,"Port St. Lucie, Fla.",Vero Beach,@jahfariharvey,@jah.fari,,
18,12,Robby Washington,Wide Receiver,5-11,170 lbs.,Freshman,"Miami, Fla.",Miami Palmetto,,,,
19,13,Michael Redding III,Wide Receiver,6-2,196 lbs.,Fourth-Year Redshirt Sophomore,"Pensacola, Fla.",IMG Academy,@reddingIII,@mike_redding_,,
20,13,Chantz Williams,Defensive Line,6-4,255 lbs.,Fourth-Year Junior,"Jacksonville, Fla.",Oakleaf,@_chantzler,@d1.chantz,,
21,15,Jacolby George,Wide Receiver,6-0,176 lbs.,Junior,"Lauderhill, Fla.",Plantation,@jaco1byg,@Jaco1byg,,@jaco1byg
22,15,Markeith Williams,Defensive Back,6-2,175 lbs.,Redshirt Freshman,"Orlando, Fla.",Evans,@MarkeithWilli10,@oneedinero,,
23,16,Malik Curtis,Cornerback,5-11,170 lbs.,Junior,"Fort Myers, Fla.",Bishop Verot,,@malikcurtis16,,
24,16,Isaiah Horton,Wide Receiver,6-4,205 lbs.,Redshirt Freshman,"Murfreesboro, Tenn.",Oakland,@isaiahhorton14,@zay7horton,,@zay7horton
25,17,"Bobby Washington, Jr.",Linebacker,6-3,220 lbs.,Freshman,"Miami, Fla.",Miami Palmetto,,,,
26,17,Emory Williams,Quarterback,6-5,220 lbs.,Freshman,"Milton, Fla.",Milton,,,,
27,18,"Aristides Angelo, Jr.",Quarterback,6-2,210 lbs.,Freshman,"Miami, Fla.",Immaculata-LaSalle,,,,
28,18,Jayden Wayne,Defensive Line,6-6,245 lbs.,Freshman,"Tacoma, Wash.",IMG Academy (Fla.),,,,
29,19,Jayden George,Quarterback,6-3,210 lbs.,Fifth-Year Redshirt Junior,"Indianapolis, Ind.",Warren Central,,,Bowling Green,
30,19,Jaden Harris,Defensive Back,6-0,195 lbs.,Redshirt Freshman,"Atlanta, Ga.",Riverwood,@jadenharrris,@jadenharrris,,@jadenharrris
31,20,Terrell Walden II,Running Back,5-9,180 lbs.,Redshirt Freshman,"Winter Garden, Fla.",West Orange,@Terrell_Walden,@terrell.walden,,
32,20,James Williams,Safety,6-5,215 lbs.,Junior,"Fort Lauderdale, Fla.",Plantation American Heritage,@begreat_20,@begreat_20,,@begreat_20
33,21,"Henry Parrish, Jr.",Running Back,5-10,190 lbs.,Fourth-Year Junior,"Goulds, Fla.",Christopher Columbus,@DoubleTay_21,@doubletay__,Ole Miss,
34,22,"Chris Graves, Jr.",Defensive Back,6-1,175 lbs.,Redshirt Freshman,"Fort Myers, Fla.",Bishop Verot,@D1Chris239,@chrisgravesjr,,@chrisgravesjr1
35,23,Jaleel Skinner,Tight End,6-5,210 lbs.,Sophomore,"Greer, S.C.",IMG Academy (Fla.),@jaleel_skinner,@jaleelskinner,,
36,23,Kaleb Spencer,Defensive Back,6-2,200 lbs.,Freshman,"Gloucester, Va.",Life Christian Academy,,,,
37,24,Malik Bryant,Linebacker,6-2,225 lbs.,Freshman,"Orlando, Fla.",Jones,,,,
38,25,Terry Roberts,Cornerback,5-11,180 lbs.,Sixth-Year Redshirt Senior,"Erie, Pa.",Cathedral Prep,,,Iowa,
39,25,Jefferson Walls,Wide Receiver,5-11,185 lbs.,Fifth-Year Redshirt Junior,"Orlando, Fla.",Lake Highland,,,Butler,
40,27,Brian Balom,Safety,6-0,200 lbs.,Fourth-Year Redshirt Sophomore,"Miramar, Fla.",Miramar,@trxppybandz,@trxppybandz,,
41,28,Souleymane Bangoura,Defensive Back,6-2,198 lbs.,Fourth-Year Junior,"Tucson, Ariz.",Catalina Foothills,@souley_b12,@__.souley.__,,@souley____
