,Statistic,#,Full Name,Pos.,Ht.,Wt.,Eligibility,Hometown / High School,Instagram,Twitter,Image,Name,Title
0,,0.0,Charles Brantley,DB,6-0,170.0,Jr.,"Sarasota, Fla. / Venice",charlesbrantley5,cbrantley22,,,
1,,0.0,Keon Coleman,WR,6-4,215.0,Jr.,"Opelousas, La. / Opelousas Catholic",keoncoleman3,keoncoleman6,,,
2,,1.0,Jaden Mangham,DB,6-2,175.0,So.,"Bingham Farms, Mich. / Groves",jadenmangham,JadenMangham,,,
3,,1.0,Jaren Mangham,RB,6-2,230.0,R-Sr.,"Detroit, Mich. / Cass Technical",,,,,
4,,2.0,Khris Bogle,DL,6-4,245.0,R-Sr.,"Fort Lauderdale, Fla. / Cardinal Gibbons",khris.bogle,khris_a1,,,
5,,2.0,Tyrell Henry,WR,6-0,175.0,So.,"Roseville, Mich. / Roseville",tyrellhenry_,TyrellHenry12,,,
6,,3.0,Caleb Coley,DB,6-0,180.0,R-Fr.,"Warner Robins, Ga. / Houston County",calebcoley8,CalebColey8,,,
7,,4.0,Jacoby Windmon,LB,6-2,250.0,R-Sr.,"New Orleans, La. / John Ehret",jwindmon_,JW1NDMON,,,
8,,5.0,Nathan Carter,RB,5-10,190.0,R-So.,"Rochester, N.Y. / Bishop Kearney",,,,,
9,,5.0,Jordan Hall,LB,6-3,235.0,Fr.,"Fredericksburg, Va. / IMG Academy",,,,,
10,,6.0,Maliq Carr,TE,6-5,255.0,R-Jr.,"Inkster, Mich. / Oak Park",maliq_thefreak_carr,maliq_thefreak,,,
11,,6.0,Semar Melvin,DB,6-0,170.0,R-Sr.,"Pembroke Pines, Fla. / St. Thomas Aquinas",,,,,
12,,7.0,Aaron Brule,LB,6-2,242.0,6th,"New Orleans, La. / Archbishop Rummel",ambrule,_AllOutAaron_,,,
13,,7.0,Antonio Gates Jr.,WR,6-2,190.0,R-Fr.,"Detroit, Mich. / Fordson",antoniogatesjr,AntoniogatesJr1,,,
14,,8.0,Simeon Barrow Jr.,DL,6-3,290.0,R-Jr.,"Grovetown, Ga. / Grovetown",barrowsimeon,BarrowSimeon,,,
15,,8.0,Jalen Berger,RB,6-1,215.0,R-Jr.,"Newark, N.J. / Don Bosco Prep",jalen3__,JalenBerger,,,
16,,9.0,Zion Young,DL,6-6,260.0,So.,"Atlanta, Ga. / Westlake",,ZionReese3,,,
17,,10.0,Ma'a Gaoteote,LB,6-1,230.0,Jr.,"Las Vegas, Nev. / Bishop Gorman",maagaoteote.cv,MaaGaoteote,,,
18,,10.0,Payton Thorne,QB,6-2,210.0,R-Sr.,"Naperville, Ill. / Naperville Central",payton_thorne1,payton15thorne,,,
19,,11.0,Quavian Carter,LB,6-3,190.0,R-Fr.,"Camilla, Ga. / Lee County",qc.x11,,,,
20,,12.0,Katin Houser,QB,6-3,213.0,R-Fr.,"Anaheim, Calif. / St. John Bosco",katinhouser,katinhouser,,,
21,,12.0,Chester Kimbrough,DB,6-0,185.0,R-Sr.,"New Orleans, La. / Warren Easton Senior",chaazz3,,,,
22,,13.0,Sebastian Brown,WR,6-3,196.0,R-Jr.,"Detroit, Mich. / Cass Tech",sebastianbrown13_,SebastianBrownZ,,,
23,,13.0,Jarrett Jackson,DL,6-6,300.0,6th,"Riviera Beach, Fla. / Palm Beach Gardens",,,,,
24,,14.0,Khary Crump,DB,6-0,180.0,R-Jr.,"Los Angeles, Calif. / Culver City",,khary_crump,,,
25,,14.0,Noah Kim,QB,6-2,185.0,R-Jr.,"Centreville, Va. / Westfield",_noahkim_,noah_kim12,,,
26,,15.0,Jaron Glover,WR,6-1,205.0,R-Fr.,"Sarasota, Fla. / Riverview",,JaronGlover13_,,,
27,,15.0,Angelo Grose,DB,5-10,180.0,Sr.,"Mansfield, Ohio / Mansfield Senior",the_real4lo,GroseAngelo,,,
28,,16.0,Christian Fitzpatrick,WR,6-4,218.0,R-Jr.,"Southfield, Mich. / Southfield A&T",cfitzx1,Cfitz_1,,,
