,Statistic,#,Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Previous School,Image,Title
0,,0.0,Richard Kinley,DE,6-3,238.0,R-Jr.,"Memphis, TN / Lausanne Collegiate School",,,
1,,1.0,Teldrick Ross,CB,5-11,191.0,R-Sr.,"Macon, GA / Jones County",,,
2,,3.0,DJ England-Chisolm,WR,5-8,155.0,Sr.,"Moncks Corner, SC / Berkeley",,,
3,,4.0,Johnathan Butler,LB,6-1,223.0,R-Sr.,"Sumter, SC / Sumter HS",Highland CC,,
4,,4.0,Kyle Lowe,QB,5-11,202.0,R-Fr.,"Collierville, TN / Fayette-Ware",,,
5,,5.0,Jordan Branch,DL,6-0,288.0,R-Sr.,"Maury City, TN / Crockett County",,,
6,,7.0,Zeke Rankin,PK,5-8,199.0,Jr.,"Alcoa, TN / Alcoa",,,
7,,7.0,Zaylin Wood,DE,6-2,267.0,R-Jr.,"Bowdon, GA / Heard County",,,
8,,8.0,Devyn Curtis,LB,6-2,237.0,R-So.,"Nashville, TN / Brentwood Academy",,,
9,,10.0,Jaiden Credle,RB,6-1,193.0,So.,"Columbus, GA / Carver",Northern Illinois,,
10,,10.0,Jakson Judge,QB,6-1,199.0,Fr.,"Jacksonville, FL / The Bolles School",,,
11,,11.0,Nicholas Vattiato,QB,6-1,195.0,R-So.,"Plantation, FL / University School",,,
12,,12.0,DJ Riles,QB,6-0,194.0,R-Fr.,"Columbus, GA / Carver",,,
13,,13.0,Javonte Sherman,WR,6-2,200.0,R-So.,"Valdosta, GA / Valdosta",,,
14,,15.0,Jacob Coleman,WR,6-3,230.0,R-So.,"Chesterfield, VA / Matoaca",East Carolina,,
15,,16.0,Ren Hefley,QB,6-1,201.0,R-Jr.,"Little Rock, AR / Bryant",Northwest Mississippi CC,,
16,,17.0,Tra Fluellen,S,6-2,208.0,Sr.,"Gilmer, TX / Gilmer",Houston Baptist,,
17,,18.0,James Douglas,LB,6-1,211.0,R-So.,"Fort Worth, TX / Arlington-Lamar",Cisco College,,
18,,18.0,Stone Frost,QB,5-11,210.0,R-Jr.,"Decaturville, TN / Riverside",,,
19,,19.0,A'Varius Sparrow,RB,5-10,191.0,R-So.,"Orlando, FL / Jones",West Virginia,,
20,,21.0,Jeron Newson,WR,5-8,159.0,R-So.,"West Palm Beach, FL / Oasis",,,
21,,22.0,Chris Johnson,S,5-10,183.0,R-So.,"Murfreesboro, TN / Riverdale",,,
22,,22.0,Romal Webb Jr.,RB,5-9,200.0,Jr.,"Memphis, TN / Southwind",Coffeyville CC,,
23,,23.0,Malachi Burns,WR,6-4,205.0,R-So.,"Murfreesboro, TN / Blackman",Missouri Western State,,
