,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Exp.,Hometown / High School ( Previous School)
0,,1.0,Marcus Banks,CB,6-0,190.0,Sr.,1L,"Houston, Texas / Dekaney HS (Alabama)"
1,,2.0,Will Rogers,QB,6-2,210.0,Sr.,3L,"Brandon, Miss. / Brandon HS"
2,,3.0,Decamerion Richardson,CB,6-2,195.0,Sr.,3L,"Cullen, La. / Bossier HS"
3,,4.0,DeCarlos Nicholson,CB,6-3,195.0,Sr.,1L,"Petal, Miss. / Petal HS (Mississippi Gulf Coast CC)"
4,,5.0,Lideatrick Griffin,WR,5-10,185.0,Sr.,3L,"Philadelphia, Miss. / Philadelphia HS"
5,,6.0,Jordan Davis,DE,6-4,270.0,Gr.,2L,"Memphis, Tenn. / Southwind HS (Copiah-Lincoln [Miss.] C.C.)"
6,,7.0,Jo'quavious Marks,RB,5-10,205.0,Sr.,3L,"Atlanta, Ga. / Carver HS"
7,,8.0,Jordan Mosley,WR,6-0,195.0,R-So.,SQ,"Mobile, Ala. / McGill Toolen HS (Northwestern)"
8,,9.0,De'Monte Russell,DE,6-4,270.0,R-Sr.,3L,"Jackson, Miss. / Provine HS"
9,,10.0,Corey Ellington,S,6-3,200.0,Jr.,2L,"Lexington, Miss. / Holmes County Central HS"
10,,11.0,Jaden Walley,WR,6-0,190.0,Sr.,3L,"D'Iberville, Miss. / D'Iberville HS"
11,,12.0,Shawn Preston Jr.,S,6-0,205.0,Gr.,4L,"St. James, La. / St. James HS"
12,,14.0,Nathaniel Watson,LB,6-2,240.0,Gr.,4L,"Maplesville, Ala. / Maplesville HS"
13,,15.0,Jack Harris,DE,6-3,265.0,R-Sr.,3L,"Sumrall, Miss. / Oak Grove HS"
14,,15.0,Jake Weir,QB,6-2,210.0,R-So.,SQ,"Tupelo, Miss. / Tupelo HS"
15,,16.0,DeShawn Page,LB,6-2,235.0,Sr.,2L,"Knoxville, Tenn. / Fulton HS (East Mississippi CC)"
16,,17.0,Jordan Morant,S,6-0,205.0,R-Jr.,1L,"Parsippany, N.J. / Bergen Catholic HS (Michigan)"
17,,18.0,Justin Robinson,WR,6-4,215.0,R-Jr.,1L,"McDonough, Ga. / Eagles Landing HS (Georgia)"
18,,21.0,Hunter Washington,S,5-11,185.0,R-So.,1L,"Katy, Texas / Katy HS (Florida State)"
19,,22.0,Nathan Pickering,DT,6-4,305.0,Sr.,4L,"Mount Olive, Miss. / Seminary HS"
20,,22.0,Simeon Price,RB,6-0,210.0,R-So.,1L,"Pensacola, Fla. / West Florida HS"
21,,23.0,Trevion Williams,DL,6-4,285.0,R-Fr.,RS,"Crystal Springs, Miss. / Crystal Springs HS"
22,,25.0,Wesley Miller,S,5-10,195.0,R-Fr.,RS,"Columbus, Miss. / Heritage Academy"
23,,26.0,J.P. Purvis,LB,6-1,240.0,R-Sr.,2L,"Pelahatchie, Miss. / Pelahatchie Attendance Center"
24,,27.0,Esaias Furdge,CB,6-0,190.0,Gr.,2L,"Clarksdale, Miss. / Clarksdale HS"
25,,28.0,Tanner Duke Johnson,S,6-0,180.0,R-Fr.,RS,"Kyle, Texas / Lehman HS"
26,,28.0,Brinston Williams,RB,6-2,220.0,R-Fr.,RS,"Suwanee, Ga. / North Gwinnett HS"
27,,29.0,Kaydin Pope,WR,6-0,180.0,R-Fr.,RS,"Savannah, Tenn. / Hardin County HS"
28,,30.0,Nicholas Bargains,CB,5-9,165.0,R-Fr.,RS,"Allen, Texas / Allen HS"
29,,31.0,Javae Gilmore,LB,6-4,225.0,R-Fr.,RS,"Amite, La. / Amite HS"
30,,32.0,Audavion Collins,CB,6-0,170.0,R-Fr.,RS,"Covington, Ga. / Newton HS"
31,,33.0,Trent Singleton,S,6-0,190.0,R-Fr.,RS,"Edwards, Miss. / Raymond HS"
32,,34.0,Kione Roberson,WR,5-9,180.0,R-Fr.,RS,"Wesley Chapel, Fla. / Cypress Creek HS"
33,,35.0,Javaris Bufford,RB,5-11,175.0,R-So.,SQ,"Charlotte, N.C. / Charlotte Latin School"
34,,35.0,Kalvin Dinkins,DL,6-2,315.0,R-Fr.,RS,"Lake, Miss. / Lake HS"
35,,36.0,Donterry Russell,DL,6-4,220.0,R-Fr.,RS,"Jackson, Miss. / Provine HS"
36,,37.0,John Lewis,LB,6-3,235.0,R-So.,1L,"Canton, Miss. / Germantown HS"
37,,39.0,Avery Sledge,LB,6-3,215.0,R-Fr.,RS,"Hattiesburg, Miss. / Forrest County Agricultural HS"
38,,40.0,Nic Mitchell,LB,6-2,230.0,R-So.,1L,"Jacksonville, Fla. / Mandarin HS"
39,,41.0,Manuel Hillman,LS,6-0,190.0,R-Jr.,SQ,"Petal, Miss. / Petal HS (East Central [Miss.] C.C.)"
40,,41.0,Cody Swanson,S,6-0,195.0,R-Sr.,SQ,"Madison, Miss. / Madison-Ridgeland Academy"
41,,43.0,Hayes Hammond,LS,5-10,195.0,R-Jr.,2L,"Tupelo, Miss. / Tupelo HS"
42,,44.0,Jett Johnson,LB,6-2,230.0,Gr.,3L,"Tupelo, Miss. / Tupelo HS"
43,,45.0,Ty Cooper,TE,6-4,245.0,R-So.,1L,"Louisville, Miss. / Louisville HS"
44,,49.0,Marlon Hauck,K,6-3,195.0,R-Fr.,RS,"Phoenix, Ariz. / Desert Vista HS (Southern Illinois)"
45,,52.0,Grant Jackson,OL,6-6,325.0,R-Jr.,2L,"Brookhaven, Miss. / West Lincoln HS"
46,,52.0,Khalid Moore,LB,6-2,235.0,R-Fr.,RS,"Poplarville, Miss. / Poplarville HS"
47,,54.0,Jackson Cannon,OL,6-5,320.0,R-Fr.,RS,"Forsyth, Ga. / Ola HS"
