,Statistic,No.,Name,Pos.,Ht.,Wt.,Year,Hometown,High School / Previous School,Twitter,Instagram,Image,Title
0,,0.0,BJ Harris,RB,5-9,203.0,Jr.,"Chattanooga, Tenn.",McCallie School,KiingHarris0,kiing.harris,,
1,,0.0,Jayden Jernigan,DL,6-0,279.0,Sr.,"Allen, Texas",Allen / Oklahoma State,42_reborn,jay.jern,,
2,,1.0,Jaylon Carlies,DB,6-3,219.0,Sr.,"Orlando, Fla.",West Orange,TheBoy_JC,jcarlies,,
3,,2.0,Chance Luper,WR,6-2,189.0,Jr.,"Dallas, Texas",Fort Worth Christian,chanceluper,chanceluper_,,
4,,2.0,"Ennis Rakestraw, Jr.",DB,6-0,176.0,Jr.,"West Dallas, Texas",Duncanville,EnnisRakestraw,_6.2strong_,,
5,,3.0,Luther Burden III,WR,5-11,208.0,So.,"St. Louis, Mo.",East St. Louis,lutherburden3,lutherburden3,,
6,,3.0,Sidney Williams,DB,-,,Jr.,"New Orleans, La.",Vigor (Ala.),,,,
7,,5.0,Mookie Cooper,WR,5-8,187.0,Jr.,"St. Louis, Mo.",Trinity Catholic / Ohio State,mcgetbusy1,mceegetbusy1,,
8,,6.0,Darius Robinson,DL,6-5,296.0,Gr.,"Southfield, Mich.",Canton,Darius6Robinson,mr6ixrobinson,,
9,,8.0,Ty'Ron Hopper,LB,6-2,221.0,Sr.,"Shelby, N.C.",Roswell / Florida,tyron_hopper,tyronhopper22,,
10,,8.0,Nathaniel Peat,RB,5-10,206.0,Gr.,"Columbia, Mo.",Rock Bridge / Stanford,PeatNathaniel,gog_peat,,
11,,10.0,Mekhi Miller,WR,6-1,194.0,So.,"Overland Park, Kan.",Blue Valley North,Mekhi4Miller,mekhimiller_,,
12,,10.0,Dameon Wilson,LB,6-0,223.0,So.,"Grover, N.C.",Kings Mountain,DameonWilson10,10dayday_,,
13,,12.0,Brady Cook,QB,6-2,205.0,Jr.,"St. Louis, Mo.",Chaminade,qbcook12,brady.cook,,
14,,13.0,Daylan Carnell,DB,6-2,218.0,So.,"Indianapolis, Ind.",Ben Davis,daylancarnell,daylancarnell,,
