,Statistic,No.,Full Name,Ht.,Wt.,Pos.,Yr.,Hometown,Current School Name,Last School,Instagram,Twitter,Image,Name,Title
0,,41.0,"Abdul-Rahim, Keyaan",6-0,205.0,LB,Fr.,"Charlotte, N.C.",NC State,Providence Day,kxyaanz,KeyaanRahim,,,
1,,60.0,"Alexander, Blair",6-2,255.0,OL,R-Fr.,"Cary, N.C.",NC State,Green Level,blairalexander_,blairalexanderz,,,
2,,2.0,"Allen, Michael",5-9,203.0,RB,So.,"Greenville, N.C.",NC State,Rose,yaboylegend,MichaelAllen8_,,,
3,,58.0,"Alls, Carter",6-5,320.0,OL,Fr.,"Wake Forest, N.C.",NC State,Heritage,carterrr.alls,AllsCarter,,,
4,,5.0,"Armstrong, Brennan",6-2,210.0,QB,Gr.,"Shelby, Ohio",NC State,Shelby,bstrong05,bstrong34,,,
5,,16.0,"Ashford, Rakeim",6-1,195.0,SAF,Gr.,"Ackerman, Miss.",NC State,Choctaw County,kidd.keim,thekidd_14,,,
6,,84.0,"Baldwin, Jakolbe",6-0,200.0,WR,R-So.,"Hamlet, N.C.",NC State,Richmond Senior,iv.jb,JakolbeB,,,
7,,7.0,"Battle, Shyheim",6-2,195.0,CB,R-Jr.,"Rocky Mount, N.C.",NC State,Rocky Mount,shybattle2.5,ShyOutta252,,,
8,,74.0,"Belton, Anthony",6-6,336.0,OL,R-Jr.,"Tallahassee, Fla.",NC State,Florida State U. School,a.belton1,BeltonAnthony,,,
9,,26.0,"Betty, Devon",6-1,225.0,LB,Jr.,"Carver Ranches, Fla.",NC State,St. Thomas Aquinas,devonbettyy,devonbetty56,,,
10,,48.0,"Bocook, Shelton",6-1,245.0,LB,Fr.,"Southport, N.C.",NC State,South Brunswick,,,,,
11,,34.0,"Bonner, Kamal",6-2,200.0,LB,Fr.,"Moultrie, Ga.",NC State,Colquitt Co.,The1OnlyMel1,kamal_bonner,,,
12,,12.0,"Boykin, Devan",5-10,192.0,NIC,Jr.,"Greensboro, N.C.",NC State,Ragsdale,dboyk_12,thedevanboykin,,,
13,,20.0,"Brown, Sean",6-0,205.0,SAF,R-So.,"Charlotte, N.C.",NC State,Hough,2sean9,greatnvess,,,
14,,39.0,"Burt, Foster",6-1,185.0,CB,R-Fr.,"Wake Forest, N.C.",NC State,Heritage,fostertburt,FosterBurt1,,,
15,,46.0,"Campbell, Nick",6-4,290.0,DL,R-Fr.,"Minneola, Fla.",NC State,Lake Minneola,_nick_04,,,,
16,,75.0,"Carter, Jr., Anthony",6-3,310.0,OL,R-So.,"Charlotte, N.C.",NC State,Butler,antcarterjr,thatman_ant,,,
17,,19.0,"Charpia, Reed",6-0,180.0,QB,Jr.,"Cayce, S.C.",NC State,Brookland-Cayce,reedcharpia,ReedCharpia,,,
18,,25.0,"Cisse, Brandon",6-0,180.0,CB,Fr.,"Sumter, S.C.",NC State,Lakewood,brandoncisse,BrandonCisse,,,
19,,5.0,"Clark, C.J.",6-3,305.0,DT,R-Jr.,"New London, N.C.",NC State,North Stanly,704ceejayy,cfrmda4,,,
20,,44.0,"Cleveland, Brandon",6-4,290.0,DL,So.,"Tampa, Fla.",NC State,Carrollwood Day,bcleveland1,brandonvibes25,,,
21,,21.0,"Coit, Jalen",5-11,170.0,WR,R-So.,"Cheraw, S.C.",NC State,Cheraw,coitj_7,JalenCoit_,,,
22,,86.0,"Collins, DJ",6-4,215.0,WR,R-So.,"Atlanta, Ga.",NC State,Westlake,d.coll2,Gods__gift3,,,
23,,80.0,"Concepcion, Kevin ""KC""",5-11,180.0,WR,Fr.,"Charlotte, N.C.",NC State,Chambers,kcthekid2,Kcthekid2,,,
24,,56.0,"Cooper, Lyndon",6-2,312.0,OL,R-So.,"Atlanta, Ga.",NC State,Carrollton,lyndon.56,LyndonCooper5,,,
25,,83.0,"Crabtree, Josh",6-3,205.0,WR,R-So.,"Wake Forest, N.C.",NC State,Heritage,joshcrabtree83,jcrabtree34,,,
26,,30.0,"Crowell, Isaiah",5-10,182.0,DB,R-Fr.,"Kernersville, N.C.",NC State,E. Forsyth,isaiahcrowell_,IsaiahCrowell9,,,
27,,22.0,"Crowell, Micah",6-1,220.0,RB,R-So.,"Winston-Salem, N.C.",NC State,East Forsyth,iammicahcrowell,CrowellMicah,,,
28,,62.0,"Davis, Jaleel",6-6,310.0,OL,R-So.,"Hamlet, N.C.",NC State,Richmond Senior,jaleelthegenie_,jaleeldavis2,,,
29,,53.0,"Eason, Derrick",6-4,315.0,OL,Gr.,"Norfolk, Va.",NC State,Norview,d3ason,derrickeason9,,,
30,,24.0,"Edmundson, Darius",6-0,180.0,DB,R-Sr.,"Middlesex, N.C.",NC State,Southern Nash,d.famous24,@dFamous24,,,
31,,21.0,"Evans, Nate",6-0,180.0,CB,R-So.,"Virginia Beach, Va.",NC State,Cox,Naateevans,Naateevans,,,
32,,10.0,"Fordham, Caden",6-1,228.0,LB,R-So.,"Ponte Vedra, Fla.",NC State,The Bolles School,cadenfordham,Caden_Fordham,,,
33,,71.0,"Gentry, Thornton",6-4,315.0,OL,R-So.,"Chapin, S.C.",NC State,Chapin,thor.gentry,GentryThornton,,,
34,,29.0,"Gerard, Walt",6-0,215.0,SAF,R-So.,"Washington, N.C.",NC State,Washington,waltgerardv,gerard_walt,,,
35,,31.0,"Godbey, Jaxon",5-11,180.0,,R-Fr.,"Elkin, N.C.",NC State,Elkin,jaxon.godbey,jaxon_godbey_1,,,
36,,43.0,"Gray, Dylan",6-2,235.0,LB,R-So.,"Springdale, Md.",NC State,Flowers,,,,,
37,,8.0,"Gray, Julian",5-11,195.0,WR,R-So.,"Charlotte, N.C.",NC State,Hopewell,jujudagrayt,jujudagrayt21,,,
38,,6.0,"Harris, Jakeen",5-10,195.0,SAF,Sr.,"Savannah, Ga.",NC State,Benedictine Military,__runnitup,JakeenH6,,,
39,,35.0,"Hattley, Chase",6-3,210.0,FS,R-So.,"Cary, N.C.",NC State,Panther Creek,chase_hattley,chase_hattley,,,
40,,47.0,"Hibbler, Red",6-2,260.0,DL,R-Jr.,"Louisville, Miss.",NC State,Louisville,redfrm_bge,jykeveous,,,
41,,72.0,"Hill, Sean",6-3,305.0,OL,R-So.,"Snellville, Ga.",NC State,Brookwood,hill.s_,HILL_SEAN70,,,
42,,14.0,"Hinton, Renté",6-3,212.0,CB,So.,"Mobile, Ala.",NC State,Saraland,rent3.hinton,rentethe,,,
43,,98.0,"Hollingsworth, Aiden",6-4,255.0,DL,R-Fr.,"Beaufort, N.C.",NC State,E. Carteret,aidenhollingswxrth,aidenholli,,,
44,,3.0,"Houston, Jordan",5-10,190.0,RB,Sr.,"Waldorf, Md.",NC State,Flint Hill,balloutjordo,ballout_jordo,,,
45,,99.0,"Jackson, DJ",6-1,280.0,DT,R-Fr.,"Sumter, S.C.",NC State,Sumter,davin.jackso,DavinJackson12,,,
46,,64.0,"Jackson, Rico",6-6,310.0,OL,Fr.,"Ft. Lauderdale, Fla.",NC State,Dillard,r_jackson66,RicoJackson66,,,
47,,9.0,"Jackson, Savion",6-2,280.0,DE,Sr.,"Clayton, N.C.",NC State,Clayton,savion__jackson,savionjac11,,,
48,,69.0,"Jaramillo, Dawson",6-5,305.0,OL,Gr.,"Portland, Ore.",NC State,Lake Oswego,dawsonjaramillo,dawsonjaramillo,,,
