,Number,Name,Position,Height,Weight,Class,EXP,Hometown,Previous School,Unnamed: 9,Unnamed: 2
0,2.0,Andrew Henry,RB,5-10,198.0,RS-Sr.,TR,"Dallas, Texas",ULM/Fort Scott CC/Allen HS,_andrewhenry  theandrewhenry,
1,2.0,Zach Morris,CB,6-1,185.0,So.,1VL,"Flower Mound, Texas",Marcus HS,ZachMorris_03  the.zach.morris,
2,3.0,D'Arco Perkins-McAllister,S,6-1,195.0,Jr.,TR,"Nashville, Tenn.",TCU/Stratford Comprehensive HS,DarcoPerkins  3waay_,
3,3.0,Jace Taylor,WR,6-5,210.0,Sr.,*3VL,"Lake Havasu, Ariz.",Lake Havasu HS,j3ce_,
4,4.0,Caleb Medford,WR,6-3,205.0,So.,TR,"Henderson, Texas",TCU/Henderson HS,CalebMedford  cmed.26,
5,4.0,Bobby Wooden,WR,5-11,190.0,Sr.,*3VL,"Pearland, Texas",Dawson HS,woodenn6  bwoodenn,
6,5.0,Jermarius Lewis,S,5-11,185.0,So.,1VL,"Summit, Miss.",North Pike HS,JermariusLewis  iam_j16,
7,6.0,Isaiah Chavez,QB,6-0,195.0,RS-Jr.,1VL-1SQ-RS,"Rio Rancho, N.M.",Rio Rancho HS,isaiah.chavez6  isaiah.chavez6,
8,6.0,Marvin Covington,S,5-11,190.0,RS-So.,TR,"Mansfield, Texas",TCU/Lake Ridge HS,ayeimmarv,
9,7.0,Tavian Combs,S,6-2,190.0,RS-Jr.,*2VL-RS,"Amarillo, Texas",Randall HS,TavianCombs  tavo_1k,
10,7.0,DC Tabscott,QB,6-4,200.0,RS-So.,TR,"Franklin, Tenn.",Appalachian State/Father Ryan HS,dctabscott  dc.tabs7,
11,8.0,Donte Martin,CB,5-10,185.0,RS-Sr.,&4VL-RS,"Oxnard, Calif.",Rio Mesa HS,dontemartin_8  hoodiedonte,
12,8.0,D.J. Washington,WR,6-5,205.0,Sr.,*JC,"Belle Glade, Fla.",Iowa Central CC/Glades Central HS,desnawashingto2,
13,9.0,Sherod White,RB,5-9,195.0,Sr.,JC,"Menifee, Calif.",Mt. San Jacinto JC/Heritage HS,goodjobrod  goodjobrod,
14,10.0,Dylan Hopkins,QB,6-2,215.0,RS-Sr.,&TR,"Maryville, Tenn.",UAB/Maryville HS,Dylan_Hopkins7  dylanhopkins_7,
15,10.0,Aaron Rodriguez,P,6-0,200.0,RS-Sr.,*2VL,"Newhall, Calif.",Missouri/Hart HS,rod_aaron18  aaron_rod16,
16,11.0,Andrew Erickson,WR,6-2,205.0,RS-Sr.,*3VL-2RS,"Albuquerque, N.M.",Manzano HS,drewdawg2711  andrew_erickson87,
17,12.0,Justin Holaday,QB,6-3,200.0,Jr.,1VL#,"Lemoore, Calif.",Fresno City JC/Lemoore HS,justinholaay  justin.holaday11,
18,12.0,Aaron Smith,S,6-2,190.0,Jr.,JC,"Long Beach, Calif.",Mt. San Antonio College/Long Beach Poly,upnextaaron,
19,13.0,Devon Dampier,QB,6-0,195.0,Fr.,HS,"Saguaro, Ariz.",Saguaro HS,Devonddampier  devon_dampier,
20,13.0,Bryson Taylor,S,6-2,175.0,So.,1VL,"Hoschton, Ga.",Mill Creek HS,BrysonCTaylor22,
21,14.0,Duece Jones,WR,6-0,180.0,RS-Jr.,2VL-RS,"Baton Rouge, La.",Broadmoor HS,nolimitduece1  nolimitduece,
22,15.0,Tavien Ford,DT,6-3,295.0,Jr.,1VL,"Charlotte, N.C.",Georgia Military College/Olympic HS,fordtavien,
23,15.0,Luke Wysong,WR,5-10,180.0,Jr.,2VL,"Rio Rancho, N.M.",Cleveland HS,lukewysong  lukewysong15,
24,16.0,Ryan Davis,WR,5-11,185.0,RS-Sr.,TR,"Roswell, Ga.",UAB/Trinity Catholic HS,Davis_Ryan2  __ryandavis,
25,16.0,Dmitri Johnson,LB,6-3,230.0,Jr.,JC,"Rohnert Park, Calif.",Santa Rosa JC/Rancho Cotate HS,Dimitri1Johnson,
26,17.0,Magnus Geers,TE,6-6,250.0,RS-Jr.,*TR,,Temple/LaSalle College HS [PA],geers_magnus  magnus_geers,
27,17.0,Josh Williamson,S,6-2,175.0,RS-So.,RS,"Tampa, Fla.",Reedley JC/Blake HS,jboogie1472  nba_jwill,
28,18.0,Jeremiah Hixon,WR,5-11,172.0,RS-Sr.,&TR,"Monroeville, Ala.",Alabama State/Spanish Fort HS,jeremiah_hixon7  darealjaymoney_,
29,18.0,Alec Marenco,LB,6-3,220.0,Jr.,2VL,"El Paso, Texas",Burges HS,MarencoAlec,
30,20.0,Jacob Trussell,TE,6-6,205.0,RS-So.,1SQ-RS,"Georgetown, Texas",Florence HS,jacobtrussell10  jacobktrussell,
31,21.0,Mihalis Santorineos,LB,6-2,225.0,So.,JC,"Rohnert Park, Calif.",Sierra College/Rancho Christian HS,mihalis_S53  mihalis.s53,
