,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Image,Name,Title
0,,0.0,Tychaun 'Doc' Chapman,Wide Receiver,5-10,170.0,Fr.,"Virginia Beach, Va. / Princess Anne",,,
1,,0.0,Ja'Qurious Conley,Defensive Back,6-1,215.0,Jr.,"Jacksonville, N.C. / Northside",,,
2,,1.0,Andre Greene Jr.,Wide Receiver,6-2.5,190.0,Fr.,"Richmond, Va. / St. Christopher's School",,,
3,,1.0,Tony Grimes,Defensive Back,6-0.25,195.0,Jr.,"Virginia Beach, Va. / Princess Anne",,,
4,,2.0,Gavin Blackwell,Wide Receiver,5-11.5,180.0,R-Fr.,"Indian Trail, N.C. / Sun Valley",,,
5,,2.0,Don Chapman,Defensive Back,6-1.25,195.0,Sr.,"San Diego, Calif. / Lincoln",,,
6,,3.0,Storm Duck,Defensive Back,6-0.75,200.0,Jr.,"Boiling Springs, S.C. / Boiling Springs",,,
7,,3.0,Antoine Green,Wide Receiver,6-2.5,200.0,Sr.,"Rockledge, Fla. / Rockledge",,,
8,,4.0,Caleb Hood,Running Back,5-11.75,225.0,So.,"Rockingham, N.C. / Richmond Senior",,,
9,,4.0,Travis Shaw,Defensive Line,6-5.5,355.0,Fr.,"Greensboro, N.C. / Grimsley",,,
10,,5.0,J.J. Jones,Wide Receiver,6-2,210.0,So.,"Myrtle Beach, S.C. / Myrtle Beach",,,
11,,5.0,Jahvaree Ritzie,Defensive Line,6-4.5,290.0,So.,"Kernersville, N.C. / Glenn",,,
12,,6.0,Lejond Cavazos,Defensive Back,6-0.75,190.0,So.,"San Antonio, Texas / IMG Academy/Ohio State",,,
13,,6.0,Jacolby Criswell,Quarterback,6-1,225.0,So.,"Morrilton, Ark. / Morrilton",,,
14,,7.0,Noah Taylor,Jack,6-5,240.0,Gr.,"Silver Spring, Md. / Avalon School/Virginia",,,
15,,8.0,Myles Murphy,Defensive Line,6-4,305.0,Jr.,"Greensboro, N.C. / James B. Dudley",,,
16,,8.0,Kobe Paysour,Wide Receiver,6-1.25,185.0,R-Fr.,"Kings Mountain, N.C. / Kings Mountain",,,
17,,9.0,Cam'Ron Kelly,Defensive Back,6-1.5,210.0,Sr.,"Chesapeake, Va. / Oscar Smith/Auburn",,,
18,,10.0,Desmond Evans,Defensive Line,6-6.25,265.0,Jr.,"Sanford, N.C. / Lee County",,,
19,,10.0,Drake Maye,Quarterback,6-4.5,220.0,R-Fr.,"Huntersville, N.C. / Myers Park",,,
20,,11.0,Raneiria 'Rara' Dillworth,Linebacker,6-1.25,200.0,So.,"Winston-Salem, N.C. / Glenn",,,
21,,11.0,Josh Downs,Wide Receiver,5-10.25,175.0,Jr.,"Suwanee, Ga. / North Gwinnett",,,
22,,12.0,Beau Atkinson,Defensive Line,6-6,260.0,Fr.,"Raleigh, N.C. / Leesville Road",,,
23,,13.0,Tylee Craft,Wide Receiver,6-5,200.0,Jr.,"Sumter, S.C. / Sumter",,,
24,,13.0,Obi Egbuna,Defensive Back,5-10.5,190.0,Sr.,"Charlotte, N.C. / Charlotte Christian",,,
25,,14.0,Dontae Balfour,Defensive Back,6-1,180.0,R-Fr.,"Starke, Fla. / Bradford",,,
26,,14.0,Jefferson Boaz,Quarterback,6-7,245.0,So.,"Pilot Mountain, N.C. / East Surry",,,
27,,15.0,Conner Harrell,Quarterback,6-0.75,200.0,Fr.,"Alabaster, Ala. / Thompson",,,
28,,15.0,Ladaeson DeAndre Hollins,Defensive Back,6-1.25,200.0,Sr.,"Tampa, Fla. / Thomas Jefferson",,,
29,,16.0,DeAndre Boykins,Defensive Back,6-0.5,195.0,So.,"Concord, N.C. / Central Cabarrus",,,
30,,16.0,Russell Tabor,Quarterback,6-3,200.0,R-Fr.,"Charlotte, N.C. / Charlotte Country Day",,,
31,,17.0,Chris Collins,Jack,6-4.25,245.0,Gr.,"Richmond, Va. / Benedictine College Prep",,,
32,,18.0,Christopher Holliday,Defensive Back,6-2,220.0,So.,"Chapel Hill, N.C. / Jordan",,,
33,,18.0,Bryson Nesbit,Tight End,6-5,230.0,So.,"Charlotte, N.C. / South Mecklenburg",,,
34,,19.0,Bryson Jennings,Defensive Line,6-4.5,230.0,Fr.,"Richmond, Va. / Clover Hill",,,
35,,19.0,Grady Sherrill,Wide Receiver,5-8.5,160.0,Fr.,"Greensboro, N.C. / Page",,,
36,,20.0,Tayon Holloway,Defensive Back,6-1,160.0,Fr.,"Virginia Beach, Va. / Green Run",,,
37,,20.0,Brooks Miller,Wide Receiver,5-10.75,175.0,R-Fr.,"Duluth, Ga. / Greater Atlanta Christian",,,
38,,21.0,Elijah Green,Running Back,6-0.25,205.0,So.,"Roswell, Ga. / Blessed Trinity",,,
39,,21.0,Dontavius Nash,Defensive Back,6-2.5,180.0,R-Fr.,"Gastonia, N.C. / Hunter Huss",,,
40,,23.0,Power Echols,Linebacker,6-0.25,225.0,So.,"Charlotte, N.C. / Chambers",,,
41,,23.0,George Pettaway,Running Back,5-10.75,195.0,Fr.,"Suffolk, Va. / Nansemond-Suffolk Academy",,,
42,,24.0,British Brooks,Running Back,5-11.25,225.0,Gr.,"Gastonia, N.C. / Ashbrook",,,
43,,24.0,Malaki Hamrick,Jack,6-2.25,215.0,Fr.,"Shelby, N.C. / Shelby",,,
44,,25.0,Kellan Hood,Wide Receiver,5-10.75,185.0,Fr.,"Rockingham, N.C. / Richmond Senior",,,
45,,25.0,Kaimon Rucker,Defensive Line,6-2.25,265.0,Jr.,"Hartwell, Ga. / Hart County",,,
46,,26.0,D.J. Jones,Running Back,5-10.75,205.0,Jr.,"Fayetteville, N.C. / Pine Forest",,,
47,,26.0,Naari Short,Defensive Back,5-9,175.0,So.,"Durham, N.C. / Hillside",,,
48,,27.0,Giovanni Biggers,Defensive Back,6-1.5,200.0,Sr.,"Woodbridge, Va. / Boys’ Latin",,,
49,,27.0,Michael Hall,Wide Receiver,6-1,180.0,Fr.,"Eden, N.C. / Morehead",,,
50,,28.0,Tymir Brown,Defensive Back,6-0,180.0,R-Fr.,"Jacksonville, N.C. / Jacksonville",,,
51,,28.0,Omarion Hampton,Running Back,6-0,220.0,Fr.,"Clayton, N.C. / Cleveland",,,
52,,29.0,Marcus Allen,Defensive Back,6-1.5,175.0,Fr.,"Marietta, Ga. / Walton",,,
53,,29.0,Jeffrey Saturday,Wide Receiver,5-10.5,185.0,Jr.,"Dacula, Ga. / Hebron Christian Academy",,,
54,,30.0,Phillips Alvarez,Defensive Back,5-10.5,170.0,Fr.,"Charlotte, N.C. / Myers Park",,,
55,,31.0,Will Hardy,Defensive Back,6-2,200.0,Fr.,"Lawrenceville, Ga. / Greater Atlanta Christian",,,
56,,32.0,Sebastian Cheeks,Linebacker,6-3.25,220.0,Fr.,"Skokie, Ill. / Evanston Township",,,
57,,33.0,Cedric Gray,Linebacker,6-2,230.0,Jr.,"Charlotte, N.C. / Ardrey Kell",,,
58,,34.0,Gabe Stephens,Jack,6-3.25,225.0,R-Fr.,"Mount Holly, N.C. / Mountain Island Charter",,,
59,,35.0,Jaden Selby,Defensive Back,6-0,175.0,Fr.,"Potomac, Md. / Winston Churchill",,,
60,,36.0,Jalen Brooks,Linebacker,5-10.5,235.0,So.,"Knightdale, N.C. / Cardinal Gibbons",,,
61,,38.0,Aiden Cloninger,Wide Receiver,5-11.5,180.0,Fr.,"Gastonia, N.C. / East Gaston",,,
62,,38.0,Val Edwards,Defensive Back,6-1.5,200.0,Jr.,"Raleigh, N.C. / Ravenscroft",,,
63,,40.0,Major Byrd,Defensive Back,5-9.75,190.0,Fr.,"Chicago, Ill. / Myers Park",,,
64,,41.0,Kedrick Bingley-Jones,Defensive Line,6-4,315.0,So.,"Concord, N.C. / Providence Day",,,
65,,43.0,Garrett Jordan,Deep Snapper,6-1,225.0,Fr.,"Waxhaw, N.C. / Marvin Ridge",,,
66,,44.0,Randy 'Deuce' Caldwell,Linebacker,6-0,225.0,Fr.,"Mauldin, S.C. / Mauldin",,,
67,,45.0,Jake Harkleroad,Linebacker,5-10.5,215.0,Jr.,"Charlotte, N.C. / Myers Park",,,
68,,47.0,CJ Murphy,Linebacker,6-1.5,225.0,Fr.,"Bryn Mawr, Pa. / Radnor",,,
69,,48.0,Milad Aghaiepour,Linebacker,5-10.5,215.0,So.,"Chapel Hill, N.C. / Chapel Hill",,,
70,,51.0,Raymond Vohasek,Defensive Line,6-2.75,310.0,Gr.,"McHenry, Ill. / McHenry/College of Dupage",,,
71,,52.0,Jonathan Adorno,Offensive Line,6-4.25,305.0,Jr.,"Raleigh, N.C. / Rolesville",,,
72,,52.0,Jahlil Taylor,Defensive Line,5-11.75,295.0,Sr.,"Vienna, Ga. / Crisp County",,,
73,,53.0,Gibson Macrae,Linebacker,5-11,215.0,R-Fr.,"Pinehurst, N.C. / Pinecrest",,,
74,,54.0,Chance Carroll,Offensive Line,6-2.25,295.0,So.,"Mooresville, N.C. / Hough",,,
75,,55.0,Zach Rice,Offensive Line,6-5,320.0,Fr.,"Lynchburg, Va. / Liberty Christian Academy",,,
76,,55.0,Keeshawn Silver,Defensive Line,6-4.75,315.0,R-Fr.,"Rocky Mount, N.C. / Rocky Mount",,,
77,,56.0,Tomari Fox,Defensive Line,6-2.25,290.0,Sr.,"Lawrenceville, Ga. / Collins Hill",,,
78,,57.0,Cayden Baker,Offensive Line,6-6,315.0,So.,"Fort Myers, Fla. / Fort Myers",,,
79,,60.0,Carter Kulka,Offensive Line,6-2.75,260.0,R-Fr.,"Atlanta, Ga. / Woodward Academy",,,
