,Statistic,#,Full Name,Pos.,Ht.,Wt.,Elig.,Hometown,Current School Name,High School,Previous School,Image,Name,Title
0,,48.0,Nick Alvarado,LB,6-0,214.0,So.,"Bloomfield, N.J.",Northern Illinois,Don Bosco Prep,,,,
1,,5.0,Gabriel Amegatcher,CB,6-2,200.0,R-Sr.,"Romeoville, Ill.",Northern Illinois,Lockport Township,Nebraska-Kearney,,,
2,,88.0,Malik Armstrong,WR,6-0,175.0,R-Fr.,"Joliet, Ill.",Northern Illinois,Minooka Community,,,,
3,,15.0,Santana Banner,S,6-3,192.0,Fr.,"Flint, Mich.",Northern Illinois,Mountain View,,,,
4,,81.0,Grayson Barnes,TE,6-5,209.0,Jr.,"Rocklin, Calif.",Northern Illinois,Rocklin,American River CC,,,
5,,19.0,Isaiah Bragg,WR,5-9,175.0,R-So.,"Chicago, Ill.",Northern Illinois,Saint Rita of Cascia,,,,
6,,1.0,Antario Brown,RB,5-10,218.0,Jr.,"Savannah, Ga.",Northern Illinois,Beach,,,,
7,,6.0,CJ Brown,S,5-11,190.0,Sr.,"Canton, Mich.",Northern Illinois,Walled Lake Western,,,,
8,,20.0,Tyler Brueckner,WR,6-0,194.0,R-So.,"DeKalb, Ill.",Northern Illinois,Aurora Christian,,,,
9,,60.0,Evan Buss,OL,6-6,309.0,Jr.,"Kimberly, Wis.",Northern Illinois,Kimberly,,,,
10,,2.0,Javaughn Byrd,CB,6-0,191.0,Jr.,"Milwaukee, Wis.",Northern Illinois,Rufus King,,,,
11,,47.0,Drew Cassens,TE,6-2,241.0,Jr.,"Downers Grove, Ill.",Northern Illinois,Downers Grove North,,,,
12,,76.0,John Champe,OL,6-4,321.0,Jr.,"Brookfield, Wis.",Northern Illinois,Brookfield East,,,,
13,,33.0,Andre Cobb,CB,6-1,175.0,R-Fr.,"Naperville, Ill.",Northern Illinois,Neuqua Valley,,,,
14,,13.0,Nevan Cremascoli,QB,6-2,215.0,R-Fr.,"Winnetka, Ill.",Northern Illinois,New Trier,,,,
15,,93.0,Cameron Crowell,DE,6-3,253.0,R-Fr.,"Columbus, Ga.",Northern Illinois,Carver,,,,
16,,55.0,Abiathar Curry,OL,6-3,295.0,R-Fr.,"Janesville, Wis.",Northern Illinois,Parker,,,,
17,,18.0,"Cam'Ron ""Shaad"" Dabney",CB,5-11,179.0,Jr.,"Atlanta, Ga.",Northern Illinois,Cherokee Bluff,Kansas,,,
