,Number,Name,POSITION,Height,Weight,Class,Hometown,High School,Current School Name,Social,Position
0,0.0,Xavier Watts,S,5-11 3/4,198.0,Senior/Junior,"Omaha, NE",Harry A. Burke,Notre Dame,,
1,0.0,Deion Colzie,WR,6-4 3/4,211.0,Junior/Junior,"McDonough, GA",Athens Academy,Notre Dame,,
2,1.0,Javontae Jean-Baptiste,DL,6-4 /2,255.0,Graduate Student/*Senior,"Spring Valley, NY",Bergen Catholic/Ohio State,Notre Dame,,
3,2.0,Chris Tyree,RB/WR,5-9 1/2,192.0,Senior/Senior,"Chester, VA",Thomas Dale,Notre Dame,,
4,2.0,DJ Brown,S,6-0 3/8,200.0,Graduate Student/*Senior,"Annapolis, MD",St. John's College,Notre Dame,,
5,3.0,Jaylen Sneed,LB,6-1 1/8,217.0,Sophomore/Freshman,"Hilton Head Island, SC",Hilton Head HS,Notre Dame,,
6,3.0,Logan Diggs,RB,6-0,214.0,Junior/Junior,"Boutte, LA",Archbishop Rummel,Notre Dame,,
7,4.0,Lorenzo Styles,WR,6-1 1/8,192.0,Junior/Junior,"Pickerington, OH",Pickerington Central,Notre Dame,,
8,5.0,Tobias Merriweather,WR,6-4,205.0,Sophomore/Sophomore,"West Camas, WA",Union HS,Notre Dame,,
9,5.0,Cam Hart,CB,6-2 1/2,202.0,Graduate Student/Senior,"Baltimore, MD",Good Counsel,Notre Dame,,
10,6.0,Clarence Lewis,CB,5-11 1/2,196.0,Senior/Senior,"Edison, NJ",Mater Dei,Notre Dame,,
11,7.0,Jaden Mickey,CB,5-11 1/2,177.0,Sophomore/Sophomore,"Eastvale, CA",Centennial,Notre Dame,,
12,7.0,Audric Estimé,RB,5-11 1/2,227.0,Junior/Junior,"Nyack, NY",St. Joseph Regional,Notre Dame,,
13,8.0,Kenny Minchey,QB,6-1 5/8,215.0,Freshman/Freshman,"Hendersonville, TN",John Paul Pope II,Notre Dame,,
14,8.0,Marist Liufau,LB,6-2 1/4,235.0,Graduate Student/Senior,"Kalihi, HI",Punahou,Notre Dame,,
15,9.0,Eli Raridon,TE,6-6 3/4,249.0,Sophomore/Sophomore,"Des Moines, IA",Valley HS,Notre Dame,,
16,10.0,Prince Kollie,LB,6-0 1/2,228.0,Junior/Junior,"Jonesborough, TN",David Crockett,Notre Dame,,
17,10.0,Sam Hartman,QB,6-1 1/8,210.0,Graduate Student/*Senior,"Charlotte, NC",Oceanside Collegiate/Wake Forest,Notre Dame,,
18,11.0,Ramon Henderson,S,6-1,190.0,Senior/Senior,"Bakersfield, CA",Liberty,Notre Dame,,
19,12.0,Jordan Botelho,DL,6-2 1/2,255.0,Senior/Senior,"Honolulu, HI",Saint Louis,Notre Dame,,
20,12.0,Tyler Buchner,QB,6-1,215.0,Junior/Sophomore,"San Diego, CA",The Bishop's School,Notre Dame,,
21,13.0,Gi'Bran Payne,RB,5-9 1/8,204.0,Sophomore/Freshman,"Cincinnati, OH",LaSalle,Notre Dame,,
22,13.0,Thomas Harper,S,5-11,195.0,Graduate Student/*Senior,"Knoxville, TN",Karns/Oklahoma State,Notre Dame,,
