,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Custom Field 1,Hometown / High School,Previous School,Image,Title
0,,0.0,Ollie Gordon II,RB,6-1,211.0,Fr.,,"Fort Worth, TX / Euless Trinity",,,
1,,1.0,Xavier Benson,LB,6-2,224.0,R-Jr.,,"Texarkana, TX / Pleasant Grove",Texas Tech / Tyler Junior College,,
2,,2.0,Korie Black,CB,6-0,185.0,Jr.,,"Waco, TX / Connally",,,
3,,2.0,Talyn Shettron,WR,6-2,195.0,Fr.,,"Edmond, OK / Santa Fe",,,
4,,3.0,Cam Smith,CB,6-2,180.0,R-Fr.,,"Little Elm, TX / Braswell",,,
5,,4.0,Deondre Jackson,RB,5-11,215.0,R-So.,,"Stone Mountain, GA / Stephenson",Texas A&M,,
6,,4.0,Nickolas Martin,LB,6-0,215.0,R-Fr.,,"Texarkana, TX / Pleasant Grove",,,
7,,5.0,Kendal Daniels,S,6-4,205.0,R-Fr.,,"Beggs, OK / Beggs",,,
8,,5.0,Zach Middleton,RB,5-9,202.0,R-So.,,"Tulsa, OK / Bishop Kelley",,,
9,,6.0,Lyrik Rawls,S,6-1,212.0,R-Fr.,,"Jefferson, TX / Marshall",,,
10,,8.0,Braydon Johnson,WR,6-0,205.0,R-Sr.,*,"Arlington, TX / Bowie",,,
11,,8.0,D.J. McKinney,CB,6-0,174.0,Fr.,,"Colleyville, TX / Colleyville Heritage",,,
12,,9.0,Brock Martin,DE,6-3,245.0,R-Sr.,*,"Oologah, OK / Oologah",,,
13,,10.0,Rashod Owens,WR,6-2,215.0,R-So.,,"San Antonio, TX / Roosevelt",,,
14,,10.0,Kale Smith,CB,5-11,170.0,R-Fr.,,"Oklahoma City, OK / Midwest City",,,
15,,11.0,Lamont Bishop,LB,6-2,235.0,R-Sr.,,"Country Club Hills, IL / Hillcrest",Iowa Central CC,,
16,,11.0,Tabry Shettron,CW,6-4,230.0,Fr.,,"Edmond, OK / Santa Fe",,,
17,,12.0,Gunnar Gundy,QB,6-1,200.0,R-Fr.,,"Stillwater, OK / Stillwater",,,
18,,13.0,Garret Rangel,QB,6-2,181.0,Fr.,,"Frisco, TX / Lone Star",,,
19,,14.0,Nick Session,S,6-0,190.0,R-So.,,"Gardena, CA / East (UT)",,,
20,,15.0,Rylan McQuarters,WR,5-7,173.0,R-Sr.,,"Tulsa, OK / Booker T. Washington",Northeastern Oklahoma A&M,,
21,,15.0,Ty Williams,S,6-0,195.0,R-Fr.,,"Muskogee, OK / Muskogee",,,
22,,16.0,Trey Rucker,S,6-0,195.0,Sr.,,"Fairfax, VA / Flint Hill",Wake Forest,,
23,,16.0,Landon Webster,QB,6-2,190.0,Fr.,,"Little Elm, TX / Little Elm",Gordon Prep,,
24,,18.0,Sean Michael Flanagan,S,6-1,210.0,R-Sr.,,"Charleston, AR / Charleston",,,
25,,18.0,Gavynn Parker,QB,6-5,210.0,Fr.,,"Hooker, OK / Hooker",,,
26,,19.0,Alex Hale,K,6-0,204.0,R-Sr.,,"Point Frederick, NSW, Australia / St. Edward's",,,
27,,20.0,DeSean Buckner,CB,6-0,205.0,R-So.,,"Pine Bluff, AR / White Hall",,,
28,,22.0,Donte Buckner,RB,5-11,200.0,R-So.,,"Pine Bluff, AR / White Hall",Arkansas,,
29,,23.0,Cameron Epps,CB,6-3,194.0,Fr.,,"St. Louis, MO / Chaminade",,,
30,,23.0,Jaden Nixon,RB,5-10,185.0,R-Fr.,,"Dallas, TX / Lone Star",,,
31,,24.0,De’kelvion Beamon,CB,6-0,203.0,R-Fr.,,"Shreveport, LA / Huntington",,,
32,,24.0,CJ Brown,RB,5-10,175.0,Fr.,,"Beggs, OK / Beggs",,,
33,,25.0,Jason Taylor II,S,6-0,215.0,R-Sr.,,"Oklahoma City, OK / Carl Albert",,,
34,,25.0,Andre Washington,RB,6-0,195.0,R-Jr.,,"Roanoke, TX / Liberty Christian",,,
35,,26.0,Jordan Reagan,CB,6-1,180.0,R-So.,,"Okmulgee, OK / Bixby",,,
36,,27.0,Raymond Gay II,S,5-10,180.0,R-Fr.,,"Red Oak, TX / Red Oak",,,
37,,27.0,Ethan Washington,RB,6-0,195.0,Fr.,,"Tulsa, OK / Booker T. Washington",,,
38,,28.0,Blaine Green,CW,6-1,220.0,So.,,"Allen, TX / Allen",,,
39,,28.0,Eli Williams,S,6-1,170.0,Fr.,,"Stillwater, OK / Stillwater",,,
40,,29.0,Tom Hutton,P,6-3,201.0,Sr.,,"Newborough, VI, Australia / ProKick",,,
41,,29.0,Cole Stanley,CB,5-10,175.0,R-So.,,"Stephenville, TX / Stephenville",,,
42,,30.0,Collin Oliver,DE,6-2,235.0,So.,,"Oklahoma City, OK / Edmond Santa Fe",,,
43,,31.0,Chance Clements,LB,6-2,205.0,Fr.,,"Stillwater, OK / Stillwater",,,
44,,32.0,Clayton Barbour,WR,5-10,180.0,R-Jr.,,"Bixby, OK / Bixby",,,
45,,32.0,Gabe Brown,LB,6-2,220.0,Fr.,,"Stillwater, OK / Stillwater",,,
46,,33.0,Donovan Stephens,LB,6-0,220.0,R-Fr.,,"Del City, OK / Del City",,,
47,,36.0,Vance Hooper,WR,6-1,195.0,R-Sr.,*,"McKinney, TX / Heritage",Southern Nazarene,,
48,,37.0,Isreal Isuman-Hundley,DE,6-5,257.0,R-Jr.,,"Colleyville, TX / Heritage",,,
49,,37.0,Seth Swirczynski,WR,5-11,185.0,Fr.,,"Muenster, TX / Sacred Heart",,,
50,,38.0,Carter Barnard,S,5-10,180.0,R-Fr.,,"Stillwater, OK / Stillwater",,,
51,,38.0,Jake Schultz,CW,6-3,235.0,R-Jr.,,"Prague, OK / Prague",,,
52,,39.0,Peyton Kramer,WR,5-11,175.0,R-Fr.,,"Fort Worth, TX / All Saints' Episcopal",,,
53,,39.0,Parker Robertson,S,5-11,180.0,R-Fr.,,"Dallas, TX / Dallas Christian",,,
54,,40.0,Garrick Martin,S,6-0,182.0,R-So.,,"Stillwater, OK / Stillwater",Emporia State,,
55,,41.0,Constantino Borrelli,LB,5-11,220.0,R-So.,,"Ramsey, NJ / Don Bosco Prep",,,
56,,42.0,Max Muehlberger,CW,6-4,215.0,Fr.,,"Overland Park, KS / Blue Valley Northwest",,,
57,,45.0,Jeff Roberson,LB,6-1,230.0,R-So.,,"Harrah, OK / Choctaw",,,
58,,46.0,Jacob Varnell,LB,5-11,210.0,Fr.,,"Guthrie, OK / Guthrie",,,
