,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown,Current School Name,High School,Previous School,Image,Name,Title
0,,0.0,Malcolm Britt,Linebacker,6-0,222.0,R-So.,"Chesapeake, Va.",Old Dominion,Oscar Smith,,,,
1,,0.0,Kadarius Calloway,Running Back,6-0,210.0,Jr.,"Philadelphia, Miss.",Old Dominion,Philadelphia,East Mississippi,,,
2,,1.0,Jordan Bly,Wide Receiver,5-10,166.0,Jr.,"Charlotte, N.C.",Old Dominion,Myers Park,,,,
3,,1.0,Terry Jones,Safety,6-1,187.0,R-Jr.,"Baltimore, Md.",Old Dominion,Mergenthaler Vo Tech,,,,
4,,2.0,LaMareon James,Cornerback,5-10,187.0,Jr.,"Norfolk, Va.",Old Dominion,Indian River,,,,
5,,3.0,Mario Easterly,Safety,6-0,178.0,R-Fr.,"Harrisburg, Pa.",Old Dominion,Bishop McDevitt,,,,
6,,3.0,Isaiah Spencer,Tight End,6-5,230.0,R-Sr.,"Gloucester, Va.",Old Dominion,Gloucester,,,,
7,,4.0,Javon Harvey,Wide Receiver,5-11,180.0,R-Jr.,"Norfolk, Va.",Old Dominion,Lake Taylor,,,,
8,,4.0,Amorie Morrison,Defensive End,6-4,244.0,R-So.,"Virginia Beach, Va.",Old Dominion,Salem,,,,
9,,5.0,Alonzo Ford Jr.,Defensive Tackle,6-3,272.0,Jr.,"Richmond, Va.",Old Dominion,Varina,,,,
10,,5.0,Isiah Paige,Wide Receiver,5-8,160.0,Jr.,"Richmond, Va.",Old Dominion,Varina,,,,
11,,6.0,MarQeese Dietz,Wide Receiver,6-0,180.0,R-So.,"Norfolk, Va.",Old Dominion,Norview,,,,
12,,7.0,Shawn Asbury II,Safety,5-9,195.0,Jr.,"Stafford, Va",Old Dominion,North Stafford,Boston College,,,
13,,7.0,Ahmarian Granger,Wide Receiver,6-1,175.0,So.,"Norfolk, Va.",Old Dominion,Maury,,,,
14,,8.0,Denzel Lowry,Defensive Tackle,6-2,280.0,R-So.,"Virginia Beach, Va.",Old Dominion,Landstown,,,,
15,,8.0,Jack Shields,Quarterback,6-1,192.0,R-So.,"Centreville, Va.",Old Dominion,Centreville,,,,
16,,9.0,Jalen Butler,Tight End,6-4,216.0,So.,"Chicago, Ill.",Old Dominion,Niles North,Trinity Valley,,,
17,,10.0,Marquez Bell,Wide Receiver,6-1,175.0,R-So.,"Lake City, Fla.",Old Dominion,Columbia HS,Cincinnati,,,
18,,11.0,Kris Caine,Defensive End,6-3,215.0,Jr.,"Waldorf, Md.",Old Dominion,Westlake,,,,
19,,12.0,Tahj Ra-El,Safety,6-2,192.0,Jr.,"Charlotte, N.C.",Old Dominion,Myers Park,,,,
20,,13.0,Alhaji Kamara,Cornerback,6-0,182.0,R-So.,"Richmond, Va.",Old Dominion,Hermitage,,,,
21,,13.0,Grant Wilson,Quarterback,6-3,208.0,Jr.,"Arlington, Va.",Old Dominion,Yorktown/Fordham,,,,
22,,14.0,MarShawn Ferguson Jr.,Wide Receiver,5-9,175.0,Fr.,"Princeton, N.J.",Old Dominion,DePaul Catholic,St. Thomas More,,,
23,,14.0,Monterio Smith,Safety,6-3,197.0,So.,"Bessemer, Ala.",Old Dominion,Shades Valley,Hutchinson,,,
24,,15.0,Wayne Matthews III,Linebacker,6-2,221.0,R-So.,"Largo, Md.",Old Dominion,Charles Herbert Flowers,,,,
