,Statistic,#,Name,Pos.,Ht.,Wt.,Year,Exp.,Current School Name,Hometown / High School,Previous School,Image,Title
0,,0.0,Joshua Harris,DT,6-4,325.0,Sr.*,TR,Ole Miss,"Roxboro, N.C. / Person",North Carolina State,,
1,,0.0,Michael Trigg,TE,6-3,240.0,Jr.,1L,Ole Miss,"Tampa, Fla. / Carrollwood Day",USC,,
2,,1.0,Isheem Young,S,5-10,215.0,Sr.*,1L,Ole Miss,"Philadelphia, Pa. / Imhotep",Iowa State,,
3,,2.0,Jaxson Dart,QB,6-2,220.0,Jr.,1L,Ole Miss,"Kaysville, Utah / Corner Canyon",USC,,
4,,2.0,Cedric Johnson,DE,6-3,265.0,Sr.*,3L,Ole Miss,"Mobile, Ala. / Davidson",,,
5,,3.0,Spencer Sanders,QB,6-1,210.0,Sr.,TR,Ole Miss,"Denton, Texas / Ryan",Oklahoma State,,
6,,4.0,Quinshon Judkins,RB,5-11,210.0,So.,1L,Ole Miss,"Pike Road, Ala. / Pike Road",,,
7,,5.0,John Saunders Jr.,CB,6-2,200.0,Sr.*,TR,Ole Miss,"High Point, N.C. / High Point Christian",Miami (Ohio),,
8,,6.0,Zamari Walton,CB,6-3,185.0,Sr.,TR,Ole Miss,"Melbourne, Fla. / Melbourne Central Catholic",Georgia Tech,,
9,,7.0,Walker Howard,QB,6-1,195.0,Fr.,TR,Ole Miss,"Lafayette, La. / St. Thomas More Catholic",LSU,,
10,,7.0,Deantre Prince,CB,6-0,185.0,Sr.,3L,Ole Miss,"Charleston, Miss. / Charleston",Northeast Mississippi CC,,
11,,8.0,Monty Montgomery,LB,5-11,220.0,Sr.,TR,Ole Miss,"Norcross, Ga. / Hutchinson",Louisville,,
12,,9.0,Tre Harris,WR,6-2,205.0,Sr.*,TR,Ole Miss,"Lafayette, La. / Comeaux",Louisiana Tech,,
13,,11.0,Jeremiah Jean-Baptiste,LB,6-2,230.0,Sr.,TR,Ole Miss,"Florida City, Fla. / South Dade",UCF,,
