,Statistic,#,Name,Pos.,Yr.,Ht.,Wt.,Hometown / High School,Previous School,Image,Title
0,,0.0,Christian Gonzalez,DB,So.,6-2,201.0,"The Colony, Texas / The Colony",Colorado,,
1,,0.0,Bucky Irving,RB,So.,5-10,194.0,"Chicago, Ill. / Hillcrest HS",Minnesota,,
2,,1.0,Kris Hutson,WR,So.,5-11,172.0,"Compton, Calif. / St. John Bosco HS",,,
3,,1.0,Noah Sewell,ILB,So.,6-2,253.0,"Malaeimi, American Samoa / Orem HS (Utah)",,,
4,,2.0,DJ Johnson,OLB,Sr.,6-4,270.0,"Sacramento, Calif. / Luther Burbank HS",Miami,,
5,,2.0,Dont'e Thornton,WR,So.,6-5,199.0,"Baltimore, Md. / Mount Saint Joseph HS",,,
6,,3.0,Brandon Dorlus,DE,Jr.,6-3,290.0,"Fort Lauderdale, Fla. / Deerfield Beach HS",,,
7,,3.0,Terrance Ferguson,TE,So.,6-5,255.0,"Littleton, Colo. / Heritage HS",,,
8,,4.0,Spencer Webb,TE,Jr.,-,,"Sacramento, Calif. / Christian Brothers HS",,,
9,,4.0,Bennett Williams,DB,Sr.,6-0,205.0,"Campbell, Calif. / St. Francis HS",Illinois/College of San Mateo,,
10,,5.0,Sean Dollars,RB,So.,5-8,199.0,"Rancho Cucamonga, Calif. / Mater Dei HS",,,
11,,5.0,Anthony Jones,OLB,Fr.,6-3,243.0,"Las Vegas, Nev. / Liberty HS",,,
12,,6.0,Isaah Crocker,WR,Jr.,6-1,183.0,"Sacramento, Calif. / Inderkum HS",,,
13,,6.0,Jahlil Florence,DB,Fr.,6-1,191.0,"Southeast San Diego, Calif. / Lincoln HS",,,
14,,7.0,Seven McGee,WR,So.,-,,"Rochester, N.Y. / East HS",,,
15,,7.0,Steve Stephens IV,DB,Jr.,6-0,197.0,"Fresno, Calif. / Edison HS",,,
16,,8.0,Dontae Manning,DB,So.,5-10,189.0,"Kansas City, Mo. / Raytown HS",,,
17,,8.0,Moliki Matavao,TE,So.,6-6,256.0,"Henderson, Nev. / Liberty HS",,,
18,,9.0,Jay Butterfield,QB,R-Fr.,6-6,216.0,"Brentwood, Calif. / Liberty HS",,,
19,,9.0,Jaden Navarrette,OLB,R-Fr.,6-3,230.0,"Norco, Calif. / Norco HS",,,
20,,10.0,Justin Flowe,ILB,R-Fr.,6-3,220.0,"Chino, Calif. / Upland HS",,,
21,,10.0,Bo Nix,QB,Sr.,6-2,213.0,"Pinson, Ala. / Pinson Valley HS",Auburn,,
22,,11.0,Trikweze Bridges,DB,So.,6-3,192.0,"Lanett, Ala. / Lanett HS",,,
23,,11.0,Troy Franklin,WR,So.,6-3,178.0,"East Palo Alto, Calif. / Menlo-Atherton HS",,,
24,,12.0,Daymon David,DB,So.,6-0,182.0,"Baltimore, Md. / Franklin HS",,,
25,,12.0,Terrell Tilmon,TE,So.,6-5,221.0,"Mansfield, Texas / Mansfield Timberview HS",,,
26,,12.0,Jake Van Dyne,QB,So.,6-2,187.0,"Kansas City, Mo. / Liberty North HS",Missouri State,,
27,,13.0,Bryan Addison,DB,Jr.,6-5,195.0,"Gardena, Calif. / Junipero Serra HS",,,
28,,13.0,Ty Thompson,QB,R-Fr.,6-4,224.0,"Gilbert, Ariz. / Mesquite HS",,,
29,,14.0,Justius Lowe,WR,Fr.,6-1,182.0,"Portland, Ore. / Lake Oswego HS",,,
30,,14.0,Khamari Terrell,DB,Fr.,6-1,174.0,"Killeen, Texas / Shoemaker HS",,,
31,,15.0,Isaiah Brevard,WR,R-Fr.,6-3,196.0,"Memphis, Tenn. / Southhaven HS (Miss.)",,,
32,,16.0,Marcus Sanders,QB,Fr.,6-5,228.0,"Union City, Calif. / James Logan HS",,,
33,,17.0,Kyler Kasper,WR,Fr.,6-6,193.0,"Gilbert, Ariz. / Williams Field HS",,,
34,,17.0,Jabril McNeill,OLB,So.,6-4,230.0,"Raleigh, N.C. / Sanderson HS",,,
35,,18.0,Mase Funa,OLB,Jr.,6-3,255.0,"Anaheim, Calif. / Mater Dei HS",,,
36,,19.0,Caleb Chapman,WR,Sr.,6-5,218.0,"Clear Lake, Texas / Clear Brook HS",Texas A&M,,
37,,19.0,Jamal Hill,DB,Jr.,6-0,211.0,"Rex, Ga. / Morrow HS",,,
38,,20.0,Jordan James,RB,Fr.,5-10,210.0,"Nashville, Tenn. / Oakland HS",,,
39,,20.0,Jalil Tucker,DB,Fr.,6-0,165.0,"San Diego, Calif. / Lincoln HS",,,
40,,21.0,Keith Brown,ILB,So.,6-1,235.0,"Lebanon, Ore. / Lebanon HS",,,
41,,21.0,Byron Cardwell,RB,So.,6-0,206.0,"San Diego, Calif. / Morse HS",,,
42,,22.0,Darren Barkins,DB,R-Fr.,5-9,170.0,"Spring Valley, Calif. / Mater Dei Catholic HS",,,
43,,22.0,Noah Whittington,RB,So.,5-8,194.0,"Fort Valley, Ga. / Peach County HS",Western Kentucky,,
44,,23.0,Chase Cota,WR,Sr.,6-4,200.0,"Medford, Ore. / South Medford HS",UCLA,,
45,,23.0,Trejon Williams,DB,Fr.,5-11,187.0,"Portland, Ore. / Jefferson HS",,,
46,,24.0,JJ Greenfield,DB,R-Fr.,6-1,178.0,"Crenshaw, Calif. / Narbonne HS",,,
47,,25.0,Brison Cobbins,RB,So.,5-8,193.0,"Kansas City, Kan. / Bishop Miege HS",Missouri Western,,
48,,25.0,Jonathan Flowe,DB,R-Fr.,6-1,209.0,"Chino, Calif. / Upland HS",,,
49,,26.0,Ellis Bynum,RB,Fr.,5-8,187.0,"Portland, Ore. / Central Catholic HS",,,
50,,26.0,Devon Jackson,ILB,Fr.,6-2,214.0,"Omaha, Neb. / Burke HS",,,
51,,27.0,Marko Vidackovic,DB,R-Fr.,6-1,192.0,"Stuttgart, Germany / Lincoln HS (Ore.)",,,
52,,28.0,Preston Alford,RB,Fr.,5-10,194.0,"Dripping Springs, Texas / Dripping Springs HS",,,
53,,28.0,Avante Dickerson,DB,So.,6-0,173.0,"Omaha, Neb. / Westside HS",,,
54,,29.0,Kilohana Haasenritter,RB,R-Fr.,5-8,189.0,"Hilo, Hawai'i / Hilo HS",Hawaii,,
55,,29.0,Dominic Stephens,DB,Fr.,6-1,181.0,"Fort Lauderdale, Fla. / American Heritage",,,
56,,30.0,Donovan Dalton,DB,Sr.,6-3,208.0,"Apple Valley, Minn. / Saguaro HS",Hawaii,,
