,Statistic,#,Full Name,Pos.,Exp.,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
0,,1.0,KeAndre Lambert-Smith,WR,Jr.,6-1,184.0,"Norfolk, Va. / Maury",Penn State,,,,
1,,1.0,Jaylen Reed,S,Jr.,6-0,208.0,"Detroit, Mich. / Martin Luther King High School",Penn State,,,,
2,,2.0,Liam Clifford,WR,R-So.,6-1,196.0,"Maineville, Ohio / St. Xavier High School",Penn State,,,,
3,,2.0,Keaton Ellis,S,Sr.,5-11,191.0,"State College, Pa. / State College Area",Penn State,,,,
4,,3.0,Johnny Dixon,CB,Sr.,6-0,193.0,"Tampa, Fla. / Chamberlain",Penn State,South Carolina,,,
5,,4.0,Kalen King,CB,Jr.,5-11,190.0,"Detroit, Mich. / Cass Tech",Penn State,,,,
6,,5.0,Omari Evans,WR,So.,6-0,189.0,"Killeen, Texas / Shoemaker",Penn State,,,,
7,,5.0,Cam Miller,CB,So.,6-0,181.0,"Fernandina Beach, Fla. / Trinity Christian Academy",Penn State,,,,
8,,6.0,Harrison Wallace III,WR,R-So.,6-1,196.0,"Montgomery, Ala. / Pike Road High School",Penn State,,,,
9,,6.0,Zakee Wheatley,S,R-So.,6-2,194.0,"Crofton, Md. / Archbishop Spalding High School",Penn State,,,,
10,,7.0,Kaden Saunders,WR,R-Fr.,5-10,172.0,"Columbus, Ohio / Westerville South",Penn State,,,,
11,,8.0,Tyler Johnson,WR,R-Fr.,6-0,195.0,"Martinsville, Va / Magna Vista",Penn State,,,,
12,,9.0,Beau Pribula,QB,R-Fr.,6-2,206.0,"York, Pa. / Central York",Penn State,,,,
13,,10.0,Mehki Flowers,S,R-Fr.,6-0,196.0,"Harrisburg, Pa. / Central Dauphin East",Penn State,,,,
14,,10.0,Nicholas Singleton,RB,So.,6-0,228.0,"Shillington, Pa. / Governor Mifflin",Penn State,,,,
15,,11.0,Abdul Carter,LB,So.,6-3,249.0,"Philadelphia, Pa. / La Salle College",Penn State,,,,
16,,11.0,Malik McClain,WR,Jr.,6-4,202.0,"Daphne, Ala. / IMG Academy (Fla.)",Penn State,Florida State,,,
17,,12.0,Anthony Ivey,WR,R-Fr.,5-11,182.0,"Lancaster, Pa. / Manheim Township",Penn State,,,,
18,,12.0,Zion Tracy,CB,Fr.,5-11,176.0,"Hempstead, N.Y. / St. Thomas More (Conn.)",Penn State,,,,
19,,13.0,Kaytron Allen,RB,So.,5-11,218.0,"Norfolk,Va. / IMG Academy",Penn State,,,,
20,,13.0,Cristian Driver,ATH,R-Fr.,5-11,192.0,"Flower Mound, Texas / Liberty Christian",Penn State,,,,
21,,13.0,Tony Rojas,LB,Fr.,6-2,214.0,"Fairfax, Va. / Fairfax",Penn State,,,,
