,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown / High School,Current School Name,Headshot,Image,Name,Title
0,,2.0,David Green,DL,R-Sr.,6-1,285.0,"West Mifflin, PA / Pittsburgh Central Catholic",Pittsburgh,,,,
1,,3.0,Donovan McMillon,DB,Jr.,6-2,210.0,"McMurray, PA / Peters Township",Pittsburgh,,,,
2,,4.0,Daniel Carter,RB,R-Sr.,5-10,240.0,"Margate, FL / St. Thomas Aquinas",Pittsburgh,,,,
3,,4.0,Nahki Johnson,DL,R-So.,6-2,255.0,"Pittsburgh, PA / West Mifflin",Pittsburgh,,,,
4,,5.0,Phil Jurkovec,QB,R-Sr.,6-5,235.0,"Pittsburgh, PA / Pine-Richland",Pittsburgh,,,,
5,,6.0,Rodney Hammond Jr.,RB,Jr.,5-9,200.0,"Norfolk, VA / Booker T. Washington",Pittsburgh,,,,
6,,8.0,Karter Johnson,TE,R-Sr.,6-2,265.0,"Pickerington, OH / Pickerington Central",Pittsburgh,,,,
7,,9.0,Konata Mumpfield,WR,Jr.,6-1,180.0,"Hoschton, GA / Dacula",Pittsburgh,,,,
8,,9.0,A.J. Woods,DB,R-Sr.,5-11,195.0,"Germantown, MD / Northwest",Pittsburgh,,,,
9,,11.0,Bangally Kamara,LB,Sr.,6-2,225.0,"Akron, OH / East",Pittsburgh,,,,
10,,11.0,Christian Veilleux,QB,R-So.,6-4,220.0,"Ottawa, Ontario / Bullis School (MD)",Pittsburgh,,,,
11,,12.0,M.J. Devonshire,DB,R-Sr.,5-11,190.0,"Aliquippa, PA / Aliquippa",Pittsburgh,,,,
12,,14.0,Ty Dieffenbach,QB,Fr.,6-6,210.0,"Calabasas, CA / Agoura",Pittsburgh,,,,
13,,14.0,Marquis Williams,DB,R-Sr.,5-9,180.0,"Pompano Beach, FL / Cardinal Gibbons",Pittsburgh,,,,
14,,15.0,Rashad Battle,DB,R-Jr.,6-3,205.0,"Atlanta, GA / Creekside",Pittsburgh,,,,
15,,15.0,Bub Means,WR,R-Sr.,6-2,215.0,"Lovejoy, GA / Lovejoy",Pittsburgh,,,,
16,,16.0,David Lynch,QB,Fr.,6-3,220.0,"East Greenwich, RI / Bishop Hendricken",Pittsburgh,,,,
17,,16.0,Nate Temple,DL,R-Sr.,6-4,245.0,"Abbeville, SC / Abbeville",Pittsburgh,,,,
18,,17.0,Jake Frantl,QB,R-So.,6-0,205.0,"Erin, WI / Hartford Union",Pittsburgh,,,,
19,,17.0,Samuel Okunlola,DL,R-Fr.,6-4,245.0,"Brockton, MA / Thayer Academy",Pittsburgh,,,,
20,,18.0,Ryland Gandy,DB,R-Fr.,6-0,180.0,"Buford, GA / Buford",Pittsburgh,,,,
21,,18.0,Eli Kosanovich,QB,R-Sr.,6-2,210.0,"Aliquippa, PA / Aliquippa",Pittsburgh,,,,
22,,19.0,Jahvante Royal,WR,R-Jr.,6-3,195.0,"Miramar, FL / St. Thomas Aquinas",Pittsburgh,,,,
