,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
0,,5.0,Kessawn Abraham,DB,Sr.,5-10,190.0,"Brooklyn, N.Y. / Erasmus Hall",Rutgers,,,,
1,,92.0,Mayan Ahanotu,DL,Sr.,6-4,290.0,"Tampa, Fla. / Berkeley Prep",Rutgers,,,,
2,,42.0,DJ Allen,DL,So.,6-7,250.0,"Leo, Ind. / Leo HS",Rutgers,,,,
3,,75.0,Jacob Allen,OL,So.,6-6,290.0,"Spotswood, N.J. / The Hun School",Rutgers,,,,
4,,25.0,Charles Amankwaa,DB,Sr.,5-11,190.0,"Hillsborough, N.J. / Hillsborough",Rutgers,Monroe College,,,
5,,24.0,Thomas Amankwaa,DB,So.,6-0,205.0,"Hillsborough, N.J. / Hillsborough",Rutgers,,,,
6,,55.0,Zaire Angoy,DL,Jr.,6-3,315.0,"Irvington, N.J. / Irvington",Rutgers,,,,
7,,95.0,Flynn Appleby,P,So.,6-2,205.0,"Cohuna, Victoria, Australia / Ballarat Clarendon College",Rutgers,,,,
8,,69.0,Kwabena Asamoah,OL,So.,6-2,320.0,"Pickerington, Ohio / Pickerington Central",Rutgers,,,,
9,,50.0,Jordan Augustin,DL,So.,6-3,270.0,"Newark, N.J. / Weequahic",Rutgers,,,,
10,,23.0,Wesley Bailey,DL,Jr.,6-5,250.0,"Ottawa, Ontario, Canada / Clearwater Academy International [Fla.]",Rutgers,,,,
11,,32.0,Charlie Barth,RB,So.,5-11,215.0,"New Providence, N.J. / New Providence",Rutgers,,,,
12,,20.0,Ja'shon Benjamin,RB,Fr.,5-9,195.0,"Pahokee, Fla. / Pahokee",Rutgers,,,,
13,,11.0,Logan Blake,TE,Fr.,6-6,230.0,"Frenchtown, N.J. / The Hun School",Rutgers,,,,
14,,84.0,Gunnison Bloodgood,WR,Jr.,5-10,170.0,"Los Angeles, Calif. / St. John Vianney (N.J.)",Rutgers,Santa Monica CC,,,
15,,19.0,Todd Bowles Jr.,DB,Jr.,5-11,185.0,"Tampa, Fla. / Jesuit",Rutgers,,,,
16,,7.0,Dylan Braithwaite,WR,Fr.,5-10,175.0,"Valley Stream, N.Y. / Holy Trinity",Rutgers,,,,
17,,28.0,Naseim Brantley,WR,Sr.,6-2,205.0,"Farmingdale, N.J. / Howell",Rutgers,,,,
18,,57.0,Ireland Brown,OL,Sr.,6-3,295.0,"Jamaica, N.Y. / Pope John XXIII",Rutgers,,,,
19,,27.0,Samuel Brown V,RB,So.,6-1,220.0,"Philadelphia, Pa. / La Salle College HS",Rutgers,,,,
