,Statistic,#,Name,Pos,Ht,Wt,Cl-Exp,Hometown / Previous School,Image,Title
0,,0.0,Bryan Massey,S,5-11,188.0,SR-3L,"Katy, Texas / Katy",,
1,,0.0,Camar Wheaton,RB,5-10,185.0,SO-1L,"Garland, Texas / Alabama / Lakeview Centennial",,
2,,1.0,Brandon Crossley,S,6-0,186.0,SR-3L,"Dallas, Texas / Colorado State / Little Elm",,
3,,1.0,Jordan Kerley,WR,6-2,189.0,SR-2L,"Austin, Texas / Arizona State / McNeil",,
4,,2.0,Jonathan McGill,S,5-10,180.0,SR-GT,"Coppell, Texas / Stanford / Coppell",,
5,,2.0,Preston Stone,QB,6-1,209.0,SO-1L,"Dallas, Texas / Parish Episcopal",,
6,,3.0,Romello Brinson,WR,6-2,180.0,JR-TR,"Miami, Fla. / Miami / Miami Northwestern",,
7,,3.0,Charles Woods,CB,5-11,185.0,SR-GT,"Dallas, Texas / West Virginia / Illinois State / Justin F. Kimball",,
8,,4.0,Jaylan Knighton,RB,5-10,180.0,SR-TR,"Lauderhill, Fla. / Miami / Deerfield Beach",,
9,,4.0,Jahari Rogers,CB,6-0,188.0,JR-2L,"Arlington, Texas / Florida / Arlington",,
10,,5.0,Moochie Dixon,WR,6-0,185.0,JR-1L,"Carthage, Texas / Texas / Carthage",,
11,,5.0,Elijah Roberts,DL,6-4,275.0,SR-TR,"Miami, Fla. / Miami / Christopher Columbus",,
12,,6.0,Jordan Miller,DL,6-3,315.0,SR-GT,"Jacksonville, Fla. / Miami / Sandlewood",,
13,,7.0,Kevin Jennings,QB,6-0,179.0,FR-RS,"Oak Cliff, Texas / South Oak Cliff",,
14,,7.0,Bryce McMorris,CB,6-1,174.0,SO-1L,"Cypress, Texas / Bridgeland",,
15,,8.0,JaQwondis Burns,LB,6-2,231.0,JR-1L,"Terrell, Texas / Minnesota / IMG Academy",,
16,,9.0,Nelson Paul,DE,6-2,230.0,SR-4L,"Bunnell, Fla. / Flagler Palm Coast",,
17,,9.0,Key'Shawn Smith,WR,6-1,180.0,SR-TR,"San Diego, Calif. / Miami / Lincoln",,
18,,10.0,David Abiara,DE,6-5,264.0,FR-TR,"Mansfield, Texas / Texas / Legacy",,
19,,10.0,Dylan Goffney,WR,6-1,213.0,JR-2L,"Cypress, Texas / Bridgeland",,
20,,11.0,"LJ Johnson, Jr.",RB,5-10,210.0,SO-TR,"Cypress, Texas / Texas A&M / Cy-Fair",,
21,,11.0,Je'lin Samuels,DE,6-7,240.0,SO-1L,"Pasadena, Texas / Sam Rayburn",,
22,,12.0,Jake Bailey,WR,5-10,183.0,SR-TR,"San Clemente, Calif. / Rice / St. John Bosco",,
23,,12.0,Isaiah Nwokobia,S,6-1,193.0,SO-1L,"Dallas, Texas / Skyline",,
24,,13.0,"Roderick Daniels, Jr.",WR,5-9,182.0,JR-2L,"Duncanville, Texas / Duncanville",,
25,,13.0,Jaelyn Davis-Robinson,CB,6-1,185.0,FR-TR,"Waxahachie, Texas / LSU / Waxahachie",,
26,,14.0,AJ Davis,CB,5-10,179.0,FR-HS,"Dallas, Texas / Skyline",,
