,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Exp.,Current School Name,Hometown,High School,Previous School,Image,Name,Title
0,,2.0,Jaylon Armstead,RB,5-11,220.0,Jr.,2L,San Diego State,"Los Angeles, Calif.",Serra High,,,,
1,,2.0,Patrick McMorris,S,6-0,210.0,Sr.,4L,San Diego State,"Santa Ana, Calif.",Santa Ana High,,,,
2,,3.0,Cedarious Barfield,S,5-11,195.0,Sr.,4L,San Diego State,"El Paso, Texas",El Dorado High,,,,
3,,4.0,Liu Aumavae,QB,6-3,205.0,R-Fr.,RS,San Diego State,"Waldorf, Md.",Timpview High (Utah),,,,
4,,4.0,Dezjhon Malone,CB,6-2,200.0,Jr.,2L,San Diego State,"Fresno, Calif.",Edison High,,,,
5,,5.0,Raphael Williams Jr.,WR,5-10,165.0,Jr.,TR,San Diego State,"Ft. Lauderdale, Fla.",Dillard High,Western Carolina,,,
6,,7.0,Lucky Sutton,RB,6-1,210.0,R-Fr.,RS,San Diego State,"San Diego, Calif.",Cathedral Catholic High,,,,
7,,9.0,Kyle Crum,QB,6-3,205.0,R-Fr.,RS,San Diego State,"Norco, Calif.",Norco High,,,,
8,,10.0,Tobin O'Dell,QB,6-2,200.0,R-Fr.,RS,San Diego State,"La Puenta, Calif.",Bishop Amat High,,,,
9,,10.0,Noah Tumblin,CB,6-2,185.0,Sr.,3L,San Diego State,"San Diego, Calif.",Mira Mesa HS,,,,
10,,11.0,Brionne Penny,WR,6-3,205.0,Sr.,1L,San Diego State,"Norwalk, Calif.",Narbonne High,,,,
11,,12.0,Dallas Branch,CB,5-11,180.0,Sr.,3L,San Diego State,"Redondo Beach, Calif.",Salesian High,Long Beach City College,,,
12,,13.0,Jack Browning,K/P,5-11,190.0,Sr.,2L,San Diego State,"Lakeside, Calif.",West Hills HS,Grossmont College,,,
13,,13.0,Hassan Mahasin,WR,5-10,175.0,R-Fr.,RS,San Diego State,"Daly City, Calif.",Serra High,,,,
14,,16.0,DJ Ralph,QB,6-2,195.0,So.,RS,San Diego State,"San Diego, Calif.",Cathedral Catholic High,Saddleback College,,,
15,,17.0,Noah Avinger,CB,6-1,190.0,Jr.,2L,San Diego State,"Cerritos, Calif.",Servite High,,,,
16,,18.0,Jalen Mayden,QB,6-3,220.0,Sr.,1L,San Diego State,"Garland, Texas",Sachse High,Mississippi State,,,
17,,19.0,Kyron White,LB,5-11,210.0,Sr.,3L,San Diego State,"Fort Worth, Texas",Arlington High,,,,
18,,20.0,Sheldon Canley II,RB,5-10,165.0,R-Fr.,RS,San Diego State,"Lompoc, Calif.",Lompoc High,,,,
19,,20.0,Jatavious Magee,S,6-1,205.0,So.,1L,San Diego State,"Federal Way, Wash.",Federal Way High,,,,
20,,21.0,Chris Johnson,CB,6-0,170.0,So.,1L,San Diego State,"Eastvale, Calif.",Eleanor Roosevelt High,,,,
21,,22.0,Max Garrison,S,5-10,185.0,So.,1L,San Diego State,"Pasadena, Calif.",St. Francis High,,,,
22,,23.0,Kenan Christon,RB,5-10,185.0,Sr.,1L,San Diego State,"San Diego, Calif.",Madison High,USC,,,
23,,24.0,Josh Hunter,S,5-9,175.0,R-Fr.,RS,San Diego State,"Temecula, Calif.",Mater Dei High,,,,
24,,26.0,Nick Gardinera,RB,5-10,200.0,R-Fr.,RS,San Diego State,"San Diego, Calif.",Scripps Ranch High,,,,
25,,26.0,Joshua Goynes,CB,5-10,185.0,So.,SQ,San Diego State,"Las Vegas, Nev.",Faith Lutheran High,,,,
26,,27.0,D'Andre Edwards,WR,6-5,205.0,R-Fr.,RS,San Diego State,"Nanuet, N.Y.",Nanuet Senior High,,,,
27,,27.0,Jelani McLaughlin,S,6-0,190.0,Fr.,HS,San Diego State,"San Jacinto, Calif.",Citrus Valley High,,,,
28,,29.0,Cam Davis,RB,5-8,175.0,So.,1L,San Diego State,"Dallas, Texas",South Oak Cliff High,,,,
29,,29.0,Arnold Escano,CB,5-10,175.0,So.,RS,San Diego State,"San Diego, Calif.",Olympian High,Southwestern College,,,
30,,30.0,Lucky Avinger,RB,6-1,210.0,Sr.,SQ,San Diego State,"Cerritos, Calif.",La Habra HS,Fullerton College,,,
31,,30.0,Dominic Oliver,DL,6-3,230.0,So.,1L,San Diego State,"San Jose, Calif.",Valley Christian High,,,,
32,,31.0,Davaughn Celestine,S,6-0,190.0,Sr.,2L,San Diego State,"Placentia, Calif.",El Dorado High,,,,
33,,32.0,Marcus Ratcliffe,S,6-3,190.0,Fr.,HS,San Diego State,"Chula Vista, Calif.",Cathedral Catholic High,,,,
34,,33.0,JD Coffey III,S,6-0,190.0,Jr.,TR,San Diego State,"Kennedale, Texas",Kennedale High,Texas,,,
35,,34.0,Eric Butler,S,6-1,180.0,So.,1L,San Diego State,"Corona, Calif.",Centennial High,,,,
36,,35.0,Martin Blake,RB,5-6,205.0,So.,1L,San Diego State,"Las Vegas, Nev.",Canyon Springs High,,,,
37,,35.0,Jelani Whitmore,RW,6-2,175.0,Jr.,SQ,San Diego State,"Rialto, Calif.",Carter High,,,,
38,,36.0,New Zealand Williams,LB,6-2,205.0,So.,SQ,San Diego State,"Carson, Calif.",St. Bernard High,,,,
39,,37.0,DJ Bryant,S,6-0,185.0,So.,SQ,San Diego State,"Oakland, Calif.",San Leandro High,,,,
