,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown/Previous School,Image,Name,Title
0,,0.0,Keith Gallmon Jr.,S,5-9,203.0,R-Sr.,"Mobile, Ala. / Mobile Christian School",,,
1,,0.0,Braylon McReynolds,RB,5-8,180.0,So.,"Mobile, Ala. / McGill-Toolen HS",,,
2,,1.0,Jalen Jordan,CB,5-9,180.0,Sr.,"Lake Cormorant, Miss. / Ole Miss",,,
3,,1.0,Desmond Trotter,QB,6-3,224.0,Sr.,"Irondale, Ala. / Shades Valley HS",,,
4,,2.0,Carter Bradley,QB,6-3,216.0,Sr.,"Jacksonville, Fla. / Toledo",,,
5,,2.0,Jaden Voisin,S,6-0,203.0,Jr.,"Crestview, Fla. / Crestview HS",,,
6,,3.0,La'Damian Webb,RB,5-7,208.0,Sr.,"Opelika, Ala. / Jones [Miss.] College",,,
7,,4.0,Caullin Lacy,WR,5-10,190.0,Jr.,"Mobile, Ala. / Faith Academy",,,
8,,4.0,James Miller,LB,6-1,228.0,Sr.,"Madison, Fla. / Indiana",,,
9,,6.0,Jay'juan Townsend,WR,6-0,185.0,Jr.,"Forest, Miss. / Eufaula HS",,,
10,,7.0,Gio Lopez,QB,6-1,210.0,Fr.,"Huntsville, Ala. / James Clemens HS",,,
11,,7.0,Marquise Robinson,CB,6-1,193.0,Jr.,"Crosby, Miss. / Southwest Mississippi CC",,,
12,,8.0,Yam Banks,S,6-1,208.0,Jr.,"Ridgeland, Miss. / Ridgeland HS",,,
13,,8.0,DJ Thomas-Jones,TE,6-3,230.0,Sr.,"Mobile, Ala. / Ole Miss",,,
14,,9.0,Ke'Shun Brown,ILB,6-1,229.0,R-Jr.,"Montgomery, Ala. / Texas A&M",,,
15,,9.0,Devin Voisin,WR,6-0,190.0,Jr.,"Crestview, Fla. / Crestview HS",,,
16,,10.0,Tanner McGee,QB,6-4,222.0,R-Jr.,"Randleman, N.C. / Randleman HS",,,
17,,10.0,Quentin Wilfawn,ILB,6-1,240.0,R-Sr.,"Oxford, Miss. / Northwest Mississippi CC",,,
18,,11.0,Jamie Sheriff,DL,6-2,262.0,R-Sr.,"Terry, Miss. / Mississippi Gulf Coast CC",,,
19,,13.0,Javon Ivory,WR,6-1,200.0,R-Sr.,"Grove Hill, Ala. / Memphis",,,
