,Number,Name,Position,Height,Weight,Class,Hometown,High school,Previous School,Twitter,Instagram
0,0.0,Juju McDowell,RB,5-9,180 lbs.,Junior,"Bainbridge, Ga.",Lee County,,,
1,0.0,Debo Williams,LB,6-1,235 lbs.,Redshirt Junior,"Smyrna, Del.",Smyrna,Delaware,,
2,1.0,Trey Knox,TE,6-5,250 lbs.,Graduate Student,"Murfreesboro, Tenn.",Blackman HS,Arkansas,,
3,1.0,DQ Smith,DB,6-1,210 lbs.,Sophomore,"Columbia, S.C",Spring Valley,,,
4,3.0,O'Donnell Fortune,DB,6-1,182 lbs.,Redshirt Junior,"Sumter, S.C.",Sumter,,,
5,3.0,Antwane Wells Jr.,WR,6-1,210 lbs.,Senior,"Richmond, Va.",Highland Springs,James Madison,,
6,4.0,Terrell Dawkins,EDGE,6-4,260 lbs.,Redshirt Senior,"Concord, N.C.",Cox Mill,NC State,,
7,4.0,Colten Gauthier,QB,6-3,214 lbs.,Redshirt Sophomore,"Bethlehem, Ga.",Hebron Christian Academy,,,
8,5.0,Grayson Howard,LB,6-4,242 lbs.,Freshman,"Jacksonville, Fla.",Andrew Jackson,,,
9,5.0,Dakereon Joyner,WR,6-1,216 lbs.,Sixth Year,"North Charleston, S.C.",Fort Dorchester,,,
10,6.0,Marcellas Dial,DB,6-0,190 lbs.,Redshirt Senior,"Woodruff, S.C.",Woodruff,Georgia Military,,
11,6.0,Joshua Simon,TE,6-4,242 lbs.,Graduate Student,"Dalzell, S.C.",Crestwood HS,,,
12,7.0,Spencer Rattler,QB,6-1,218 lbs.,Redshirt Senior,"Phoenix, Ariz.",Pinnacle,Oklahoma,,
13,7.0,Jordan Strachan,Edge,6-5,245 lbs.,Sixth Year,"Kingsland, Ga.",Camden County,Georgia State,,
14,8.0,Emory Floyd Jr.,DB,6-1,192 lbs.,Freshman,"Marietta, Ga.",Hillgrove,,,
15,9.0,Luke Doty,QB,6-1,205 lbs.,Redshirt Junior,"Myrtle Beach, S.C.",Myrtle Beach,,,
16,9.0,Desmond Umeozulu,EDGE,6-6,240 lbs.,Freshman,"Upper Marlboro, Md.",C.H. Flowers,,,
17,10.0,Ahmarean Brown,WR,5-9,167 lbs.,Fifth Year,Tampa. Fla.,Jefferson,Georgia Tech,,
18,10.0,Tyreek Johnson,EDGE,6-3,270 lbs.,Redshirt Senior,"Sumter, S.C.",Lakewood,,,
19,11.0,Braden Davis,QB,6-5,202 lbs.,Redshirt Freshman,"Middletown, Del.",Middletown,,,
20,11.0,Elijah Davis,DT,6-3,285 lbs.,Junior,"Wagener, S.C.",Wagener-Salley,East Mississippi C.C.,,
21,12.0,Eriq Rice,WR,6-1,200 lbs.,Redshirt Sophomore,"Columbia, S.C.",A.C. Flora,,,
22,13.0,Kajuan Banks,DB,5-10,187 lbs.,Sophomore,"Tallahassee, Fla.",Godby,,,
23,13.0,Payton Mangrum,WR,6-0,200 lbs.,Redshirt Junior,"Greenville, S.C.",Eastside,,,
24,14.0,Jaron Willis,LB,6-2,235 lbs.,Redshirt Freshman,"Leesburg, GA",Lee County HS,Ole Miss,,
