,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Current School Name,Previous School,Major,Image,Name,Title
0,,0.0,Gaethan Bernadel,Inside Linebacker,6-1,227.0,Jr.,"Miami, Fla. / Hallandale",Stanford,Florida International,Communication,,,
1,,0.0,Mudia Reuben,Wide Receiver,6-2,205.0,So.,"Kansas City, Mo. / Park Hill South",Stanford,,Undeclared,,,
2,,2.0,Casey Filkins,Running Back,5-11,206.0,Sr.,"Lake Oswego, Ore. / Lake Oswego",Stanford,,Psychology,,,
3,,3.0,Bryce Farrell,Wide Receiver,5-10,180.0,Sr.,"Thousand Oaks, Calif. / Oaks Christian School",Stanford,,Economics,,,
4,,5.0,Wilfredo Aybar,Outside Linebacker,6-2,252.0,Jr.,"Fall River, Mass. / Cheshire Academy",Stanford,,Undeclared,,,
5,,5.0,John Humphreys,Wide Receiver,6-5,198.0,Sr.,"Newport Beach, Calif. / Corona del Mar",Stanford,,Economics,,,
6,,8.0,Brendon Barrow,Running Back,5-8,180.0,Jr.,"Etobicoke, Ontario, Canada / Clearwater Academy International (Fla.)",Stanford,,Undeclared,,,
7,,8.0,Tristan Sinclair,Inside Linebacker,6-1,221.0,5th,"Alamo, Calif. / San Ramon Valley",Stanford,,"Computer Science (MS, BS)",,,
8,,9.0,Aaron Armitage,Outside Linebacker,6-5,260.0,Jr.,"Ajax, Ontario, Canada / Blair Academy (N.J.)",Stanford,,Undeclared,,,
9,,10.0,Spencer Jorgensen,Inside Linebacker,6-3,233.0,5th,"Provo, Utah / Provo",Stanford,,Symbolic Systems,,,
10,,10.0,Beau Nelson,Quarterback,6-2,207.0,Sr.,"Boise, Idaho / Bishop Kelly",Stanford,,Management Science and Engineering,,,
11,,11.0,Ari Patu,Quarterback,6-4,216.0,Jr.,"Folsom, Calif. / Folsom",Stanford,,Undeclared,,,
12,,13.0,Emmet Kenney,Kicker,6-2,215.0,Jr.,"Fargo, N.D. / Shanley",Stanford,,Undeclared,,,
13,,14.0,Ashton Daniels,Quarterback,6-2,215.0,So.,"Buford, Ga. / Buford",Stanford,,Undeclared,,,
14,,15.0,Connor Weselman,Punter,6-3,216.0,Jr.,"Atlanta, Ga. / Westminster School",Stanford,,Undeclared,,,
15,,17.0,Charlie Mirer,Quarterback,6-6,235.0,So.,"Rancho Santa Fe, Calif. / Cathedral Catholic",Stanford,,Undeclared,,,
16,,18.0,Jimmy Wyrick,Safety,5-10,183.0,Jr.,"Dallas, Texas / South Oak Cliff",Stanford,,Undeclared,,,
17,,19.0,Caleb Ellis,Cornerback,6-0,191.0,Jr.,"McKinney, Texas / Independence",Stanford,,Undeclared,,,
18,,19.0,Silas Starr,Wide Receiver,6-2,221.0,Sr.,"Portland, Ore. / Central Catholic",Stanford,,Psychology,,,
