,#,Name,Cl.,Pos.,Height,Weight,Exp.,Hometown,Current School Name,High School,Previous School
0,0,Grant Frerking,R-Sr.,WR,"6' 5""",224,1L,"Atlanta, Ga.",Tennessee,Wesleyan School,
1,0,Doneiko Slaughter,Jr.,DB,"6' 0""",190,2L,"Roswell, Ga.",Tennessee,Roswell,
2,1,Trevon Flowers,Sr.,DB,"5' 11""",200,4L,"Atlanta, Ga.",Tennessee,Tucker,
3,2,Jaylen McCollough,Sr.,DB,"6' 0""",205,3L,"Austell, Ga.",Tennessee,Hillgrove,
4,2,Jabari Small,Jr.,RB,"5' 11""",213,2L,"Memphis, Tenn.",Tennessee,Briarcrest Christian,
5,3,Tayven Jackson,Fr.,QB,"6' 3""",200,HS,"Greenwood, Ind.",Tennessee,Center Grove,
6,3,Dee Williams,Jr.,DB,"5' 11""",190,JC,"Forsyth, Ga.",Tennessee,Mary Persons,East Central (Miss.) CC
7,4,Warren Burrell,Sr.,DB,"6' 0""",190,3L,"Suwanee, Ga.",Tennessee,North Gwinnett,
8,4,Cedric Tillman,R-Sr.,WR,"6' 3""",215,3L,"Las Vegas, Nev.",Tennessee,Bishop Gorman,
9,5,Kamal Hadden,R-Jr.,DB,"6' 1""",190,1L,"River Rouge, Mich.",Tennessee,River Rouge,Independence (Kan.) CC/Auburn
10,5,Hendon Hooker,R-Sr.,QB,"6' 4""",218,1L,"Greensboro, N.C.",Tennessee,Dudley,Virginia Tech
11,6,Byron Young,Sr.,DL/LB,"6' 3""",245,1L,"Georgetown, S.C.",Tennessee,Carvers Bay,Georgia Military College
12,7,Romello Edwards,R-Sr.,DB,"6' 0""",187,1L,"Philadelphia, Pa.",Tennessee,Neumann-Goretti,
13,7,Joe Milton III,R-Sr.,QB,"6' 5""",245,1L,"Pahokee, Fla.",Tennessee,Olympia,Michigan
14,8,Brandon Turnage,R-Jr.,DB,"6' 1""",186,1L,"Oxford, Miss.",Tennessee,Lafayette,Alabama
15,9,Tyler Baron,Jr.,DL/LB,"6' 5""",260,2L,"Knoxville, Tenn.",Tennessee,Knoxville Catholic,
16,10,Juwan Mitchell,R-Sr.,LB,"6' 1""",235,RS,"Newark, N.J.",Tennessee,Mater Dei,Butler (Kan.) CC/Texas
17,10,Squirrel White,Fr.,WR,"5' 10""",165,HS,"Birmingham, Ala.",Tennessee,Clay-Chalkville,
18,11,LaTrell Bumphus,R-Sr.,DL,"6' 3""",290,5L,"Savannah, Tenn.",Tennessee,Hardin County,
