,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Current School Name,High School,Previous School,Twitter,Instagram,Image,Title
0,,0.0,Rontavius Groves,WR,6-0,185.0,R-Sr.,"Nashville, Tenn.",Texas State,Pearl-Cohn HS,North Carolina,almighty_toe,rt_stunnaman,,
1,,0.0,Jarron Morris,S,5-9,170.0,R-Jr.,"Orange, Texas",Texas State,West Orange Stark HS,,_Morris_Era,agent.zro,,
2,,1.0,Javen Banks,WR,6-1,175.0,Sr.,"Wichita Falls, Texas",Texas State,Hirschi HS,,JavenBanks1,javenbanks1,,
3,,2.0,Kevin Anderson,S,6-0,195.0,Jr.,"Lewisville, Texas",Texas State,Lewisville HS,,_itskevoo,deucewayyy_,,
4,,2.0,Ashtyn Hawkins,WR,5-10,170.0,So.,"DeSoto, Texas",Texas State,DeSoto HS,Cisco College,ashtynhawkins,2liveashtyn,,
5,,3.0,Layne Hatcher,QB,6-0,210.0,R-Jr.,"Little Rock, Ark.",Texas State,Pulaski Academy,Arkansas State,LayneHatcher,layne_hatcher333,,
6,,3.0,Kordell Rodgers,CB,5-11,175.0,R-Sr.,"Lufkin, Texas",Texas State,Lufkin HS,,KordellRodgers,rodnumber_3,,
7,,4.0,"Alonzo Edwards, Jr.",CB,5-11,190.0,So.,"Madison, Miss.",Texas State,Germantown,Mississippi Gulf Coast,A1_edwards7,aj.edwards7,,
8,,4.0,Ty Evans,QB,6-3,210.0,R-So.,"Colorado Springs, Colo.",Texas State,Palmer Ridge HS,North Carolina State,EvansTy18,ty_evans18,,
9,,5.0,Demarcus Gregory,WR,6-2,205.0,R-Jr.,"Duncan, S.C.",Texas State,Byrnes,USF,xgrego1463,d.marc5,,
10,,5.0,DeJordan Mask,S,5-11,190.0,Jr.,"Texarkana, Texas",Texas State,Arkansas HS,,Iam_DejordanM,hoodiemask__,,
11,,6.0,Seth Keller,K,5-8,170.0,R-Jr.,"Colleyville, Texas",Texas State,Covenant Christian HS,Cisco CC,seth_keller8,_sethkeller8,,
12,,6.0,Donnovan Moorer,WR,5-9,170.0,So.,"Stone Mountain, Ga.",Texas State,Stephenson HS,Iowa Western,DonnovanMoorer,donnovanmoorer,,
13,,7.0,Chris Mills,CB,5-11,175.0,R-Jr.,"Converse, Texas",Texas State,Judson HS,Missouri,ChrisMills_17,chrismills.ii,,
14,,8.0,Waydale Jones,WR,6-4,195.0,R-Jr.,"Beeville, Texas",Texas State,Beeville HS,Wake Forest,WaydaleJones,waydalejones,,
