,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Academic Major,Image,Title
0,,34.0,Jessie Agee,TE,6-0,230.0,R-Fr.,"Cleveland, Ohio / Glenville",,Economics,,
1,,98.0,Darius Alexander,DT,6-4,305.0,Jr.,"Fort Wayne, Ind. / Wayne",,Communication,,
2,,41.0,Dalton Andrews,TE,6-2,255.0,Jr.,"Pemberville, Ohio / Eastwood",,Mechanical Engineering Technology,,
3,,32.0,Jayden Baker,LB,6-1,215.0,So.,"Massillon, Ohio / Jackson",,Business,,
4,,42.0,Jackson Barrow,LB,6-0,220.0,Jr.,"Indianapolis, Ind. / Cathedral",,Psychology,,
5,,39.0,Jonathon Batzke,P,6-1,240.0,So.,"Cairns, Austrailia / Trinity Bay State",Central Queensland,Business,,
6,,6.0,Nate Bauer,S,6-0,200.0,Sr.,"Akron, Ohio / Archbishop Hoban",,Marketing,,
7,,10.0,Adam Beale,WR,5-8,165.0,Sr.,"Holland, Ohio / Springfield",,Mechanical Engineering,,
8,,58.0,Drew Beckenhaupt,OL,6-3,295.0,So.,"Cleves, Ohio / Elder",,Criminal Justice,,
9,,49.0,"Derell Bedingfield, Jr.",OLB,6-0,188.0,R-Fr.,"Garfield Heights, Ohio / Benedictine",,,,
10,,31.0,Daniel Bolden,LB,6-1,250.0,Jr.,"Cincinnati, Ohio / Colerain",,Communication,,
11,,33.0,Peny Boone,RB,6-1,235.0,Jr.,"Detroit, Mich. / Martin Luther King",Maryland,University Studies,,
12,,21.0,Nasir Bowers,CB,5-9,168.0,So.,"Lakeland, Fla. / Lakeland",,,,
13,,52.0,Cavon Butler,DT,6-3,290.0,Jr.,"Toledo, Ohio / Whitmer",Kentucky,Communication,,
14,,90.0,Esean Carter,DT,6-2,285.0,So.,"Detroit, Mich. / Martin Luther King",,Criminal Justice,,
15,,86.0,Clay Caudill,TE,6-3,255.0,So.,"Mansfield, Ohio / Mansfield",,Communication,,
16,,30.0,Vontrell Chairse,OLB,6-3,230.0,So.,"Chicago, Ill. / Wendell Phillips Academy",,Media Communication,,
17,,15.0,Micah Cherry,CB,6-3,175.0,Jr.,"Petal, Miss. / Petal",Pearl River CC,,,
18,,36.0,Drew Covington,S,6-3,200.0,R-Fr.,"Cincinnati, Ohio / Turpin",,Construction Engineering Technology,,
19,,95.0,Judge Culpepper,DT,6-4,290.0,Sr.,"Tampa, Fla. / Plant",Penn State,Philosophy,,
20,,93.0,Malachi Davis,OLB,6-4,230.0,R-Fr.,"Holt, Mich. / Holt",,Business,,
21,,11.0,RJ Delancy III,CB,6-0,185.0,Jr.,"Miami, Fla. / Northwestern",Nebraska,Criminal Justice,,
22,,96.0,Kiel Eldridge,OLB,6-5,249.0,R-Fr.,"Fort Wayne, Ind. / Mae Jamison",,,,
23,,43.0,Sawiaha Ellis,LB,6-1,230.0,So.,"Hamilton, Ohio / Fairfield",,Communication,,
24,,45.0,CC Ezirim,TE,6-7,235.0,Fr.,"Dublin, Ohio / Dublin Jerome",,,,
25,,59.0,Andrew Feiertag,OL,6-6,305.0,Jr.,"Reading, Ohio / Reading",Hudson Valley CC,Media Communications,,
26,,7.0,Dequan Finn,QB,6-2,210.0,Jr.,"Detroit, Mich. / Martin Luther King",,Communication,,
27,,99.0,Travion Ford,DE,6-4,265.0,R-Fr.,"St. Louis, Mo. / Lutheran North",Missouri,,,
28,,7.0,Zachary Ford,S,6-3,207.0,Sr.,"Cleveland, Ohio / Cleveland Heights",,MBA: Leadership,,
29,,66.0,Carter Fouty,OL,6-4,295.0,So.,"Oregon, Ohio / Toledo Central Catholic",Air Force,Bioengineering,,
30,,20.0,Jaret Frantz,WR,6-3,210.0,So.,"Elyria, Ohio / Elyria Catholic",Ball State,Film,,
31,,20.0,Andre Fuller,CB,6-2,195.0,Jr.,"Loxahatchee, Fla. / Seminole Ridge",Arkansas-Pine Bluff,Business,,
32,,28.0,Chris Gales,S,6-0,210.0,So.,"Cleveland, Ohio / Benedictine",,Marketing,,
33,,65.0,Stephen Gales,OL,6-6,320.0,R-Fr.,"Alliance, Ohio / Alliance",,,,
34,,19.0,Dallas Gant,LB,6-3,235.0,Sr.,"Toledo, Ohio / St. John's Jesuit",Ohio State,MBA - Administration,,
35,,53.0,Gunnar Gibson,PK/P,6-0,190.0,R-Fr.,"Tampa, Fla / Robinson",,,,
36,,4.0,Tucker Gleason,QB,6-3,230.0,So.,"Tampa, Fla. / Plant",Georgia Tech,Exercise Science,,
37,,8.0,Tristen Hoke,S,6-0,190.0,R-Fr.,"Farmington Hills, Mich. / North Farmington",,Marketing,,
38,,87.0,Eric Holley III,WR,6-2,182.0,R-Fr.,"Akron, Ohio / East",,,,
39,,35.0,Deshawn Holt,OLB,6-5,240.0,Jr.,"Waldorf, Md. / Westlake",Maryland,Criminal Justice,,
40,,25.0,Maxen Hook,S,6-0,210.0,Jr.,"New Palestine, Ind. / New Palestine",,Accounting,,
41,,12.0,RJ Johnson III,QB,6-2,200.0,Fr.,"Atlanta, Ga. / Westlake",,,,
42,,34.0,Connor Jones,LB,6-2,235.0,So.,"Hilliard, Ohio / Darby",,Business,,
43,,64.0,Brian Keane,OL,6-5,300.0,R-Fr.,"Cleveland, Ohio / St. Ignatius",,,,
44,,3.0,Micah Kelly,RB,5-9,200.0,Jr.,"Gautier, Miss. / Ocean Springs",,Management,,
45,,40.0,Lenny Kühl,TE,6-5,245.0,So.,"Munich, Germany / Oklahoma City Cassady",,Business,,
46,,36.0,Ben Lisk,LS,5-10,215.0,So.,"Phoenix, Ariz. / Paradise Valley",,Business,,
47,,60.0,Tyler Long,OL,6-4,290.0,Jr.,"Toledo, Ohio / Springfield",,Construction Engineering Technology,,
48,,25.0,Jordan Lowe,RB,5-9,215.0,Jr.,"Detroit, Mich. / Cass Tech",,Business,,
49,,8.0,Devin Maddox,WR,5-9,175.0,Sr.,"Cleveland, Ohio / Lakewood St. Edward's",,Interdisciplinary Studies,,
50,,55.0,Kendall Major,OL,6-3,300.0,Sr.,"Beaumont, Texas / West Brook",,Adolescent and Young Adult Education,,
51,,3.0,Chris McDonald,CB,5-10,190.0,Sr.,"Miami, Fla. / Southridge",,Criminal Justice,,
52,,23.0,"Roland McGhee, Jr.",CB,6-1,180.0,Fr.,"Nashville, Tenn. / Ensworth",,,,
53,,28.0,Bryce McMahon,RB,5-11,210.0,Jr.,"Centerville, Ohio / Centerville",,Business,,
54,,22.0,Emmanuel McNeil-Warren,S,6-2,186.0,So.,"St. Petersburg, Fla. / Lakewood",,,,
55,,27.0,Quinyon Mitchell,CB,6-0,200.0,Jr.,"Williston, Fla. / Williston",,Communication,,
56,,79.0,Kyle Moore,OL,6-5,280.0,So.,"Youngstown, Ohio / Fitch",Ohio State,Business,,
57,,17.0,Don Munnerlyn,WR,6-5,220.0,So.,"Columbus, Ohio / Independence",Rutgers,,,
58,,1.0,Jerjuan Newton,WR,5-11,190.0,Jr.,"St. Petersburg, Fla. / Clearwater Central Catholic",,Mechanical Engineering Technology,,
59,,78.0,David Nwaogwugwu,OL,6-5,305.0,Sr.,"Bronx, N.Y. / DeWitt Clinton",Rutgers,,,
60,,37.0,Damon Ollison II,LB,6-0,230.0,So.,"Akron, Ohio / Archbishop Hoban",,Business,,
61,,70.0,Rod Orr,OL,6-6,300.0,So.,"Gadsden, Ala. / Gadsden",Florida State,,,
62,,29.0,Luke Pawlak,PK,5-10,190.0,Jr.,"Sylvania, Ohio / Northview",Montana State,Business,,
63,,24.0,Kristian Pechac,RB,5-11,215.0,Sr.,"Columbus, Ohio / Bloomington South",Indiana,,,
64,,46.0,Jeremiah Peters,OLB,6-4,220.0,So.,"Miami, Fla. / Booker T. Washington",,Exploratory Studies,,
65,,59.0,Martez Poynter,DT,6-4,275.0,So.,"St. Louis, Mo. / Trinity Catholic",,Business,,
