,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,High School,Current School Name,Previous School,Hometown,Image,Name,Title
0,,0.0,Jamarcus Chatman,DT,6-2,269.0,Jr.,Rome HS,Troy,Florida State,"Rome, Ga.",,,
1,,0.0,RaJae' Johnson,WR,6-4,220.0,Sr.,Jennings HS,Troy,UAB,"St. Louis, Mo.",,,
2,,1.0,Elijah Culp,CB,5-11,185.0,So.,Mallard Creek HS,Troy,Austin Peay,"Charlotte, N.C.",,,
3,,1.0,Jamontez Woods,RB,5-11,220.0,So.,Gadsden City HS,Troy,,"Gadsden, Ala.",,,
4,,2.0,Deyunkrea Lewis,TE,6-3,251.0,So.,Robert E. Lee HS,Troy,,"Montgomery, Ala.",,,
5,,2.0,Carlton Martial,LB,5-9,210.0,Sr.,McGill-Toolen HS,Troy,,"Mobile, Ala.",,,
6,,3.0,Peter Costelli,QB,6-3,225.0,R-Fr.,Mission Viejo HS,Troy,Utah,"Redondo Beach, Calif.",,,
7,,3.0,Antonio Showers,DE,6-1,270.0,Sr.,Tucker HS,Troy,,"Tucker, Ga.",,,
8,,4.0,Marcus Rogers,WR,6-3,200.0,R-Jr.,Campbell HS,Troy,Iowa Western CC,"Smyrna, Ga.",,,
9,,4.0,Craig Slocum Jr.,S,6-0,201.0,Sr.,Union County HS,Troy,,"Lake Butler, Fla.",,,
10,,5.0,Jabre Barber,WR,5-10,173.0,So.,Dothan HS,Troy,,"Dothan, Ala.",,,
11,,5.0,Will Choloh,DT,6-0,276.0,Sr.,Archer HS,Troy,,"Lawrenceville, Ga.",,,
12,,6.0,Kyle Coale,ATH,5-11,194.0,Sr.,Palos Verdes HS,Troy,Western Illinois,"Palos Verdes, Calif.",,,
13,,6.0,Taiyon Palmer,SPR,5-11,191.0,Jr.,Archer HS,Troy,NC State,"Lawrenceville, Ga.",,,
14,,7.0,KJ Robertson,LB,6-1,225.0,Sr.,Thompson HS,Troy,,"Alabaster, Ala.",,,
15,,7.0,Devonte Ross,WR,5-11,160.0,Fr.,Cartersville HS,Troy,,"Cartersville, Ga.",,,
16,,8.0,Demontrez Brown,WR,6-3,204.0,Jr.,Bob Jones HS,Troy,,"Madison, Ala.",,,
17,,8.0,TJ Harris,S,6-1,199.0,Sr.,Lee County HS,Troy,,"Leesburg, Ga.",,,
18,,9.0,Jarret Doege,QB,6-2,208.0,Sr.,Cooper HS,Troy,West Virginia,"Lubbock, Texas",,,
19,,9.0,Richard Jibunor,BAN,6-3,233.0,Jr.,Athens Christian HS,Troy,Auburn,"Delta State, Nigeria",,,
20,,10.0,Tucker Kilcrease,QB,6-0,201.0,Fr.,Brantley HS,Troy,,"Brantley, Ala.",,,
21,,10.0,Jayden McDonald,LB,6-0,228.0,Jr.,North Gwinnett HS,Troy,Iowa,"Suwanee, Ga.",,,
22,,11.0,O'shai Fletcher,CB,5-11,174.0,Jr.,Randolph School,Troy,,"Huntsville, Ala.",,,
23,,11.0,Deshon Stoudemire,WR,6-1,187.0,Jr.,Stephenson HS,Troy,Iowa Western,"Stone Mountain, Ga.",,,
24,,12.0,Markeis Colvin,S,5-11,202.0,Jr.,Armwood HS,Troy,Hutchinson CC,"Ruskin, Fla.",,,
25,,12.0,Quayde Hawkins,QB,6-1,202.0,R-Fr.,Bainbridge HS,Troy,,"Bainbridge, Ga.",,,
26,,13.0,Brooks Buce,K,6-0,185.0,Sr.,Greater Atlanta Christian,Troy,Georgia,"Johns Creek, Ga.",,,
27,,13.0,Zion Williams,CB,5-11,189.0,Sr.,Omaha North HS,Troy,Iowa Western CC,"Omaha, Neb.",,,
28,,14.0,Caleb Ransaw,CB,6-0,193.0,So.,Sparkman HS,Troy,,"Harvest, Ala.",,,
29,,15.0,Tez Johnson,WR,5-10,150.0,So.,Pinson Valley HS,Troy,,"Pinson, Ala.",,,
30,,15.0,Orlando Lacey,SPR,6-0,189.0,Sr.,Opp HS,Troy,,"Opp, Ala.",,,
31,,16.0,Tyler Founds,S,6-1,171.0,Fr.,Decatur Heritage Christian,Troy,,"Decatur, Ala.",,,
32,,16.0,Peyton Higgins,WR,5-10,178.0,R-Fr.,Mars Hill Bible,Troy,,"Florence, Ala.",,,
33,,17.0,Carloss Crawford,S,6-2,186.0,Jr.,Heritage (Texas) HS,Troy,Coffeyville CC,"Memphis, Tenn.",,,
34,,17.0,Jameson Holcomb,QB,5-11,161.0,Fr.,Riverdale HS,Troy,,"Murfreesboro, Tenn.",,,
35,,18.0,Reddy Steward,CB,5-11,180.0,Jr.,Austin HS,Troy,,"Decatur, Ala.",,,
36,,18.0,Gunnar Watson,QB,6-3,205.0,Jr.,Taylor County HS,Troy,,"Butler, Ga.",,,
37,,19.0,Will Carn,QB,6-3,215.0,R-Fr.,Nease HS,Troy,,"Jacksonville, Fla.",,,
38,,19.0,Darrell Starling,S,6-1,224.0,So.,Pelham HS,Troy,,"Pelham, Ga.",,,
39,,20.0,DK Billingsley,RB,5-11,221.0,Sr.,Scottsboro HS,Troy,,"Scottsboro, Ala.",,,
40,,21.0,Shakel Brown,DT,6-4,299.0,Sr.,Lincoln HS,Troy,Itawamba CC,"Miami, Fla.",,,
41,,21.0,Jarris Williams,RB,5-10,200.0,R-Fr.,Blount HS,Troy,,"Mobile, Ala.",,,
42,,22.0,Tae Meadows,RB,5-10,189.0,Fr.,Handley HS,Troy,,"Roanoke, Ala.",,,
43,,22.0,Christian Murphy,SPR,6-0,191.0,So.,Gulf Breeze HS,Troy,,"Pensacola, Fla.",,,
44,,23.0,Keyshawn Swanson,S,5-11,187.0,So.,West Florida Tech HS,Troy,Akron,"Pensacola, Fla.",,,
45,,24.0,Blake Matthews,LB,6-3,203.0,Fr.,Bremen HS,Troy,,"Bremen, Ga.",,,
46,,24.0,Damien Taylor,RB,5-10,219.0,R-Fr.,Tuscaloosa County HS,Troy,,"Northport, Ala.",,,
47,,25.0,Justin Powe,S,6-0,200.0,Fr.,Davidson HS,Troy,,"Mobile, Ala.",,,
