,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Major,Image,Name,Title
0,,0.0,Shaadie Clayton-Johnson,RB,6-1,205.0,R-Fr.,"NEW ORLEANS, LOUISIANA / WARREN EASTON",Tulane,,,,
1,,0.0,Patrick Jenkins,DL,6-2,286.0,So.,"New Orleans, Louisiana / John Ehret High School",Tulane,,,,
2,,1.0,Nick Anderson,LB,5-11,230.0,Sr.,"Vicksburg, Miss. / Jones County JC/Vicksburg",Tulane,Homeland Security Studies,,,
3,,2.0,Duece Watts,WR,6-2,200.0,Sr.,"Richton, Miss. / Petal HS",Tulane,Health & Wellness,,,
4,,2.0,Dorian Williams,LB,6-2,230.0,Sr.,"Indian Land, S.C. / Indian Land",Tulane,Homeland Security Studies,,,
5,,3.0,Angelo Anderson,DL,6-3,255.0,So.,"New Orleans, La. / John Curtis Christian",Tulane,Undeclared Business,,,
6,,3.0,Phat Watts,WR,6-0,195.0,Sr.,"Richton, Miss. / Petal HS",Tulane,Design,,,
7,,4.0,Jha'Quan Jackson,WR,5-10,185.0,Jr.,"Luling, La. / Hahnville",Tulane,Communication,,,
8,,6.0,Darius Hodges,DL,6-2,280.0,R-So.,"Montgomery, Ala. / Park Crossing",Tulane,Information Technology,,,
9,,6.0,Lawrence Keys III,WR,5-11,170.0,R-Jr.,"New Orleans, Louisiana / McDonogh 35 High School",Tulane,,,,
10,,7.0,Michael Pratt,QB,6-3,220.0,Jr.,"Boca Raton, Fla. / Deerfield Beach HS",Tulane,Exercise Science,,,
11,,7.0,Lance Robinson,DB,5-11,180.0,Jr.,New Orleans / De La Salle,Tulane,,,,
12,,8.0,Iverson Celestine,RB,5-10,200.0,R-Fr.,"Mandeville, La. / Fontainebleau",Tulane,,,,
13,,8.0,Carlos Hatcher,DL,6-3,260.0,R-So.,"Carrollton, Texas / Hebron HS",Tulane,Communication,,,
14,,9.0,Carson Haggard,QB,6-0,180.0,Fr.,"Miami, Florida / Gulliver Prep",Tulane,,,,
15,,10.0,Shae Wyatt,WR,6-1,190.0,Sr.,"Omaha, Neb. / Millard West HS",Tulane,,,,
16,,11.0,Jarius Monroe,DB,6-1,205.0,Jr.,"LaPlace, LA / East St. John",Tulane,,,,
17,,12.0,DJ Douglas,DB,6-0,205.0,R-So.,"Montgomery, Ala. / Thompson HS",Tulane,,,,
18,,12.0,Kai Horton,QB,6-4,210.0,R-Fr.,"Carthage, Texas / Carthage",Tulane,,,,
19,,13.0,Justin Ibieta,QB,6-5,225.0,R-Fr.,"Metairie, La. / Metairie Park Country Day School",Tulane,Undeclared Business,,,
20,,13.0,Cadien Robinson,DB,6-1,175.0,Fr.,"Rockwall, Texas / Rockwall",Tulane,,,,
