,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School (Previous School),Current School Name,Image,Name,Title
0,,0.0,Kam Brown,WR,6-0,190.0,R-Jr.,"Colleyville, Texas / Colleyville Heritage HS (Texas A&M)",UCLA,,,
1,,1.0,Ale Kaho,LB,6-2,235.0,R-Sr.,"Reno, Nev. / Reno HS (Alabama)",UCLA,,,
2,,1.0,Dorian Thompson-Robinson,QB,6-1,205.0,R-Sr.,"Las Vegas, Nev. / Bishop Gorman HS",UCLA,,,
3,,2.0,Nicholas Barr-Mira,K,6-0,170.0,R-Jr.,"Palos Verdes, Calif. / Loyola HS",UCLA,,,
4,,2.0,Titus Mokiao-Atimalala,WR,6-1,184.0,So.,"Ewa Beach, Hawaii / Campbell HS (UCF)",UCLA,,,
5,,3.0,Chase Artopoeus,QB,6-1,195.0,R-Jr.,"Orcutt, Calif. / St. Joseph HS",UCLA,,,
6,,3.0,Devin Kirkwood,DB,6-3,194.0,So.,"Inglewood, Calif. / Junipero Serra HS",UCLA,,,
7,,4.0,Stephan Blaylock,DB,5-11,193.0,R-Sr.,"Compton, Calif. / St. John Bosco HS",UCLA,,,
8,,4.0,Ethan Garbers,QB,6-3,210.0,R-So.,"Newport Beach, Calif. / Corona del Mar HS (Washington)",UCLA,,,
9,,6.0,John Humphrey,DB,6-2,192.0,Jr.,"Pasadena, Calif. / John Muir HS",UCLA,,,
10,,6.0,Justyn Martin,QB,6-4,222.0,Fr.,"Inglewood, Calif. / Inglewood HS",UCLA,,,
11,,7.0,Mo Osling III,DB,6-2,194.0,R-Sr.,"Lancaster, Calif. / Antelope Valley HS",UCLA,,,
12,,7.0,Colson Yankoff,WR,6-4,210.0,R-Jr.,"Coeur d'Alene, Idaho / Coeur d'Alene HS (Washington)",UCLA,,,
13,,9.0,Jake Bobo,WR,6-5,215.0,R-Sr.,"North Andover, Mass. / Belmont Hill School (Duke)",UCLA,,,
14,,9.0,Choé Bryant-Strother,LB,6-3,240.0,R-So.,"Atlanta, Ga. / Greater Atlanta Christian School",UCLA,,,
15,,10.0,Ryan Cragun,WR,6-1,185.0,R-Sr.,"Dana Point, Calif. / St. Margaret's Episcopal School (Pennsylvania)",UCLA,,,
16,,10.0,Joshua Swift,DB,5-10,185.0,R-So.,"Temecula, Calif. / Chaparral HS",UCLA,,,
17,,11.0,Chase Griffin,QB,5-10,190.0,Sr.,"Round Rock, Texas / Hutto HS",UCLA,,,
18,,11.0,Gabriel Murphy,DL,6-3,262.0,R-So.,"Dallas, Texas / Bishop Lynch HS (North Texas)",UCLA,,,
19,,12.0,Grayson Murphy,DL,6-3,262.0,R-So.,"Dallas, Texas / Bishop Lynch HS (North Texas)",UCLA,,,
20,,12.0,Matt Sykes,WR,6-4,200.0,Jr.,"Makakilo, Hawaii / Saint Louis School",UCLA,,,
21,,14.0,Josiah Norwood,WR,5-8,165.0,R-Sr.,"Santa Margarita, Calif. / Santa Margarita Catholic HS",UCLA,,,
22,,14.0,Clint Stephens,DB,6-1,190.0,Fr.,"Long Beach, Calif. / Inglewood HS",UCLA,,,
23,,15.0,Laiatu Latu,LB,6-4,265.0,R-Jr.,"Sacramento, Calif. / Jesuit HS (Washington)",UCLA,,,
24,,15.0,Braden Pegan,WR,6-4,195.0,Fr.,"San Juan Capistrano, Calif. / San Juan Hills HS",UCLA,,,
25,,17.0,Logan Loya,WR,5-11,180.0,Jr.,"Garden Grove, Calif. / St. John Bosco HS",UCLA,,,
26,,17.0,Jalen Woods,LB,6-0,200.0,Fr.,"Compton, Calif. / St. John Bosco HS",UCLA,,,
27,,18.0,Jadyn Marshall,WR,6-1,180.0,Fr.,"Stockton, Calif. / Saint Mary's HS",UCLA,,,
28,,18.0,Croix Stewart,DB,6-2,190.0,Fr.,"Vallejo, Calif. / Benicia HS",UCLA,,,
29,,19.0,Kazmeir Allen,WR,5-9,175.0,R-Jr.,"Tulare, Calif. / Tulare Union HS",UCLA,,,
30,,19.0,D.J. Justice,DB,6-0,190.0,R-Fr.,"San Diego, Calif. / Bishop Alemany HS",UCLA,,,
31,,20.0,Kain Medrano,LB,6-3,230.0,R-Jr.,"Pueblo, Colo. / Pueblo East HS",UCLA,,,
32,,20.0,Carsen Ryan,RB,6-4,248.0,Fr.,"Orem, Utah / American Fork HS",UCLA,,,
