,Statistic,#,Full Name,Year,Pos.,Ht.,Wt.,Hometown,Current School Name,High School,Last Team,Image,Name,Title
0,,0.0,Brandon Bouyer-Randle,Gr.,LB,6024.0,240.0,"Battle Creek, Mich.",UConn,Battle Creek HS,Texas Tech,,,
1,,0.0,Camryn Edwards,Fr.,RB,5105.0,192.0,"Norwalk, CT",UConn,Norwalk HS,,,,
2,,1.0,Malik Dixon-Williams,R-So.,DB,6005.0,199.0,"Orlando, Fla.",UConn,Wekiva,,,,
3,,1.0,Keelan Marion,So.,WR,6000.0,200.0,"Atlanta, Ga.",UConn,Grayson,Palmetto Prep,,,
4,,2.0,Myles Bell,Jr.,DB,6003.0,182.0,"Plantation, Fla.",UConn,St. Thomas Aquinas,,,,
5,,2.0,Nigel Fitzgerald,Gr.,WR,6035.0,220.0,"Greensboro, N.C.",UConn,Dudley,Old Dominion University,,,
6,,3.0,Deon Mclean Jr.,R-Fr.,DB,5111.0,211.0,"Trenton, N.J.",UConn,Lawrenceville School,,,,
7,,3.0,Ethon Williams,R-So.,WR,5113.0,198.0,"Annapolis, MD",UConn,Broadneck HS,Boston College,,,
8,,4.0,Stan Cross,Jr.,DB,5100.0,191.0,"Nashville, Tenn.",UConn,East Nashville Magnet,Iowa Central CC,,,
9,,4.0,Matt Drayton,R-So.,WR,5110.0,187.0,"Jacksonville, Fla.",UConn,Raines,,,,
10,,4.0,Brayden Zermeno,R-Fr.,QB,6040.0,205.0,"Los Angeles, Calif.",UConn,Loyola HS,University of Arizona,,,
11,,5.0,Kaleb Anthony,So.,DB,5103.0,180.0,"Atlanta, Ga.",UConn,Eagles Landing Christian Academy,,,,
12,,5.0,Aaron Turner,So.,WR,5074.0,177.0,"Ellicott City, Md.",UConn,Gonzaga College High School,,,,
13,,6.0,Ta'Quan Roberson,R-So.,QB,6001.0,203.0,"Orange, N.J.",UConn,DePaul Catholic,Penn State,,,
14,,6.0,Ian Swenson,Sr.,LB,6020.0,215.0,"Wilmette, Ill.",UConn,Loyola Academy,,,,
15,,7.0,Cameron Ross,R-So.,WR,5100.0,180.0,"Newark, Del.",UConn,St. John's College HS,,,,
16,,7.0,Tre Wortham,Sr.,DB,6007.0,203.0,"Stockton, Calif.",UConn,Bear Creek,Delta College,,,
17,,8.0,Dajon Harrison,R-Fr.,WR,5110.0,175.0,"Hutto, Texas",UConn,Hutto HS,Texas,,,
18,,8.0,Jackson Mitchell,Jr.,LB,6024.0,227.0,"Ridgefield, Conn.",UConn,Ridgefield,,,,
19,,9.0,Darius Bush,R-Fr.,WR,5096.0,181.0,"Savannah, Ga.",UConn,Jenkins,,,,
20,,9.0,Langston Hardy,R-Fr.,LB,6030.0,244.0,"Jacksonville, Fla.",UConn,Sandalwood High School,,,,
21,,10.0,Cale Millen,R-So.,QB,6033.0,206.0,"Snoqualmie, WA",UConn,Mount Si HS,Northern Arizona,,,
